NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
61,4457604,-976.24713,-976.24713,-998.9363,9.656628,13.032526,18.113333,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
62,4538927,-976.24713,-976.24713,-998.9363,9.656628,13.032526,18.723333,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
63,4623565,-976.24713,-976.24713,-998.9363,9.656628,13.032526,16.61,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
64,4711381,-976.24713,-976.24713,-998.9363,9.656628,13.032526,18.313334,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
65,4801624,-976.24713,-976.24713,-998.9363,9.656628,13.032526,18.483334,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
66,4897894,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.043333,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
67,4985323,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.553333,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
68,5062436,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.303333,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
69,5147708,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.16,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
70,5227322,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.66,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
71,5298420,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.476667,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
72,5373730,-976.24713,-976.24713,-998.9363,9.656628,13.032526,19.276667,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080904946, -0.50253063, 0.7404017]"
73,5451733,-976.2485,-976.2485,-998.9387,9.656628,13.033658,17.573334,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
74,5521585,-976.2485,-976.2485,-998.9387,9.656628,13.033658,18.52,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
75,5594897,-976.2485,-976.2485,-998.9387,9.656628,13.033658,18.53,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
76,5670016,-976.2485,-976.2485,-998.9387,9.656628,13.033658,18.48,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
77,5746288,-976.2485,-976.2485,-998.9387,9.656628,13.033658,19.56,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
78,5815250,-976.2485,-976.2485,-998.9387,9.656628,13.033658,19.28,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
79,5900645,-976.2485,-976.2485,-998.9387,9.656628,13.033658,18.71,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
80,5985279,-976.2485,-976.2485,-998.9387,9.656628,13.033658,18.063334,Inf,6,"(sqrt(abs(X1)) + (0.7210598 * X1)) RARMNRLikelihood{Float32} Float32[0.080786794, -0.5024705, 0.7400674]"
