gen,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
56,-998.9363,-998.94165,-998.93774,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033657,13.111963,6,6,6,8,8,19.16,16.933332,17.3,21.773333,22.333334
57,-998.9363,-998.94165,-998.93774,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033657,13.111963,6,6,6,8,8,19.306667,16.656666,17.133333,21.696667,22.203333
58,-998.9363,-998.94165,-998.93774,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033657,13.111963,6,6,6,8,8,19.363333,16.61,17.34,21.526667,22.32
59,-998.9363,-998.94165,-998.93774,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033657,13.111963,6,6,6,8,8,19.413334,16.333334,17.323334,21.97,22.616667
60,-998.9363,-998.94165,-998.9387,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033802,13.111963,6,6,6,8,8,19.46,16.63,17.2,22.036667,22.563334
61,-998.9363,-998.94165,-998.9387,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033802,13.111963,6,6,6,8,8,19.256666,16.956667,17.51,21.463333,22.186666
62,-998.9363,-998.94165,-998.9387,-998.9363,-998.9363,-976.24713,-976.46136,-976.2512,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599684,13.032526,13.033657,13.03388,6,6,6,8,8,19.446667,16.923334,17.376667,21.186666,21.676666
63,-998.9363,-998.9419,-998.93896,-998.9363,-998.9363,-976.24713,-976.46136,-976.4609,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032525,13.033802,13.111963,6,6,6,8,8,19.45,16.79,17.736666,21.11,21.763334
64,-998.9363,-998.9419,-998.93896,-998.9363,-998.9363,-976.24713,-976.46136,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,12.875504,13.032526,9.599682,13.032093,13.033802,13.111963,6,6,6,8,8,19.403334,17.183332,17.483334,21.143333,22.31
65,-998.9363,-1000.36255,-998.93896,-998.9363,-998.9363,-976.24713,-976.4617,-976.4611,-976.24713,-976.24713,9.656628,9.656628,9.656628,12.875504,14.334076,13.032526,9.599682,13.032093,13.033813,13.111995,6,6,6,8,8,19.276667,16.893333,17.39,21.423334,21.963333
