-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
30,1148167,27,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
31,1195931,29,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
32,1237937,27,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
33,1281724,29,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
34,1326231,29,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
35,1370230,31,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
36,1418157,31,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
37,1463131,32,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
38,1509250,32,-797.1945,-600.8886,-797.1945,-628.6686,110.303185,58.222748,-600.8886,5.7140176e-5,7.3013674e-5,0.9983427,0.99263287,46,"(((-7.764193e-5 * X1) + (abs((3293.9521 / (abs((0.3718498 + (abs((1888.5228 / (abs((13582.0625 * X1)) ^ sqrt(abs(((-0.2663678 * log(abs(((-67.319016 * X1) + (-67.91435 * X1))))) - (-0.55618405 * X2))))))) ^ exp((-0.6134998 * X2))))) ^ (-4.938627 * X2)))) ^ -0.14697388)) + (abs((-0.29770947 * X1)) ^ -0.29039782)) NeoGP.GaussianLikelihood{Float32} Float32[0.007559112]"
39,1552280,34,-802.65594,-601.9735,-802.65594,-603.3266,109.86123,89.46816,-601.9735,5.4489956e-5,0.00016645814,0.9984196,0.9832043,50,"((1.492142 + ((abs((-0.1098732 * X2)) ^ ((abs((-6.639326e-5 + (3.5108326e-6 * X1))) ^ ((((-177.88666 + (abs((sqrt(abs((0.065373346 * X1))) / (abs((8.314511e-9 * X1)) ^ (-0.18156846 * X2)))) ^ -0.51601154)) / (abs((-3.4888117e-7 * X1)) ^ (-0.16730659 * X2))) - (-0.030808004 * X2)) * 0.87506145)) / 0.070888765)) * 1.5215735)) + (-0.24896319 * X2)) NeoGP.GaussianLikelihood{Float32} Float32[0.00738173]"
