gen,fevals_median,fevals_p5,fevals_p10,fevals_p90,fevals_p95,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
21,69567,60491,63490,77164,78115,0.00054533954,0.00018120147,0.0002641144,0.0008219943,0.00093957974,0.0015053295,0.00043257704,0.0005836217,0.025982779,0.09993628,-537.765869140625,-664.4727783203125,-621.1439208984375,-490.57855224609375,-475.20306396484375,-330.2536315917969,-450.0548095703125,-435.983154296875,3.4028234663852886e38,3.4028234663852886e38,146.6095,71.99867,79.13055,223.6416,237.39163,56.29431,21.639338,25.134718,3.4028235e38,3.4028235e38,61,31,35,91,96,40.188763,35.939026,36.703613,44.753704,46.378532
22,73392,63711,66809,81331,82161,0.000526802,0.0001766839,0.0002641144,0.00080944237,0.00089516497,0.0014245394,0.00044702235,0.00054508896,0.025982779,0.09993628,-541.7430419921875,-667.376220703125,-621.1439208984375,-492.34814453125,-480.7719421386719,-330.82525634765625,-451.0181884765625,-435.983154296875,3.4028234663852886e38,3.4028234663852886e38,154.06421,74.334755,82.89307,232.59584,237.39163,54.315353,22.52932,27.149101,3.4028235e38,3.4028235e38,62,33,37,93,96,41.265217,36.634205,37.972603,45.61326,47.35778
23,77097,67104,70246,85117,86472,0.0005109212,0.0001766839,0.00025269037,0.0007846924,0.00087735394,0.0012811823,0.00041573297,0.00047980977,0.025982779,0.09027351,-545.2630615234375,-667.376220703125,-626.2288818359375,-495.9193420410156,-483.08319091796875,-331.13763427734375,-451.0181884765625,-435.983154296875,3.4028234663852886e38,3.4028234663852886e38,155.86319,76.73265,82.89307,233.41039,236.06613,56.29431,22.822851,24.4614,3.4028235e38,3.4028235e38,65,33,37,93,95,42.527607,37.99095,38.950108,46.57169,48.166954
24,80840,70364,73793,89288,90857,0.0005016159,0.0001766839,0.00023322558,0.0007846924,0.0008718567,0.0012301363,0.00027187672,0.0004501694,0.028366955,0.09027351,-547.3768310546875,-667.376220703125,-635.4471435546875,-495.9193420410156,-483.80596923828125,-331.13763427734375,-468.3654479980469,-442.3208923339844,3.4028234663852886e38,3.4028234663852886e38,160.65898,79.13055,85.69176,233.41039,237.39163,56.29431,23.63566,27.149101,3.4028235e38,3.4028235e38,66,34,37,94,95,43.590733,39.06904,40.023014,47.509274,48.74582
25,84611,73523,77254,93524,95174,0.00048509834,0.00017184527,0.00021724637,0.0007778241,0.0008718567,0.0012301363,0.00027187672,0.0004771356,0.025982779,0.07442621,-551.2273559570312,-670.5694580078125,-643.6091918945312,-496.9302673339844,-483.80596923828125,-331.13763427734375,-470.947509765625,-449.8454284667969,3.4028234663852886e38,3.4028234663852886e38,156.57579,81.29731,85.69176,233.41039,237.39163,55.579906,23.674713,27.95417,3.4028235e38,3.4028235e38,65,34,38,94,95,44.544483,40.01057,40.90678,48.32368,49.46945
26,88462,76670,80461,97764,99348,0.00047832477,0.00016219325,0.0001970932,0.0007428417,0.0008718567,0.0013812569,0.00026474622,0.0004771356,0.025982779,0.07442621,-552.844482421875,-677.2171630859375,-654.8050537109375,-502.22235107421875,-483.80596923828125,-340.0216064453125,-478.54815673828125,-449.8454284667969,3.4028234663852886e38,3.4028234663852886e38,160.65898,81.29731,90.086205,233.58122,237.39163,56.616646,23.754482,30.401112,3.4028235e38,3.4028235e38,66,35,40,94,95,45.47931,40.88008,41.866173,48.986645,50.092083
27,92125,80157,83631,101949,103583,0.00044234132,0.00014668671,0.00017839481,0.00072878355,0.0008718567,0.0012243787,0.00025614304,0.00043625323,0.026180921,0.07442621,-561.8384399414062,-688.7734375,-666.2679443359375,-504.4195251464844,-483.80596923828125,-339.714599609375,-492.2063293457031,-451.0438232421875,3.4028234663852886e38,3.4028234663852886e38,163.05688,83.92634,95.91581,233.58122,236.06613,54.946663,24.065962,31.21689,3.4028235e38,3.4028235e38,67,37,41,93,95,46.180656,41.509434,43.014786,49.88997,50.68132
28,95880,83514,86948,106188,107882,0.00043099816,0.00014668671,0.00017839481,0.0007260315,0.0008718567,0.0012057824,0.00025614304,0.0004298336,0.026180921,0.09027351,-564.825927734375,-688.7734375,-666.2679443359375,-504.85467529296875,-483.80596923828125,-339.714599609375,-492.2063293457031,-451.0438232421875,3.4028234663852886e38,3.4028234663852886e38,164.00385,83.92634,96.70857,233.58122,236.06613,55.05929,26.6093,30.401112,3.4028235e38,3.4028235e38,67,37,42,94,95,47.098103,42.548454,43.863716,50.84844,51.266155
29,99701,87055,90293,110429,112324,0.00041961178,0.00014441121,0.00017839481,0.0006846247,0.00078463455,0.001417584,0.00026474622,0.00043625323,0.032462824,0.22652952,-567.9049072265625,-690.5714111328125,-666.2679443359375,-511.60772705078125,-495.92779541015625,-335.9731140136719,-492.2063293457031,-451.0438232421875,3.4028234663852886e38,3.4028234663852886e38,166.48874,95.91581,105.918915,233.58122,238.54028,61.5246,29.157904,31.99067,3.4028235e38,3.4028235e38,67,40,46,94,96,47.819965,43.388447,44.68761,51.356792,51.687878
30,103574,90348,93525,114578,117198,0.00041602433,0.00014441121,0.00017184527,0.00066869595,0.00076322263,0.0014844555,0.00026474622,0.00044087006,0.032462824,0.22652952,-568.892333984375,-690.5714111328125,-670.5694580078125,-514.31494140625,-499.109619140625,-331.13763427734375,-492.2063293457031,-451.0438232421875,3.4028234663852886e38,3.4028234663852886e38,172.69388,95.91581,112.70108,233.58122,238.54028,66.00539,30.401112,33.357197,3.4028235e38,3.4028235e38,71,40,47,94,96,48.46345,44.416084,45.296978,52.032116,52.387978
