gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
64,0.037841156,0.031349953,0.032422777,0.048224334,0.050576556,0.09007793,0.038191803,0.04534646,0.14801903,0.8418495,-155.16898,-222.06851,-210.10657,-68.97214,-52.041687,100.69112,-27.038774,-11.032965,489.74142,633.06824,75,27,37,98,99
65,0.037726276,0.03081644,0.032158244,0.048224334,0.050576556,0.08977716,0.04156306,0.04534646,0.15126772,1.0301816,-156.24985,-228.1705,-213.01889,-68.97214,-52.041687,98.169044,-27.939224,-17.740011,489.74142,636.0498,73,27,32,98,99
66,0.03761801,0.03081644,0.03215823,0.048224334,0.050576556,0.0876633,0.041396063,0.044653565,0.15292545,1.0301882,-157.27151,-228.1705,-213.0191,-68.97214,-52.041687,95.56601,-35.742645,-24.87029,448.4733,571.39484,74,24,32,98,99
67,0.037402652,0.03081644,0.031829543,0.048224334,0.050576556,0.086522356,0.03929709,0.043324362,0.14583367,0.4577312,-159.31259,-228.1705,-216.67136,-68.97214,-52.041687,110.741646,-27.038774,-13.544113,463.5204,571.39484,77,24,37,99,99
68,0.03711788,0.030641215,0.031493843,0.048224334,0.05041332,0.08539338,0.03867118,0.043326657,0.16074236,0.8480137,-162.02954,-230.1977,-220.44064,-68.97214,-53.190887,110.741646,-24.87029,-13.406136,469.15448,571.39484,79,24,37,99,99
69,0.036917657,0.030111967,0.031409986,0.048224334,0.05041329,0.082842276,0.037432346,0.043124888,0.15939236,0.8480137,-163.9524,-236.39172,-221.38843,-68.97214,-53.1911,126.17735,-24.87029,-15.786423,490.15192,571.39484,83,24,37,99,99
70,0.03685408,0.029904181,0.031409986,0.048224334,0.05041329,0.08172637,0.03649994,0.043849446,0.15939236,0.8480137,-164.56512,-238.85327,-221.38843,-68.97214,-53.1911,121.95198,-24.87029,-16.274536,437.49365,520.16394,81,30,41,98,99
71,0.03654532,0.029788068,0.031409986,0.04728749,0.049943227,0.07953014,0.035405315,0.040335376,0.15292545,0.86277455,-167.55603,-240.23636,-221.38843,-75.94629,-56.521393,121.66459,-37.23536,-16.274536,441.14523,491.26868,83,26,37,98,99
72,0.036100537,0.029788068,0.031409986,0.046907067,0.049943227,0.08248362,0.035363324,0.04063332,0.14583367,0.52006,-171.9093,-240.23636,-221.38843,-78.81787,-56.521393,115.483475,-24.87029,-13.406136,468.4117,558.1543,79,20,35,98,99
73,0.0358177,0.029788068,0.030815734,0.046907056,0.049943227,0.08141734,0.035363324,0.040812735,0.15210074,0.89826256,-174.70547,-240.23636,-228.17868,-78.8179,-56.521393,109.01525,-20.600697,-11.531794,435.12442,510.89874,82,26,42,97,99
74,0.03556303,0.029783625,0.030815734,0.04668791,0.049943227,0.08043585,0.034707326,0.039157465,0.15135118,0.9535754,-177.24225,-240.28937,-228.17868,-80.4827,-56.521393,98.91716,-26.03629,-11.472286,412.34482,507.63538,80,24,37,97,98
