gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
31,8.082042e-5,5.5367447e-5,5.7272162e-5,9.962827e-5,0.0001041325,8.93083e-5,5.272175e-5,5.8035712e-5,0.00014099092,0.00014831788,-1604.1194,-2594.9392,-2520.7935,-871.9773,-696.6389,-1510.1056,-2453.8274,-2401.2524,-820.8045,-652.2451,72.50841,30.57932,35.026382,149.0944,182.09496,25.729202,8.279102,10.463033,80.10067,152.17497,33,16,17,61,74,34.754,14.708,17.174,49.78,54.098
32,8.0162994e-5,5.5367447e-5,5.7272162e-5,9.863111e-5,0.000102441096,8.6274275e-5,5.262462e-5,5.7039542e-5,0.00014006825,0.00014792263,-1629.7112,-2594.9392,-2520.7935,-910.7942,-762.48096,-1516.3645,-2460.5615,-2408.137,-820.8045,-719.4621,74.705635,30.57932,35.155594,156.00294,181.90422,25.729202,9.871297,11.459388,84.36197,135.167,33,16,18,62,72,36.54,16.136,18.994,51.09,56.268
33,7.986352e-5,5.5081502e-5,5.6755875e-5,9.58241e-5,0.000100603575,8.44413e-5,5.1919687e-5,5.5936773e-5,0.00013791189,0.00014831765,-1641.3691,-2606.0703,-2540.891,-1020.06396,-834.0112,-1536.1774,-2466.563,-2408.137,-964.7327,-765.80084,76.90286,33.08047,37.429947,162.48302,182.24004,25.864422,11.158808,11.38859,92.47319,168.35191,35,16,18,67,79,38.062,17.738,20.754,53.584,58.464
34,7.5537624e-5,5.5367447e-5,5.6814617e-5,9.512836e-5,9.9863326e-5,8.094059e-5,5.1919687e-5,5.6663706e-5,0.00013546452,0.00014766333,-1809.7651,-2594.9392,-2538.6045,-1047.1477,-862.82715,-1617.8677,-2464.0354,-2408.137,-966.74506,-782.67413,83.92634,31.191624,37.429947,158.2611,181.90422,28.136906,10.921672,11.734987,86.20412,159.06172,37,16,19,66,71,40.386,18.998,22.622,54.218,58.85
35,7.309749e-5,5.5081502e-5,5.628855e-5,9.407009e-5,9.962825e-5,7.612024e-5,5.1919687e-5,5.5934364e-5,0.00013429628,0.00014653927,-1904.7534,-2606.0703,-2559.083,-1088.343,-871.9783,-1740.0543,-2469.2195,-2408.137,-1027.6023,-820.7714,89.80082,33.08047,37.429947,156.00294,182.09496,30.305664,11.11959,11.995761,109.89584,164.44519,41,17,20,67,79,42.716,20.498,23.0,56.34,60.392
36,7.117976e-5,5.3841442e-5,5.545345e-5,9.292947e-5,9.962825e-5,7.596629e-5,5.1675015e-5,5.5211436e-5,0.00013412547,0.00014766333,-1979.4058,-2654.3428,-2591.5913,-1132.7449,-871.9783,-1830.2014,-2471.0203,-2417.426,-1061.0669,-820.7714,87.888985,35.155594,43.668274,167.85268,182.09496,25.607021,8.6089325,11.378885,86.20412,159.06172,40,17,21,70,79,44.568,21.962,25.936,56.172,61.012
37,7.109798e-5,5.3484604e-5,5.5367447e-5,9.292947e-5,9.637489e-5,7.032858e-5,5.1675015e-5,5.480646e-5,0.00013356545,0.00014371214,-1982.5894,-2668.2334,-2594.9392,-1132.7449,-998.62305,-1850.5852,-2477.7947,-2426.0186,-1066.9547,-949.7016,91.49543,40.864113,45.747715,157.06691,182.09496,28.162699,10.686852,11.378885,86.20412,159.06172,43,20,21,69,77,45.314,22.636,27.74,58.394,60.948
38,6.6667206e-5,5.32016e-5,5.5075692e-5,9.057883e-5,9.637489e-5,6.9331996e-5,5.0945633e-5,5.3551226e-5,0.0001325902,0.00014371205,-2155.068,-2679.2502,-2606.2964,-1224.249,-998.62305,-1968.7406,-2477.7947,-2426.0186,-1101.876,-949.7016,99.01116,41.21047,45.747715,174.41655,187.37308,34.003593,9.899156,11.65943,86.20412,159.06172,44,20,23,71,79,47.48,24.016,30.18,59.15,60.766
39,6.5601955e-5,5.32016e-5,5.461758e-5,9.057883e-5,9.508081e-5,6.900461e-5,5.085958e-5,5.3612875e-5,0.0001325902,0.0001432242,-2196.5356,-2679.2502,-2624.1296,-1224.249,-1048.9985,-2005.442,-2478.2222,-2433.632,-1101.876,-973.1214,99.01116,41.21047,44.75593,181.90422,191.33781,35.314117,9.899156,11.65943,97.54418,168.00858,44,20,23,71,79,48.098,26.124,32.224,60.238,62.344
40,6.511479e-5,5.2228803e-5,5.413913e-5,9.0090616e-5,9.3423885e-5,6.846593e-5,5.085958e-5,5.3080454e-5,0.00013158437,0.00013750164,-2215.4995,-2717.1187,-2642.7544,-1243.2539,-1113.4983,-2005.442,-2490.3787,-2446.9238,-1104.0673,-1041.4766,106.05152,43.944492,49.892574,181.90422,197.5011,36.546318,11.589365,14.256208,115.04042,184.62996,46,20,23,72,79,50.272,28.592,33.102,61.182,63.46
41,6.511067e-5,5.215084e-5,5.324506e-5,9.0090616e-5,9.3423885e-5,6.8123234e-5,5.0731393e-5,5.211296e-5,0.00013158437,0.00013458707,-2215.6602,-2720.1536,-2677.5583,-1243.2539,-1113.4983,-2048.6467,-2529.0254,-2474.356,-1143.3195,-1046.5493,106.05152,44.75593,50.536167,181.90422,187.37308,32.87401,11.106838,14.256208,115.04042,189.1507,45,21,25,74,78,51.094,28.8,34.19,61.42,63.762
42,6.446194e-5,5.2001174e-5,5.32016e-5,8.849917e-5,9.29715e-5,6.686395e-5,5.0731393e-5,5.188857e-5,0.00012941904,0.00013369689,-2240.9136,-2725.9795,-2679.2502,-1305.2051,-1131.1084,-2091.014,-2556.2778,-2479.1714,-1240.631,-1057.3877,106.05152,44.75593,57.12784,181.90422,187.03583,34.159992,11.009107,13.996039,104.96635,159.06172,48,21,25,76,78,52.354,30.862,36.12,60.928,64.748
43,6.370358e-5,5.1613577e-5,5.2277945e-5,8.849917e-5,9.29715e-5,6.5642496e-5,5.0681512e-5,5.2063224e-5,0.00012941904,0.00013458707,-2270.4346,-2741.0679,-2715.2058,-1305.2051,-1131.1084,-2109.261,-2558.7915,-2498.939,-1240.631,-1057.3877,108.2215,49.906597,59.867214,181.90422,187.37308,34.159992,11.300626,13.60524,110.33187,169.35931,48,23,26,76,79,53.214,32.838,38.51,61.366,64.848
44,6.141337e-5,5.0829054e-5,5.215053e-5,8.811872e-5,9.288319e-5,6.397065e-5,5.0125233e-5,5.1675015e-5,0.00012820467,0.00013439805,-2359.5867,-2771.6074,-2720.1655,-1320.0146,-1134.5464,-2142.686,-2565.6143,-2498.939,-1240.631,-1068.0574,115.098976,49.906597,59.128063,181.90422,187.37308,34.48712,11.38203,13.996039,110.33187,218.35391,48,23,26,76,79,53.758,36.158,39.888,62.536,65.058
45,6.0929175e-5,5.06831e-5,5.2043073e-5,8.811863e-5,9.288319e-5,6.236762e-5,5.016915e-5,5.1675015e-5,0.00012593374,0.00012941155,-2378.4353,-2777.289,-2724.3486,-1320.0186,-1134.5464,-2215.4802,-2570.032,-2532.5127,-1240.631,-1077.8619,111.8208,49.906597,59.867214,181.90422,197.5011,34.159992,11.38203,13.883116,110.70733,142.72713,49,23,26,76,79,54.812,37.898,41.064,62.26,65.06
46,6.082596e-5,5.0078903e-5,5.15777e-5,8.636094e-5,9.057883e-5,6.2478146e-5,5.0125233e-5,5.158887e-5,0.00012566474,0.00012941155,-2382.4531,-2800.8088,-2742.4644,-1388.4412,-1224.249,-2239.0872,-2575.8674,-2537.2114,-1287.5355,-1110.4559,111.8208,50.536167,64.462685,181.90422,200.56836,31.317299,10.514333,12.967552,115.2088,219.23546,48,24,29,77,82,54.46,39.954,43.082,61.432,65.514
47,6.047445e-5,5.005062e-5,5.15777e-5,8.618686e-5,9.057883e-5,6.236762e-5,5.0125233e-5,5.1675015e-5,0.00012566474,0.00012941155,-2396.1365,-2801.9097,-2742.4644,-1395.2173,-1224.249,-2241.2908,-2599.6687,-2537.2114,-1290.9268,-1110.4559,110.91688,59.94738,64.462685,182.1114,200.56836,31.09922,10.514333,12.967552,108.87667,198.92868,48,25,30,77,82,54.952,40.618,44.748,62.066,64.578
48,6.005731e-5,4.9943676e-5,5.084045e-5,8.563926e-5,9.057883e-5,6.050828e-5,4.754735e-5,5.085958e-5,0.00012566474,0.00012941155,-2412.3748,-2806.073,-2771.1638,-1416.5342,-1224.249,-2277.5737,-2631.2812,-2537.444,-1290.9268,-1133.1328,115.098976,50.536167,64.462685,183.88309,200.56836,32.08011,9.186132,13.460719,103.13624,148.19673,50,23,30,76,80,55.208,41.912,45.46,62.302,64.042
49,6.005731e-5,4.9943676e-5,5.068084e-5,8.404439e-5,9.057883e-5,6.0613802e-5,4.730496e-5,5.0255814e-5,0.00012532435,0.00012855795,-2412.3748,-2806.073,-2777.377,-1478.6184,-1224.249,-2277.5737,-2631.2812,-2537.7246,-1327.0634,-1133.148,112.70108,50.536167,65.91674,179.84215,197.5011,32.017204,9.191216,12.967552,108.87667,147.52477,50,23,30,75,77,56.174,41.854,46.172,62.53,65.058
50,5.8580925e-5,4.804799e-5,5.010957e-5,8.324066e-5,8.825952e-5,5.9666956e-5,4.627958e-5,4.9096987e-5,0.00010169676,0.0001282053,-2469.8467,-2879.8672,-2799.6152,-1509.9058,-1314.5339,-2291.1924,-2649.262,-2575.8674,-1376.7295,-1187.6382,117.98767,46.141716,65.91674,182.1114,197.5011,32.371067,12.181234,14.171461,96.39193,147.52477,50,21,30,75,81,55.976,43.116,47.544,64.14,65.688
51,5.838535e-5,4.804799e-5,5.0369308e-5,8.278939e-5,8.811863e-5,5.9270413e-5,4.7175574e-5,4.830532e-5,9.605332e-5,0.00012593294,-2477.4597,-2879.8672,-2789.5042,-1527.4724,-1320.0186,-2319.8477,-2649.262,-2575.8674,-1390.1042,-1203.3171,124.33959,50.536167,68.10686,186.76408,197.5011,32.08011,12.813725,14.781558,90.40586,135.9964,53,23,31,77,83,55.764,41.764,46.49,63.748,65.962
