84,1379506,0.00042112402165107805,0.00044375272901064867,41.072,((-0.06023996 - (((135.90576 - (135.90596 - (X2 * 5.1282772e-5))) * X1) - (X2 * 0.033429753))) + pdiv((X1 - (467.68375 - (X2 * 121.45601))), (-146.88905 + ((279.75598 - (X2 * 96.06286)) * pdiv((log(abs(exp(X1)) - -56.713165), -38.065166)))))
85,1400702,0.000418476128285284,0.0004527405241291889,41.3,((-0.0832419 - ((((X2 * -209.91974) - (0.00021993973 - (X2 * 209.91978))) * X1) - (X2 * 0.03726667))) + pdiv((X1 - (467.81635 - (X2 * 121.03661))), (-146.82227 + ((279.83386 - (X2 * 95.75833)) * pdiv((log(abs(exp(X1)) - -56.755222), -38.261784)))))
86,1421601,0.00041708694171242657,0.0005813411292665378,41.258,((-0.07177183 - ((((X2 * -167.49672) - (0.00019029713 - (X2 * 167.49678))) * X1) - (X2 * 0.035126332))) + pdiv((X1 - (467.81854 - (X2 * 121.028496))), (-146.8208 + ((279.8317 - (X2 * 95.76654)) * pdiv((log(abs(exp(X1)) - -56.758305), -38.25713)))))
87,1442628,0.0004162247183041181,0.000621393498729856,41.226,((-0.07185244 - ((((X2 * -167.49672) - (0.00017557714 - (X2 * 167.49678))) * X1) - (X2 * 0.034974173))) + pdiv((X1 - (467.87277 - (X2 * 120.847466))), (-146.78003 + ((279.88257 - (X2 * 95.59872)) * pdiv((log(abs(exp(X1)) - -56.85667), -38.305077)))))
88,1464832,0.0004157146298043088,0.000594950360337457,41.586,((-0.07636119 - ((((X2 * -167.49672) - (0.00018943433 - (X2 * 167.49678))) * X1) - (X2 * 0.035921954))) + pdiv((X1 - (467.87344 - (X2 * 120.84503))), (-146.77959 + ((279.88196 - (X2 * 95.60101)) * pdiv((log(abs(exp(X1)) - -56.85751), -38.30389)))))
89,1486844,0.0004153641864799819,0.0005176773599180012,41.876,((-0.07332559 - ((((X2 * -146.28522) - (0.00017329799 - (X2 * 146.28526))) * X1) - (X2 * 0.035149075))) + pdiv((X1 - (467.9157 - (X2 * 120.73003))), (-146.74954 + ((279.89722 - (X2 * 95.5278)) * pdiv((log(abs(exp(X1)) - -56.88523), -38.37519)))))
90,1508657,0.0004151045171099355,0.000506738337811073,41.568,((-0.0791674 - ((((X2 * -146.28522) - (0.00018931221 - (X2 * 146.28526))) * X1) - (X2 * 0.036290072))) + pdiv((X1 - (467.91544 - (X2 * 120.73112))), (-146.74968 + ((279.8976 - (X2 * 95.526276)) * pdiv((log(abs(exp(X1)) - -56.88493), -38.376045)))))
91,1533983,0.0004149354806176666,0.0005233677016504662,42.07,((-0.07694782 - ((((X2 * -146.28522) - (0.00017856825 - (X2 * 146.28526))) * X1) - (X2 * 0.035782594))) + pdiv((X1 - (467.9387 - (X2 * 120.670784))), (-146.7267 + ((279.90872 - (X2 * 95.47963)) * pdiv((log(abs(exp(X1)) - -56.92275), -38.411182)))))
92,1558555,0.00041481293415478757,0.0005167706175010995,41.726,((-0.08086598 - ((((X2 * -146.28522) - (0.00018918142 - (X2 * 146.28526))) * X1) - (X2 * 0.036547046))) + pdiv((X1 - (467.9385 - (X2 * 120.67152))), (-146.72678 + ((279.909 - (X2 * 95.47859)) * pdiv((log(abs(exp(X1)) - -56.92256), -38.4118)))))
93,1583199,0.00040209522496574573,0.0004926363293381894,41.424,((-0.19850557 - (((203.35875 - (203.35883 - ((pdiv((((X2 * 95.484215) - X1) - -82.7575), -65.40615) + X2) * 1.2010216e-5))) * X1) - (X2 * 0.033559494))) + pdiv((X1 - (469.20676 - (X2 * 121.83094))), (-138.56114 + ((276.30756 - (X2 * 98.43809)) * pdiv((log(abs(exp(X1)) - -72.40538), -57.040276)))))
94,1608025,0.0004017983627065595,0.0004961308609948519,41.13,((-0.20137706 - (((203.35875 - (203.35883 - ((pdiv((((X2 * 95.4842) - X1) - -82.7575), -65.406166) + X2) * 1.1990398e-5))) * X1) - (X2 * 0.03409234))) + pdiv((X1 - (469.20718 - (X2 * 121.82937))), (-138.56093 + ((276.30716 - (X2 * 98.439545)) * pdiv((log(abs(exp(X1)) - -72.406044), -57.039646)))))
95,1633965,0.00039821224739316493,0.0005077192507124285,41.066,((-0.21711498 - (((203.35793 - (203.35965 - ((pdiv((((-82.75797 * 95.4842) - X1) - -82.7575), -65.406166) + X2) * 1.2878368e-5))) * X1) - (X2 * 0.037089694))) + pdiv((X1 - (469.20578 - (X2 * 121.83462))), (-138.56215 + ((276.30878 - (X2 * 98.433525)) * pdiv((log(abs(exp(X1)) - -72.404434), -57.042145)))))
96,1662476,0.0003979437980779571,0.0005014302652463108,41.368,((-0.21592954 - (((203.3587 - (203.35887 - ((pdiv((((X2 * X2) - X1) - -82.7575), -65.406784) + X2) * 1.3085274e-5))) * X1) - (X2 * 0.03683747))) + pdiv((X1 - (469.20963 - (X2 * 121.823715))), (-138.56549 + ((276.31113 - (X2 * 98.424324)) * pdiv((log(abs(exp(X1)) - -72.41486), -57.046688)))))
97,1692933,0.00038896657270798117,0.0005818634310337094,41.992,((-0.20640251 - (((203.3392 - (203.37837 - ((pdiv((((X2 * 95.50952) - -82.75145) - -82.758385), X1) + X2) * 0.00011040449))) * X2) - (-0.006645309 * 0.041237134))) + pdiv((X1 - (469.1583 - (X2 * 121.61476))), (-139.5007 + ((276.22495 - (X2 * 98.69384)) * pdiv((log(abs(exp(X1)) - -71.438324), -57.001286)))))
98,1723437,0.0003768016721110636,0.0008099494896124534,40.332,((-0.21886644 - (((203.33815 - (203.37943 - ((pdiv((((X2 * 95.5127) - -82.74978) - -82.756714), X1) + X2) * 0.00016776151))) * X2) - (-0.007158568 * 0.041313443))) + pdiv((X1 - (469.47607 - (X2 * 120.85395))), (-139.4502 + ((276.1699 - (X2 * 98.42199)) * pdiv((log(abs(exp(X1)) - -70.76314), -57.738567)))))
99,1755774,0.0003733887102215191,0.0007891602935069524,39.712,((-0.23178367 - (((203.33745 - (203.38013 - ((pdiv((((X2 * 95.53941) - -82.73599) - -82.74293), X1) + X2) * 0.00021987257))) * X2) - (-0.007692153 * 0.041405506))) + pdiv((X1 - (469.7736 - (X2 * 121.13859))), (-137.37659 + ((275.75943 - (X2 * 98.69637)) * pdiv((log(abs(exp(X1)) - -70.98093), -59.23416)))))
100,1789560,0.00037202503655878015,0.0008533872671456829,39.764,((-0.2413233 - (((203.33672 - (203.38086 - ((pdiv((((X2 * 95.54224) - -82.73462) - -82.741554), X1) + X2) * 0.00020720187))) * X2) - (-0.008086588 * 0.041475892))) + pdiv((X1 - (469.79926 - (X2 * 120.87479))), (-137.21297 + ((275.88892 - (X2 * 98.37016)) * pdiv((log(abs(exp(X1)) - -71.20413), -59.174934)))))
