-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
11,137294,0.0005782891976459963,0.0014830456970307561,27.258,(((((((-0.40483695 * 3.6334525e-6) * X1) * (-87.23443 + (-94.82238 + exp(X2)))) * -0.0015490283) - ((log(abs(X1) * 0.00020335778) - 0.001054862)) * ((X1 * X2) + ((-5.055203 * X1) + exp(-0.15387647)))) + exp(((log(abs(X1) * -0.27989644) - -0.5034026)))
12,161097,0.0005382750766765229,0.0013128677715213046,29.092,(((((((-0.40483695 * 3.759766e-6) * X1) * (-87.234406 + (-94.82236 + exp(X2)))) * -0.0015486244) - ((log(abs(X1) * 0.00021556827) - 0.0010959291)) * ((X1 * X2) + ((-4.930117 * X1) + exp(-0.1536975)))) + exp(((log(abs(X1) * -0.265257) - -0.4511822)))
13,185628,0.0004958158814387401,0.0011800037206440796,31.754,(((((((-0.40481785 * exp(((log(abs(X1) * -0.25807375) - log(abs(X1)))) * X1) * (-87.23443 + (-94.82238 + exp(X2)))) * -1.5611904e-5) - ((log(abs(X1) * 0.00020451701) - 0.0010469028)) * ((X1 * X2) + ((-5.0266595 * X1) + exp(-0.15375434)))) + exp(((log(abs(X1) * -0.28496486) - -0.51184773)))
14,210405,0.0004415270649418714,0.001024820219548536,33.754,((((exp(((log(abs(X2) * -0.26328287) - -0.40537977)) * -0.005002073) - ((log(abs((exp(-125.48027) + X1)) * 0.00024005107) - 0.0062142117)) * ((X1 * X2) + ((-5.0747747 * X1) + exp(-0.1536133)))) + exp(((log(abs(X1) * -0.288544) - -0.5255404)))
15,236844,0.0003896258403065246,0.0008954761436243237,36.612,(((((((-0.4048346 * exp(((log(abs(X1) * -0.26419792) - -0.43099836))) * X2) * (-87.23443 + (-94.82238 + exp(((-5.09874 * X1) + 13.87466))))) * 6.7022097e-6) - ((log(abs(X2) * -0.000663241) - -0.0020247588)) * ((X1 * X2) + ((-5.0123506 * X1) + exp(-0.1536111)))) + exp(((log(abs(X1) * -0.2898978) - -0.52619)))
16,265642,0.00036876433259549964,0.0008223050549882725,37.012,(((((((-0.40482864 * exp(((log(abs(X1) * -0.27161056) - -0.43099594))) * X2) * (-87.23443 + (-94.82238 + exp(((-5.09874 * X1) + 13.87466))))) * 1.3068674e-5) - ((log(abs(X1) * -0.00021784104) - -0.0029572672)) * ((X1 * X2) + ((-5.0065584 * X1) + exp(-0.15358624)))) + exp(((log(abs(X1) * -0.28840014) - -0.5182793)))
17,296919,0.000351530287597314,0.0007596057388730432,38.868,(((((((-0.40482867 * exp(((log(abs(X1) * -0.31200603) - -0.43099594))) * X2) * (-87.23443 + (-94.82238 + exp(((-5.09874 * X1) + 13.87466))))) * 1.5704358e-5) - ((log(abs(X1) * -0.00030793448) - -0.0034245162)) * ((X1 * X2) + ((-4.9702845 * X1) + exp(-0.15337089)))) + exp(((log(abs(X1) * -0.2852537) - -0.5084881)))
18,328616,0.00034093083124958623,0.0006649258270579343,39.288,(((((((-0.40447763 * exp(((log(abs(X1) * -0.28370023) - -0.43085378))) * X2) * (-87.23443 + (-94.82238 + exp(((-5.09874 * X1) + 13.87466))))) * 1.3743329e-5) - ((X1 * -1.0463527e-6) - -0.0020913843)) * ((X1 * X2) + ((-4.976742 * X1) + exp(-0.1531524)))) + exp(((log(abs(X1) * -0.2830019) - -0.49969915)))
19,361531,0.00033578307248437926,0.0006719599490915934,39.942,(((((((-0.40447763 * exp(((log(abs(X1) * -0.28261265) - -0.43085378))) * X2) * (-87.23443 + (-94.82238 + exp(((-5.09874 * X1) + 13.87466))))) * 1.4124523e-5) - ((X1 * -1.0546755e-6) - -0.0021395888)) * ((X1 * X2) + ((-4.965927 * X1) + exp(-0.15310611)))) + exp(((log(abs(X1) * -0.28562254) - -0.50977635)))
20,397243,0.0003265008660476556,0.0006410883946466648,41.482,(((((((-0.40446883 * exp(((log(abs(X1) * -0.275121) - -0.43085024))) * X2) * (-87.23443 + (-0.008501545 + exp(((-5.09874 * X1) + 13.87466))))) * 2.9018534e-5) - ((X1 * -1.101653e-6) - -0.002226549)) * ((X1 * X2) + (-4.887319 * X1))) + exp(((log(abs(X1) * -0.27923805) - -0.48832974)))
21,434509,0.0003239990800067453,0.0005948600267493662,41.582,(((((((-0.00075822667 * exp(((log(abs(X1) * -1.0406058) - -0.3008705))) * exp(-0.28380713)) * (-87.23371 + (-94.82166 + exp(((-5.09874 * X1) + 13.87466))))) * 0.2823593) - ((log(abs(X2) * -0.0014968524) - -0.0027190186)) * ((X1 * X2) + ((-4.8656545 * X1) + -0.51079035))) + exp(((log(abs(X1) * -0.27545062) - -0.4807353)))
22,471817,0.00032037258152764264,0.0005902387150586198,42.49,(((((((-0.00076588313 * exp(((log(abs(X1) * -1.0395651) - -0.3008705))) * exp(-0.28380713)) * (-87.23371 + (-94.82166 + exp(((-5.09874 * X1) + 13.87466))))) * 0.2823593) - ((log(abs(X2) * -0.001556949) - -0.0028187505)) * ((X1 * X2) + ((-4.8602843 * X1) + -0.51073354))) + exp(((log(abs(X1) * -0.2787537) - -0.492402)))
23,507691,0.0003190704107014148,0.0005841737734846859,41.584,(((((((-0.000706764 * exp(((log(abs(X1) * -1.0168831) - -0.3008705))) * exp(-0.28380713)) * (-87.23371 + (-94.82166 + exp(((-5.09874 * X1) + 13.87466))))) * 0.28235924) - ((log(abs(X2) * -0.0015835937) - -0.0028736093)) * ((X1 * X2) + ((-4.8349423 * X1) + -0.51108027))) + exp(((log(abs(X1) * -0.2765341) - -0.4845892)))
24,543656,0.0003179145116966695,0.0005940051310390927,41.406,(((((((-0.0013114962 * exp(((log(abs(X1) * -0.98199236) - -0.3009508))) * exp(-0.28372684)) * (-87.23371 + (-0.15245855 + exp(((-5.09874 * X1) + X1))))) * 0.2826436) - ((log(abs(X2) * -0.0015771402) - -0.0028676253)) * ((X1 * X2) + ((-4.8488073 * X1) + -0.51135725))) + exp(((log(abs(X1) * -0.2779041) - -0.4891738)))
25,578832,0.000317534983022741,0.0005916819025586836,41.706,(((((((-0.0012203489 * exp(((log(abs(X1) * -0.96056944) - -0.30095047))) * exp(-0.28372717)) * (-87.23371 + (-0.15245855 + exp(((-5.09874 * X1) + X1))))) * 0.2826424) - ((log(abs(X2) * -0.001591489) - -0.0028996798)) * ((X1 * X2) + ((-4.839826 * X1) + -0.5117098))) + exp(((log(abs(X1) * -0.27681905) - -0.4854554)))
26,612305,0.00031685868821110464,0.0006089783410775147,40.488,(((((((8.203169e-5 * exp(((log(abs(X1) * -0.9063896) - -0.3008724))) * -4.895072) * (-87.23371 + (-94.82166 + exp(((-5.09874 * -0.49371922) + -0.031642076))))) * 0.28236577) - ((log(abs(X2) * -0.001579265) - -0.0028907186)) * ((X1 * X2) + ((-4.854508 * X1) + -0.5124753))) + exp(((log(abs(X1) * -0.27854466) - -0.4911555)))
27,646292,0.00031207093645079436,0.0005320381911959811,41.776,(((((((-0.40463194 * exp((exp(((log(abs(X1) * -0.97691715) - -0.30074814)) - -0.43091634))) * log(abs(X2)) * (-87.23443 + X2)) * 0.00030338796) - ((log(abs(X2) * 0.01250223) - -0.0051616267)) * ((X1 * X2) + ((-4.881089 * X1) + -0.3492425))) + exp(((log(abs(X1) * -0.2813231) - -0.49705923)))
28,678937,0.00031157973321247135,0.0005262755049560697,41.532,(((((((-0.40463203 * exp((exp(((log(abs(X1) * -0.9749404) - -0.30023402)) - -0.43091637))) * log(abs(X2)) * (-87.23442 + X2)) * 0.00030181385) - ((log(abs(X2) * 0.012390489) - -0.005216204)) * ((X1 * X2) + ((-4.8764696 * X1) + -0.3492559))) + exp(((log(abs(X1) * -0.28201425) - -0.4997491)))
29,712386,0.00031131437135221946,0.000526093660647368,41.294,(((((((-0.40463203 * exp((exp(((log(abs(X1) * -0.97331136) - -0.29974368)) - -0.43091637))) * log(abs(X2)) * (-87.23441 + X2)) * 0.000299579) - ((log(abs(X2) * 0.012299173) - -0.0051799337)) * ((X1 * X2) + ((-4.87463 * X1) + -0.3493059))) + exp(((log(abs(X1) * -0.2808709) - -0.49575195)))
30,745403,0.0003076673335870666,0.0005989378033165863,40.99,(((((4.8881033e-5 * (-87.23264 + (log(abs(X1) * X2))) * -0.2108771) - ((log(abs(X2) * -0.0019462266) - -0.0040083723)) * ((X1 * X2) + (((-0.99022096 * -87.23342) + ((-4.8909645 * X1) + -4.825338)) + exp(-0.15398794)))) + exp(((log(abs(X1) * -0.26348466) - -0.46789643)))
31,780187,0.0003073752737177065,0.0006060055247106313,41.554,(((((5.3063945e-5 * (-87.23264 + (log(abs(X1) * X2))) * -0.2108771) - ((log(abs(X2) * -0.0019605942) - -0.0040755337)) * ((X1 * X2) + (((-0.98808646 * -87.2334) + ((-4.9061785 * X1) + -4.825362)) + exp(-0.15400892)))) + exp(((log(abs(X1) * -0.2649893) - -0.4702235)))
32,813620,0.0003071621419851175,0.0006112457624751847,41.3,(((((6.163396e-5 * (-87.23264 + (log(abs(X1) * X2))) * -0.21087675) - ((log(abs(X2) * -0.002009874) - -0.004251844)) * ((X1 * X2) + (((-0.94836247 * -87.23295) + ((-4.9138517 * X1) + -4.8258176)) + exp(-0.1543993)))) + exp(((log(abs(X1) * -0.26572442) - -0.4677133)))
33,847976,0.000307089550898323,0.0006114025344217293,41.916,(((((6.3645224e-5 * (-87.23264 + (log(abs(X1) * X2))) * -0.21087588) - ((log(abs(X2) * -0.0020245144) - -0.0042988057)) * ((X1 * X2) + (((-0.9479115 * -87.23294) + ((-4.9126453 * X1) + -4.825823)) + -0.5164435))) + exp(((log(abs(X1) * -0.2658431) - -0.4671982)))
34,883199,0.00027884503732422645,0.000391503761286628,41.97,((((exp((X1 * (-4.848756 * X1))) * -0.20685261) - ((log(abs(X2) * ((log(abs(X2) * 0.0033968661) - 0.012858137)) - -0.012162678)) * ((X1 * X2) + (((-1.0251338 * -87.23382) + ((-4.8408036 * X1) + -4.8249373)) + exp(-0.15364483)))) + exp(((log(abs(X1) * -0.26702213) - -0.5018324)))
35,917680,0.00027802010062154037,0.0003855680647516525,42.104,((((exp((X1 * (-4.848756 * X1))) * -0.20685261) - ((log(abs(X2) * ((log(abs(X2) * 0.0034081403) - 0.012910629)) - -0.0122254845)) * ((X1 * X2) + (((-1.0226837 * -87.23379) + ((-4.821547 * X1) + -4.8249655)) + exp(-0.15366891)))) + exp(((log(abs(X1) * -0.264259) - -0.4941272)))
36,951789,0.000277898975704748,0.00038122328651137,42.82,((((exp((X1 * (-4.848756 * X1))) * -0.20685261) - ((log(abs(X2) * ((log(abs(X2) * 0.0034936636) - 0.013197433)) - -0.012464463)) * ((X1 * X2) + (((-1.020706 * -87.233765) + ((-4.8204546 * X1) + -4.8249884)) + exp(-0.15368836)))) + exp(((log(abs(X1) * -0.2646732) - -0.495535)))
37,985078,0.00027737446396253966,0.0003681740435378677,42.956,((((exp((X1 * (-4.848756 * X1))) * -0.20685261) - ((log(abs(X2) * ((log(abs(X2) * 0.0037407659) - 0.01403738)) - -0.0131753655)) * ((X1 * X2) + (((-0.9753048 * -87.23323) + ((-4.807955 * X1) + -4.8255086)) + exp(-0.15413466)))) + exp(((log(abs(X1) * -0.26476923) - -0.49430022)))
38,1018058,0.00026798275429951857,0.00040100335296362104,42.508,((((((pdiv(0.0002779365, (X1 * X2)) * ((-4.869563 * X1) + -4.8220334)) * X2) * X2) - ((log(abs(X2) * -0.008830762) - -0.007714176)) * ((X1 * X2) + (((-1.2532481 * -87.23664) + ((-4.869673 * X1) + -4.822322)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28523254) - -0.61868286)))
39,1051663,0.00026740818713887266,0.00040266428177304067,43.122,((((((pdiv(0.00027997696, (X1 * X2)) * ((-4.869497 * X1) + -4.8221)) * X2) * X2) - ((log(abs(X2) * -0.008868839) - -0.00771878)) * ((X1 * X2) + (((-1.2482655 * -87.23657) + ((-4.8855815 * X1) + -4.822379)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2872702) - -0.62347853)))
40,1084057,0.00026737550420718575,0.0003985638421746856,41.568,((((((pdiv(0.000287079, (X1 * X2)) * ((-4.8694267 * X1) + -4.8221707)) * X2) * X2) - ((log(abs(X2) * -0.009055513) - -0.007845559)) * ((X1 * X2) + (((-1.2479489 * -87.236565) + ((-4.8844247 * X1) + -4.822383)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28789058) - -0.6267233)))
41,1116139,0.0002673735251584857,0.0003986907843613894,42.14,((((((pdiv(0.00028715862, (X1 * X2)) * ((-4.869226 * X1) + -4.8223734)) * X2) * X2) - ((log(abs(X2) * -0.009056516) - -0.007845119)) * ((X1 * X2) + (((-1.2473617 * -87.23656) + ((-4.885286 * X1) + -4.8223896)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2879995) - -0.62694407)))
42,1148297,0.00026737299411616573,0.000398181818379244,42.242,((((((pdiv(0.00028792012, (X1 * X2)) * ((-4.8689895 * X1) + -4.8226123)) * X2) * X2) - ((log(abs(X2) * -0.00907654) - -0.007859152)) * ((X1 * X2) + (((-1.2470978 * -87.23656) + ((-4.8849206 * X1) + -4.8223925)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28804016) - -0.627216)))
43,1181079,0.000267369652461407,0.00039793792609077954,44.064,((((((pdiv(0.00028776354, (X1 * X2)) * ((-4.865743 * X1) + -4.82589)) * X2) * X2) - ((log(abs(X2) * -0.009069594) - -0.00785667)) * ((X1 * X2) + (((-1.2440432 * -87.23651) + ((-4.8842654 * X1) + -4.8224273)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2879779) - -0.6268183)))
44,1213245,0.0002673668805794904,0.0003988146957849067,43.32,((((((pdiv(0.00028715903, (X1 * X2)) * ((-4.8640294 * X1) + -4.827618)) * X2) * X2) - ((log(abs(X2) * -0.009049162) - -0.007840828)) * ((X1 * X2) + (((-1.247393 * -87.23656) + ((-4.885216 * X1) + -4.8223886)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28800642) - -0.62702733)))
45,1247050,0.00026736647368789945,0.00039835167444535744,42.666,((((((pdiv(0.0002879311, (X1 * X2)) * ((-4.863856 * X1) + -4.8277926)) * X2) * X2) - ((log(abs(X2) * -0.009069308) - -0.007854659)) * ((X1 * X2) + (((-1.2472495 * -87.23656) + ((-4.885019 * X1) + -4.82239)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28806686) - -0.6273567)))
46,1280268,0.00026736613284648024,0.00039869479530608884,42.034,((((((pdiv(0.00028735286, (X1 * X2)) * ((-4.8635893 * X1) + -4.828061)) * X2) * X2) - ((log(abs(X2) * -0.009053702) - -0.00784401)) * ((X1 * X2) + (((-1.2470397 * -87.23656) + ((-4.8852057 * X1) + -4.8223925)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28802866) - -0.62710387)))
47,1312426,0.000267365820605131,0.00039832321148039116,41.832,((((((pdiv(0.0002879455, (X1 * X2)) * ((-4.8634152 * X1) + -4.8282366)) * X2) * X2) - ((log(abs(X2) * -0.009069194) - -0.007854775)) * ((X1 * X2) + (((-1.2469763 * -87.23656) + ((-4.8849607 * X1) + -4.8223934)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2880647) - -0.6273377)))
48,1343594,0.0002673655271344673,0.00039865840536344976,41.868,((((((pdiv(0.0002873904, (X1 * X2)) * ((-4.863151 * X1) + -4.8285027)) * X2) * X2) - ((log(abs(X2) * -0.009054182) - -0.007844513)) * ((X1 * X2) + (((-1.2468373 * -87.23656) + ((-4.8851423 * X1) + -4.822395)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28802815) - -0.62710077)))
49,1374857,0.00026736524672508094,0.00039830584631776305,42.566,((((((pdiv(0.00028795714, (X1 * X2)) * ((-4.862978 * X1) + -4.8286767)) * X2) * X2) - ((log(abs(X2) * -0.009068966) - -0.007854766)) * ((X1 * X2) + (((-1.2468078 * -87.23656) + ((-4.88492 * X1) + -4.8223953)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28806338) - -0.6273288)))
50,1407495,0.0002673649748808473,0.00039863809111655456,42.46,((((((pdiv(0.00028741854, (X1 * X2)) * ((-4.8627152 * X1) + -4.8289413)) * X2) * X2) - ((log(abs(X2) * -0.0090543665) - -0.007844761)) * ((X1 * X2) + (((-1.2467154 * -87.23656) + ((-4.885107 * X1) + -4.8223963)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28802907) - -0.62710524)))
51,1439863,0.0002673647091506369,0.0003982989306360194,42.688,((((((pdiv(0.00028796965, (X1 * X2)) * ((-4.8625436 * X1) + -4.8291144)) * X2) * X2) - ((log(abs(X2) * -0.009068723) - -0.007854704)) * ((X1 * X2) + (((-1.2467103 * -87.23656) + ((-4.8848968 * X1) + -4.8223963)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28806394) - -0.6273305)))
52,1473278,0.0002673644473229218,0.0003986301228636472,42.432,((((((pdiv(0.0002874393, (X1 * X2)) * ((-4.862282 * X1) + -4.8293777)) * X2) * X2) - ((log(abs(X2) * -0.0090543255) - -0.007844821)) * ((X1 * X2) + (((-1.24665 * -87.23656) + ((-4.8850884 * X1) + -4.8223968)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2880308) - -0.6271144)))
53,1507755,0.000267364188438926,0.00039829933653390433,42.634,((((((pdiv(0.00028798278, (X1 * X2)) * ((-4.862111 * X1) + -4.82955)) * X2) * X2) - ((log(abs(X2) * -0.009068467) - -0.0078545995)) * ((X1 * X2) + (((-1.2466617 * -87.23656) + ((-4.8848853 * X1) + -4.8223968)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28806567) - -0.627339)))
54,1541045,0.0002673639314669691,0.00039862906473011266,42.992,((((((pdiv(0.00028745655, (X1 * X2)) * ((-4.8618507 * X1) + -4.829812)) * X2) * X2) - ((log(abs(X2) * -0.009054174) - -0.00784478)) * ((X1 * X2) + (((-1.246623 * -87.23656) + ((-4.8850813 * X1) + -4.822397)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28803322) - -0.62712747)))
55,1574487,0.000267363675859811,0.0003983006991444226,42.502,((((((pdiv(0.0002879963, (X1 * X2)) * ((-4.8616805 * X1) + -4.829983)) * X2) * X2) - ((log(abs(X2) * -0.009068213) - -0.007854487)) * ((X1 * X2) + (((-1.2466462 * -87.23656) + ((-4.8848825 * X1) + -4.8223968)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28806806) - -0.62735206)))
56,1609015,0.00026736342121058183,0.0003986326934436986,42.35,((((((pdiv(0.00028747122, (X1 * X2)) * ((-4.861421 * X1) + -4.8302445)) * X2) * X2) - ((log(abs(X2) * -0.009053941) - -0.007844668)) * ((X1 * X2) + (((-1.2466223 * -87.23656) + ((-4.885082 * X1) + -4.822397)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28803605) - -0.6271431)))
57,1644908,0.00026736316748312357,0.0003983069920090452,43.67,((((((pdiv(0.0002880089, (X1 * X2)) * ((-4.861252 * X1) + -4.830415)) * X2) * X2) - ((log(abs(X2) * -0.009067921) - -0.007854329)) * ((X1 * X2) + (((-1.2466532 * -87.23656) + ((-4.8848853 * X1) + -4.8223968)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.28807095) - -0.62736785)))
58,1680576,0.0002673629142975439,0.00039863907530756607,43.548,((((((pdiv(0.00028748525, (X1 * X2)) * ((-4.860993 * X1) + -4.8306756)) * X2) * X2) - ((log(abs(X2) * -0.009053683) - -0.007844529)) * ((X1 * X2) + (((-1.2466393 * -87.23656) + ((-4.885087 * X1) + -4.8223968)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2880392) - -0.6271606)))
59,1716260,0.0002673604549065648,0.0003974896019856087,43.62,((((((pdiv(0.00028947153, (X1 * X2)) * ((-4.857262 * X1) + -4.8344293)) * X2) * X2) - ((log(abs(X2) * -0.009100559) - -0.007877045)) * ((X1 * X2) + (((-1.2469728 * -87.236565) + ((-4.884507 * X1) + -4.822393)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2881709) - -0.6280433)))
60,1750848,0.00026735828014074213,0.00039854317608518025,44.006,((((((pdiv(0.0002879053, (X1 * X2)) * ((-4.8570986 * X1) + -4.8345447)) * X2) * X2) - ((log(abs(X2) * -0.009058947) - -0.007848372)) * ((X1 * X2) + (((-1.246902 * -87.236565) + ((-4.885104 * X1) + -4.822394)) + exp(log(abs(X2))))) + exp(((log(abs(X1) * -0.2880948) - -0.6274672)))
61,1784500,0.00026003596063937776,0.00038071126371278706,44.23,((((X2 * (pdiv((X2 * 0.099125355), (X1 * X1)) * -0.029073074)) - ((log(abs(X2) * ((log(abs(X2) * 0.0038391242) - 0.014427472)) - -0.013545892)) * ((X1 * X2) + (((-1.1403697 * -87.78854) + ((-4.8699417 * X1) + log(abs(-0.48427898))) + (X1 * 0.003911139)))) + exp(((log(abs(X1) * -0.28413954) - -0.5924394)))
62,1817435,0.0002575950006802577,0.00039235939285182263,43.72,((((X2 * (pdiv((X2 * 0.098214485), (X1 * X1)) * -0.026044838)) - ((log(abs(X2) * ((log(abs(X2) * 0.0035853854) - 0.013540895)) - -0.012767618)) * ((X1 * X2) + (((-1.1373742 * -87.788506) + ((-4.8828483 * X1) + log(abs(-0.48420852))) + (X1 * -0.008995416)))) + exp(((log(abs(X1) * -0.2843829) - -0.58721024)))
63,1850779,0.0002574934802698966,0.00039542380075803095,43.302,((((X2 * (pdiv((X2 * 0.09842999), (X1 * X1)) * -0.026857829)) - ((log(abs(X2) * ((log(abs(X2) * 0.0035622418) - 0.013460772)) - -0.012697956)) * ((X1 * X2) + (((-1.1368543 * -87.7885) + ((-4.883486 * X1) + log(abs(-0.4841963))) + (X1 * -0.009632756)))) + exp(((log(abs(X1) * -0.28481692) - -0.58910143)))
64,1883767,0.00025719812922535176,0.00038659222921261043,43.394,((((X2 * (pdiv((X2 * 0.098991886), (X1 * X1)) * -0.028937021)) - ((log(abs(X2) * ((log(abs(X2) * 0.003769415) - 0.014152986)) - -0.013270167)) * ((X1 * X2) + (((-1.1341572 * -87.78846) + ((-4.8874025 * X1) + log(abs(-0.48413286))) + (X1 * -0.0135494415)))) + exp(((log(abs(X1) * -0.28741747) - -0.5987539)))
65,1918327,0.0002569734431370068,0.00036922484145297503,44.084,((((X2 * (pdiv((X2 * -0.000486661), (X1 * X1)) * X2)) - ((log(abs(X2) * ((log(abs(X2) * 0.0039147963) - 0.014669188)) - -0.013729898)) * ((X1 * X2) + (((-1.1281734 * -87.78838) + ((-4.889473 * X1) + log(abs(-0.48399207))) + (-0.007784953 * -0.009631986)))) + exp(((log(abs(X1) * -0.28500706) - -0.5885413)))
66,1952733,0.0002564735309515026,0.0003795065344078497,44.202,((((X2 * (pdiv((X2 * -0.00043966185), (X1 * X1)) * X2)) - ((log(abs(X2) * ((log(abs(X2) * 0.0036827812) - 0.013881029)) - -0.013064333)) * ((X1 * X2) + (((-1.1296086 * -87.7884) + ((-4.89005 * X1) + log(abs(-0.48402584))) + (-0.0077851103 * -0.009632113)))) + exp(((log(abs(X1) * -0.2827541) - -0.57881826)))
67,1987666,0.00025636906852392514,0.000377550940635069,43.748,((((X2 * (pdiv((X2 * -0.00044562964), (X1 * X1)) * X2)) - ((log(abs(X2) * ((log(abs(X2) * 0.0037032147) - 0.013959745)) - -0.013140864)) * ((X1 * X2) + (((-1.1316813 * -87.78842) + ((-4.8838544 * X1) + log(abs(-0.48407462))) + (-0.0077853375 * -0.009632297)))) + exp(((log(abs(X1) * -0.28240463) - -0.5788195)))
68,2023246,0.0002563394506965977,0.0003794180833513916,44.854,((((X2 * (pdiv((X2 * -0.00043165838), (X1 * X1)) * X2)) - ((log(abs(X2) * ((log(abs(X2) * 0.0036603664) - 0.013812207)) - -0.013015085)) * ((X1 * X2) + (((-1.1327857 * -87.78844) + ((-4.88269 * X1) + log(abs(-0.4841006))) + (-0.0077854586 * -0.009632395)))) + exp(((log(abs(X1) * -0.28162116) - -0.5757145)))
69,2056461,0.0002563373062995144,0.00037915222636078483,43.534,((((X2 * (pdiv((X2 * -0.0004338034), (X1 * X1)) * X2)) - ((log(abs(X2) * ((log(abs(X2) * 0.0036645504) - 0.013827768)) - -0.013029627)) * ((X1 * X2) + (((-1.1333855 * -87.788445) + ((-4.882184 * X1) + log(abs(-0.48411474))) + (-0.0077855242 * -0.009632448)))) + exp(((log(abs(X1) * -0.28165302) - -0.5760394)))
70,2089954,0.0002528750183362132,0.00040290796911769737,43.86,((((X2 * (pdiv(-87.23179, (X1 * -4.863674)) * -1.7363176e-5)) - ((X2 * ((X2 * 0.00016694743) - 0.0020613426)) - -0.0064169243)) * ((X1 * X2) + (((-1.1390705 * -87.235214) + ((-4.901071 * X1) + 0.0016711286)) + exp(X2)))) + exp(((log(abs(X1) * -0.25970137) - -0.56704825)))
