23,249787,0.0008219364479844001,0.00269302364869786,36.382,((5.795775 - X2) * (abs(-0.77794564) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.432272 * X1), X2) + exp((6.910927 - X2)))) + X1), -4.852503)) * X1), X2) + exp((5.608411 - X1)))) + X1), -5.9199767))))
24,262450,0.0008006456270570661,0.0012508248379492278,36.534,((5.795775 - X2) * (abs(-0.77853644) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.4365015 * X1), X2) + exp((6.943456 - X2)))) + X1), -4.8541045)) * X1), X2) + exp((5.608411 - X1)))) + X1), -5.9245234))))
25,274909,0.0007884058069933411,0.0015168151785935858,35.996,((5.795775 - X2) * (abs(-0.77497697) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.4365606 * X1), X2) + exp((6.9433365 - X2)))) + X1), -4.932479)) * X1), X2) + exp((5.6084023 - X1)))) + X1), -6.194452))))
26,286448,0.0007779193264068831,0.0008083210648008336,35.916,((5.795775 - X2) * (abs(-0.77741337) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.4329996 * X1), X2) + exp((6.9269853 - X2)))) + X1), -9.497152)) * X1), X2) + exp((5.6089244 - X1)))) + X1), -5.3461466))))
27,299201,0.0007759115960243208,0.01561265878071697,36.274,((5.795775 - X2) * (abs(-0.7773919) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.431181 * X1), X2) + exp((6.9183073 - X2)))) + X1), -12.0045395)) * X1), X2) + exp((5.6096845 - X1)))) + X1), -5.09468))))
28,312825,0.0007668867822301894,0.00221172342553627,36.21,((5.795775 - X2) * (abs(-0.77545017) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.43626 * X1), X2) + exp((6.9425383 - X2)))) + X1), -4.98771)) * X1), X2) + exp((pdiv((-2.2450132 * X1), X2) + exp((6.1429315 - X2)))))) + X1), -6.176106))))
29,329418,0.0007249075342337665,0.0007054530555424322,37.03,((5.795775 - 5.8895326) * (abs(-0.7132731) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.86129 * X1), X2) + exp((5.001169 - 1.1661361)))) + X1), (pdiv((-2.5838082 * X1), X2) + X1))) * X1), X2) + exp((5.6088095 - X1)))) + X1), -9.80205))))
30,346273,0.0007028808714347075,0.0006986747478806013,37.14,((5.795775 - 5.8895326) * (abs(-0.7181222) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.8487554 * X1), X2) + exp((4.9814844 - 1.1858209)))) + X1), (pdiv((-2.9781504 * X1), X2) + X1))) * X1), X2) + exp((5.60882 - X1)))) + X1), -9.769241))))
31,364248,0.0006994448935895583,0.00070849848393509,38.21,((5.795775 - 5.8895326) * (abs(-0.71631986) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.848305 * X1), X2) + exp((4.9806437 - 1.1866616)))) + X1), (pdiv((-3.0250692 * X1), X2) + X1))) * X1), X2) + exp(-3.247711))) + X1), -9.97175))))
32,383447,0.000696123558340321,0.0007090679201718018,39.29,((5.795775 - 5.8895326) * (abs(-0.71644163) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.848384 * X1), X2) + exp((4.9807186 - 1.1865866)))) + X1), (pdiv((-3.026279 * X1), X2) + X1))) * X1), X2) + exp((13.782003 - X1)))) + X1), -9.957132))))
33,401843,0.0005664273399187882,0.0006574047676770457,39.048,((5.795775 - 5.8895326) * (abs(-0.71467334) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.4365654 * X1), X2) + exp((4.8039804 - 1.3633251)))) + X1), (pdiv((-2.7295916 * X1), X2) + X1))) * X1), X2) + exp(exp((3.8837304 - X2))))) + X1), -10.113418))))
34,420566,0.0005385256290796782,0.0006182558423224019,39.436,((5.795775 - 5.8895326) * (abs(-0.71609604) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.436522 * X1), X2) + exp((4.8164306 - 1.3508747)))) + X1), (pdiv((-2.346087 * X1), X2) + X1))) * X1), X2) + exp(exp((4.172872 - X2))))) + X1), -9.750018))))
35,439119,0.0005352243221499658,0.0006008628434474911,38.764,((5.795775 - 5.8895326) * (abs(-0.71367157) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.438857 * X1), X2) + exp((4.8194323 - 1.3478732)))) + X1), (pdiv((-2.2226481 * X1), X2) + X1))) * X1), X2) + exp(exp((4.2809076 - X2))))) + X1), -9.890397))))
36,457333,0.0005347386322300574,0.0005916705760112148,38.23,((5.795775 - 5.8895326) * (abs(-0.7135999) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.437167 * X1), X2) + exp((4.816274 - 1.3510313)))) + X1), (pdiv((-2.2541673 * X1), X2) + X1))) * X1), X2) + exp(exp((4.325805 - X2))))) + X1), -9.932008))))
37,475849,0.0005347383851455908,0.0005915176618778143,39.498,((5.795775 - 5.8895326) * (abs(-0.71361095) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.437174 * X1), X2) + exp((4.8162556 - 1.3510495)))) + X1), (pdiv((-2.2535186 * X1), X2) + X1))) * X1), X2) + exp(exp((4.325938 - X2))))) + X1), -9.930813))))
38,493971,0.000534738385145675,0.0005915180002323597,39.224,((5.795775 - 5.8895326) * (abs(-0.7136109) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv((((X1 - X1) + (pdiv((-4.437174 * X1), X2) + exp((4.8162556 - 1.3510495)))) + X1), (pdiv((-2.2535186 * X1), X2) + X1))) * X1), X2) + exp(exp((4.325938 - X2))))) + X1), -9.930813))))
39,511980,0.0005280577226965866,0.0006170198259714705,39.002,((5.066714 - 5.8895326) * (abs(-0.708474) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.379143 + (pdiv((-4.429194 * X1), X2) + exp((4.774813 - 1.3924919)))) + X1), (pdiv((-0.64906114 * X1), X2) + X1))) * X1), X2) + exp(exp((4.466628 - X2))))) + X1), -9.631557))))
40,529385,0.0005270315024015118,0.0006132472711461368,38.874,((5.066714 - 5.8895326) * (abs(-0.7080462) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.37897 + (pdiv((-4.426633 * X1), X2) + exp((4.7693224 - 1.3979826)))) + X1), (pdiv((-0.76940763 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4743543 - X2))))) + X1), -9.714506))))
41,547140,0.0004751768614936759,0.0005805917422382333,39.404,((5.066714 - 5.8895326) * (abs(-0.70695573) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3804593 + (pdiv((-4.5271425 * X1), X2) + exp((4.809694 - 1.3576112)))) + X1), (pdiv((-0.7572329 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4818716 - X2))))) + X1), -9.742725))))
42,564670,0.0004695734953271201,0.0005977913202241797,39.8,((5.066714 - 5.8895326) * (abs(-0.7050508) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.380835 + (pdiv((-4.533522 * X1), X2) + exp((4.8201566 - 1.3471485)))) + X1), (pdiv((-0.89995795 * X1), X2) + X1))) * X1), X2) + exp(exp((4.464163 - X2))))) + X1), -9.982864))))
43,582861,0.00046920096745302537,0.0005959298593232544,40.01,((5.066714 - 5.8895326) * (abs(-0.7058196) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.530909 * X1), X2) + exp((4.814295 - 1.3530105)))) + X1), (pdiv((-1.0019994 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451685 - X2))))) + X1), -9.96095))))
44,600241,0.00046920096741507347,0.0005959308219086797,40.272,((5.066714 - 5.8895326) * (abs(-0.70581955) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.5309086 * X1), X2) + exp((4.814295 - 1.3530104)))) + X1), (pdiv((-1.0019994 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451685 - X2))))) + X1), -9.96095))))
45,617907,0.0004692009674140942,0.0005959308219086797,38.948,((5.066714 - 5.8895326) * (abs(-0.70581955) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.5309086 * X1), X2) + exp((4.814295 - 1.3530104)))) + X1), (pdiv((-1.0019994 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451685 - X2))))) + X1), -9.96095))))
46,635713,0.0004692009674140942,0.0005959308219086797,40.378,((5.066714 - 5.8895326) * (abs(-0.70581955) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.5309086 * X1), X2) + exp((4.814295 - 1.3530104)))) + X1), (pdiv((-1.0019994 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451685 - X2))))) + X1), -9.96095))))
47,653288,0.0004692009674140942,0.0005959308219086797,40.614,((5.066714 - 5.8895326) * (abs(-0.70581955) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.5309086 * X1), X2) + exp((4.814295 - 1.3530104)))) + X1), (pdiv((-1.0019994 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451685 - X2))))) + X1), -9.96095))))
48,671328,0.000469200211735171,0.000595927442642978,39.962,((X1 - 5.8895326) + (abs(-0.7058195) ^ log(abs(pdiv(((exp((5.609774 - X1)) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.530906 * X1), X2) + exp((4.8142905 - 1.3530147)))) + X1), (pdiv((-1.0019988 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4516807 - X2))))) + X1), -9.960953))))
49,688597,0.00046920021173634744,0.000595927442642978,40.316,((X1 - 5.8895326) + (abs(-0.7058195) ^ log(abs(pdiv(((exp((5.609774 - X1)) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.530906 * X1), X2) + exp((4.8142905 - 1.3530147)))) + X1), (pdiv((-1.0019988 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4516807 - X2))))) + X1), -9.960953))))
50,706434,0.00046920021173634744,0.000595927442642978,39.658,((X1 - 5.8895326) + (abs(-0.7058195) ^ log(abs(pdiv(((exp((5.609774 - X1)) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.530906 * X1), X2) + exp((4.8142905 - 1.3530147)))) + X1), (pdiv((-1.0019988 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4516807 - X2))))) + X1), -9.960953))))
51,723579,0.00046920021173634744,0.000595927442642978,39.368,((X1 - 5.8895326) + (abs(-0.7058195) ^ log(abs(pdiv(((exp((5.609774 - X1)) + (pdiv((log(abs(pdiv(((6.3806453 + (pdiv((-4.530906 * X1), X2) + exp((4.8142905 - 1.3530147)))) + X1), (pdiv((-1.0019988 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4516807 - X2))))) + X1), -9.960953))))
52,741422,0.00046919898405829014,0.0005959279398656299,39.272,((5.066714 - 5.8895326) * (abs(-0.70581925) ^ log(abs(pdiv(((exp((X2 - X1)) + (pdiv((log(abs(pdiv(((6.380729 + (pdiv((-4.530907 * X1), X2) + exp((4.8142905 - 1.3530143)))) + X1), (pdiv((-1.0020262 * X1), X2) + X1))) * X1), X2) + exp(exp((4.451688 - X2))))) + X1), -9.96099))))
53,758841,0.0004691772970343413,0.0005968291618460232,39.558,((X1 - 5.8895326) + (abs(-0.70580703) ^ log(abs(pdiv(((exp((-6.0695734 - -0.76640666)) + (pdiv((log(abs(pdiv(((5.001456 + (pdiv((-4.5310884 * X1), X2) + exp((4.8357835 - 1.3315214)))) + X1), (pdiv((-1.004234 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4495797 - X2))))) + X1), -9.963331))))
54,776881,0.0004690207962732486,0.0005944168812059132,39.162,((X1 - 5.8895326) + (abs(-0.70566165) ^ log(abs(pdiv(((exp((-4.6009264 - -2.2350535)) + (pdiv((log(abs(pdiv(((5.001403 + (pdiv((-4.5299993 * X1), X2) + exp((4.83408 - 1.3332249)))) + X1), (pdiv((-0.9978149 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4546447 - X2))))) + X1), -9.973056))))
55,794291,0.0004653484982371478,0.0005979083778485048,39.54,((X1 - 5.8895326) * (abs(-0.70087975) ^ log(abs(pdiv(((exp((X1 - X1)) + (pdiv((log(abs(pdiv(((6.381289 + (pdiv((-4.5332427 * X1), X2) + exp((4.8181415 - 1.349163)))) + X1), (pdiv((-0.993918 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4561176 - X2))))) + X1), -10.580583))))
56,811440,0.00046533268490522704,0.00059901507509613,39.198,((X1 - 5.8895326) * (abs(-0.70090824) ^ log(abs(pdiv(((exp((X1 - X1)) + (pdiv((log(abs(pdiv(((6.3813233 + (pdiv((-4.5339513 * X1), X2) + exp((4.8192253 - 1.3480793)))) + X1), (pdiv((-1.0051215 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4560804 - X2))))) + X1), -10.585738))))
57,828597,0.00046533268490519,0.00059901507509613,39.606,((X1 - 5.8895326) * (abs(-0.70090824) ^ log(abs(pdiv(((exp((X1 - X1)) + (pdiv((log(abs(pdiv(((6.3813233 + (pdiv((-4.5339513 * X1), X2) + exp((4.8192253 - 1.3480793)))) + X1), (pdiv((-1.0051215 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4560804 - X2))))) + X1), -10.585738))))
58,845780,0.00046533268490519,0.00059901507509613,40.328,((X1 - 5.8895326) * (abs(-0.70090824) ^ log(abs(pdiv(((exp((X1 - X1)) + (pdiv((log(abs(pdiv(((6.3813233 + (pdiv((-4.5339513 * X1), X2) + exp((4.8192253 - 1.3480793)))) + X1), (pdiv((-1.0051215 * X1), X2) + X1))) * X1), X2) + exp(exp((4.4560804 - X2))))) + X1), -10.585738))))
59,862987,0.00045510953372149813,0.0006149538301663902,39.158,(-13.425935 * (abs(-0.69213605) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.4739327 * X1), X2) + exp(3.4823701))) + X1), pdiv((-3.3073716 * X1), exp(exp((3.728079 - X2)))))) * X1), 4.8729787) + exp((4.8006763 - X2)))) + X1), -7.924725))))
60,880974,0.00045423634021152085,0.000611985542314327,40.938,(-13.425935 * (abs(-0.6921392) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp(pdiv(6.2263684, X1)) + (pdiv((-4.4732666 * X1), X2) + exp(3.4474525))) + X1), pdiv((-3.3079412 * X1), exp(exp((3.7249203 - X2)))))) * X1), 4.8784676) + exp((4.810398 - X2)))) + X1), -7.928031))))
61,898334,0.0004539197992277238,0.0006052019063588085,40.084,(-13.425935 * (abs(-0.6914106) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp(pdiv(6.232499, X1)) + (pdiv((-4.4748087 * X1), X2) + exp(3.45228))) + X1), pdiv((-3.3316932 * X1), exp(exp((3.6677413 - X2)))))) * X1), 4.9229174) + exp((4.934265 - X2)))) + X1), -7.9880657))))
62,916080,0.0004538199891188298,0.0006037716807036165,40.746,(-13.425935 * (abs(-0.69176465) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp(pdiv(6.2413497, X1)) + (pdiv((-4.4756966 * X1), X2) + exp(3.454696))) + X1), pdiv((-3.3213186 * X1), exp(exp((3.626312 - X2)))))) * X1), 4.946765) + exp((4.9678373 - X2)))) + X1), -7.977299))))
63,933953,0.00045376983105730205,0.0006017899792808706,40.442,(-13.425935 * (abs(-0.6916404) ^ log(abs(pdiv(((exp((-4.5338345 - X2)) + (pdiv((log(abs(pdiv(((exp(pdiv(6.9007344, X1)) + (pdiv((-4.4765563 * X1), X2) + exp(3.4570715))) + X1), pdiv((-3.3242884 * X1), exp(exp((3.5880773 - X2)))))) * X1), 4.97164) + exp((5.013208 - X2)))) + X1), -7.993144))))
64,950918,0.0004507168405028627,0.0005607752897137473,39.266,((5.066714 - -0.7017039) * (abs(-0.6913001) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512029 + (pdiv((-4.439085 * X1), X2) + exp(3.4436808))) + X1), pdiv((-3.2809422 * X1), exp(exp((3.6620083 - X2)))))) * X1), 4.898333) + exp((5.06284 - X2)))) + X1), -7.8525357))))
65,968531,0.0004490900801629898,0.0005585503554769744,40.262,((5.066714 - -0.7017039) * (abs(-0.69343597) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.951219 + (pdiv((-4.4385324 * X1), X2) + exp(3.4431498))) + X1), pdiv((-3.2248292 * X1), exp(exp((3.735782 - X2)))))) * X1), 4.84167) + exp((4.8654523 - X2)))) + X1), -7.7266498))))
66,985381,0.000448722338443524,0.0005506330529532385,40.52,((5.066714 - -0.7017039) * (abs(-0.6924926) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512334 + (pdiv((-4.4381247 * X1), X2) + exp(3.442701))) + X1), pdiv((-3.2483032 * X1), exp(exp((3.7774768 - X2)))))) * X1), 4.814489) + exp((4.8291683 - X2)))) + X1), -7.761789))))
67,1002926,0.0004486041565461775,0.0005500913892392061,40.88,((5.066714 - -0.7017039) * (abs(-0.6930001) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512408 + (pdiv((-4.4378815 * X1), X2) + exp(3.4424686))) + X1), pdiv((-3.2341354 * X1), exp(exp((3.8002439 - X2)))))) * X1), 4.7941866) + exp((4.7607765 - X2)))) + X1), -7.7294))))
68,1021170,0.0004485781279045721,0.0005491156752739709,39.66,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.442352))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
69,1038834,0.00044857812787557904,0.0005491128478148954,39.31,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.4423525))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
70,1057025,0.0004485781278756151,0.0005491128478148954,39.138,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.4423525))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
71,1074772,0.0004485781278756151,0.0005491128478148954,38.704,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.4423525))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
72,1093045,0.0004485781278756151,0.0005491128478148954,39.348,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.4423525))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
73,1110718,0.0004485781278756151,0.0005491128478148954,38.79,((5.066714 - -0.7017039) * (abs(-0.6928824) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((-2.9512446 + (pdiv((-4.4377627 * X1), X2) + exp(3.4423525))) + X1), pdiv((-3.235774 * X1), exp(exp((3.8126764 - X2)))))) * X1), 4.7848) + exp((4.7323537 - X2)))) + X1), -7.7305512))))
74,1128442,0.0004367394758183768,0.000582780454788073,40.128,((X1 - X2) * (abs(-0.680973) ^ log(abs(pdiv((((X1 - X1) + (pdiv((log(abs(pdiv(((exp((-2.104714 * 6.3988485)) + (pdiv((-4.4626594 * X1), X2) + exp(3.4503076))) + X1), pdiv((X2 * X1), exp(exp((3.765356 - X2)))))) * X1), 5.0269604) + 1.7706296)) + X1), -7.8825135))))
