-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=5
----------------------------------
gen,fevals,mse_train,mse_test,avg_len,best_expr
1,6823,0.0015135245536449322,0.001719465021416186,7.456,(abs(X1) ^ (-0.028698845 * (pdiv(X2, log(abs(X1)) + log(abs((X1 + -9.901624)))))
2,13093,0.0012121021482244376,0.0014317266183615112,8.04,(abs(pdiv(-2.6826274, (pdiv((-0.51897043 * X1), X2) - pdiv(log(abs(0.4292622), pdiv(-2.3164062, X1))))) ^ 0.26827884)
3,21463,0.0012121021441107859,0.0014317055235955622,9.998,(abs(pdiv(-2.6826012, (pdiv((-0.51913375 * X1), X2) - pdiv(log(abs(0.42930174), pdiv(-2.3164124, X1))))) ^ 0.26827833)
4,32401,0.001212102144110789,0.0014317055235955622,12.888,(abs(pdiv(-2.6826012, (pdiv((-0.51913375 * X1), X2) - pdiv(log(abs(0.42930174), pdiv(-2.3164124, X1))))) ^ 0.26827833)
5,45889,0.001173133920041287,0.03598287581130453,15.894,(abs(-218.53783) ^ (-0.036180053 * (pdiv(X2, (((X1 * 1.1652086) * pdiv(-0.8593504, -2.8016613)) * -0.79674053)) + log(abs((X1 + -27.68562)))))
6,60803,0.0010346671683029837,0.001272100189309111,17.818,(abs(pdiv(-2.6786666, (pdiv((-2.6049197 * (pdiv(pdiv(X1, (0.55104977 - pdiv(((pdiv((-1.3680123 * X1), -4.2450747) - pdiv(log(abs(X2), pdiv(-2.767621, -5.5604105))) + -12.849431), (X1 + 40.541996)))), X2) - X1)), X2) - pdiv(log(abs(-6.7197433), pdiv(-3.3071969, (X2 + ((-1.5959282 * 2.0776732) - 1.9936771))))))) ^ 0.34039837)
17,308176,0.00042982821859434623,0.00041690773677659205,39.198,(abs(pdiv(-3.707597, (pdiv((-1.8946046 * (pdiv(pdiv(X1, (0.51497287 - pdiv(((pdiv((-0.9082266 * X1), -4.4275227) - pdiv(log(abs(log(abs(-6.4931254)), pdiv(-29.666395, 0.2715421))) + -12.677372), (X1 + -6.579942)))), X2) - X1)), X2) - pdiv(log(abs(-6.6176057), pdiv(-3.7139819, (X2 + ((0.03792823 * (-5.5244355 * X1)) - 1.157008))))))) ^ 0.67113286)
18,334467,0.0004221971538475784,0.00044686398006065045,39.408,(abs(pdiv(-3.641571, (pdiv((-1.8621527 * (pdiv(pdiv(X1, (0.52660155 - pdiv(((pdiv((-0.9226541 * X1), -4.42456) - pdiv(log(abs(log(abs(-6.4927354)), X2)) + -12.665897), (X1 + -6.5760574)))), X2) - X1)), X2) - pdiv(log(abs(-6.642074), pdiv(-3.6314209, (X2 + ((0.039399523 * (-5.524446 * X1)) - 1.1212147))))))) ^ 0.6891509)
19,360646,0.00040541776636501245,0.0003991746318670272,39.86,(abs(pdiv(-3.5883725, (pdiv((-1.6880357 * (pdiv(pdiv(X1, (0.53549844 - pdiv(((pdiv((-0.9558144 * X1), -4.417825) - pdiv(-4.5303063, pdiv(-29.666445, 0.26617235))) + -12.64221), (X1 + -6.5611424)))), X2) - X1)), X2) - pdiv(log(abs(-6.6839337), pdiv(-3.4872417, (X2 + ((0.03466119 * (-5.5259 * X1)) - 1.0867524))))))) ^ 0.7365564)
20,386835,0.00039342225161852505,0.00042024146628750754,38.932,(abs(pdiv(-3.5645804, (pdiv((-1.7052374 * (pdiv(pdiv(X1, (0.54673207 - pdiv(((pdiv((-0.9526234 * X1), -4.418534) - pdiv(-4.53031, pdiv(-29.666445, 0.26623863))) + -12.642644), (X1 + -6.560625)))), X2) - X1)), X2) - pdiv(log(abs(-6.6883802), pdiv(-3.471014, (X2 + ((0.0384447 * (-5.5260777 * X1)) - 1.078067))))))) ^ 0.7787449)
21,412133,0.0003831444971537953,0.00039958065960083025,38.766,(abs(pdiv(-3.5100117, (pdiv((-1.5748122 * (pdiv(pdiv(X1, (0.5583901 - pdiv(((pdiv((-0.9923531 * X1), -4.4098783) - pdiv(-4.530054, pdiv(-29.666483, 0.26188296))) + -12.614121), (X1 + -6.5526924)))), X2) - X1)), X2) - pdiv(log(abs(-6.7210746), pdiv(-3.351145, (X2 + ((0.03471968 * (-5.5257835 * X1)) - 1.0479485))))))) ^ 0.81668675)
22,438008,0.00037779902915006046,0.00041600556304002796,38.982,(abs(pdiv(-3.505811, (pdiv((-1.5821661 * (pdiv(pdiv(X1, (0.56513566 - pdiv(((pdiv((-0.9916531 * X1), -4.4100366) - pdiv(-4.5300493, pdiv(-29.666483, 0.2617977))) + -12.613563), (X1 + -6.552096)))), X2) - X1)), X2) - pdiv(log(abs(-6.721337), pdiv(-3.3501482, (X2 + ((0.036689118 * (-5.525796 * X1)) - 1.0486506))))))) ^ 0.85322684)
23,463399,0.00037449089516052226,0.00040546462927043683,38.004,(abs(pdiv(-3.480246, (pdiv((-1.5211656 * (pdiv(pdiv(X1, (0.5773217 - pdiv(((pdiv((-1.0328166 * X1), -4.4006996) - pdiv(-4.5297885, pdiv(-29.666523, 0.2572848))) + -12.584008), (X1 + -6.551413)))), X2) - X1)), X2) - pdiv(log(abs(-6.73585), pdiv(-3.2946644, (X2 + ((0.03515308 * (-5.525714 * X1)) - 1.034432))))))) ^ 0.8809354)
24,490574,0.0003733762428575114,0.0004127035582306973,39.178,(abs(pdiv(-3.4814436, (pdiv((-1.5250787 * (pdiv(pdiv(X1, (0.5802351 - pdiv(((pdiv((-1.0350502 * X1), -4.4001756) - pdiv(-4.529772, pdiv(-29.666525, 0.2569878))) + -12.582064), (X1 + -6.5513787)))), X2) - X1)), X2) - pdiv(log(abs(-6.7350636), pdiv(-3.2977314, (X2 + ((0.03586673 * (-5.5257115 * X1)) - 1.0364277))))))) ^ 0.897776)
25,515555,0.00037059708150700407,0.00040380603442977537,38.938,(abs(pdiv(-3.4691885, (pdiv((-1.4995413 * (pdiv(pdiv(X1, (0.6082252 - pdiv(((pdiv((-1.1370331 * X1), -4.376083) - pdiv(-4.5291424, pdiv(-29.66662, 0.24587956))) + -12.509313), (X1 + -6.55921)))), X2) - X1)), X2) - pdiv(log(abs(-6.7414255), pdiv(-3.2729905, (X2 + ((0.035704926 * (-5.525689 * X1)) - 1.0275186))))))) ^ 0.929911)
26,541967,0.0003699821567547712,0.00040432981286655546,39.292,(abs(pdiv(-3.4721212, (pdiv((-1.5039132 * (pdiv(pdiv(X1, (0.6099112 - pdiv(((pdiv((-1.1405015 * X1), -4.375181) - pdiv(-4.529121, pdiv(-29.666624, 0.24548706))) + -12.506742), (X1 + -6.5594335)))), X2) - X1)), X2) - pdiv(log(abs(-6.740125), pdiv(-3.2780993, (X2 + ((0.03605271 * (-5.5256915 * X1)) - 1.0300264))))))) ^ 0.9372811)
27,568949,0.0003697314741871969,0.00040215455989161457,39.518,(abs(pdiv(-3.4713807, (pdiv((-1.5069845 * (pdiv(pdiv(X1, (0.61196554 - pdiv(((pdiv((-1.1521224 * X1), -4.37215) - pdiv(-4.529054, pdiv(-29.666634, 0.24425596))) + -12.498677), (X1 + -6.560775)))), X2) - X1)), X2) - pdiv(log(abs(-6.739967), pdiv(-3.2787213, (X2 + ((0.035934813 * (-5.5256906 * X1)) - 1.0292568))))))) ^ 0.929146)
28,594795,0.0003695033155277965,0.00040352616300183986,38.46,(abs(pdiv(-3.4731734, (pdiv((-1.5097407 * (pdiv(pdiv(X1, (0.61351305 - pdiv(((pdiv((-1.1554697 * X1), -4.3712673) - pdiv(-4.5290337, pdiv(-29.666637, 0.24387942))) + -12.496211), (X1 + -6.560906)))), X2) - X1)), X2) - pdiv(log(abs(-6.73916), pdiv(-3.2818851, (X2 + ((0.03621562 * (-5.525692 * X1)) - 1.0311106))))))) ^ 0.9352176)
29,621125,0.0003677534252348755,0.0004052177441158328,39.23,(abs(pdiv(-3.4739876, (pdiv((-1.542291 * (pdiv(pdiv(X1, (0.6460114 - pdiv(((pdiv((-1.2792706 * X1), -4.3387084) - pdiv(-4.528315, pdiv(-29.666748, 0.230527))) + -12.408749), (X1 + -6.570235)))), X2) - X1)), X2) - pdiv(log(abs(-6.735105), pdiv(-3.2977684, (X2 + ((0.037551206 * (-5.5257163 * X1)) - 1.0410331))))))) ^ 0.94025886)
30,647464,0.0003671357351020266,0.0003959195083994484,38.724,(abs(pdiv(-3.4766672, (pdiv((-1.5357922 * (pdiv(pdiv(X1, (0.64670944 - pdiv(((pdiv((-1.2812935 * X1), -4.338112) - pdiv(-4.528304, pdiv(-29.66675, 0.2303069))) + -12.407307), (X1 + -6.5689564)))), X2) - X1)), X2) - pdiv(log(abs(-6.7351604), pdiv(-3.297553, (X2 + ((0.03746676 * (-5.525716 * X1)) - 1.0447702))))))) ^ 0.949154)
31,672836,0.0003666366261526558,0.0003947264982351755,38.28,(abs(pdiv(-3.4664745, (pdiv((-1.5167668 * (pdiv(pdiv(X1, (0.65205985 - pdiv(((pdiv((-1.2973205 * X1), -4.333358) - pdiv(-4.528216, pdiv(-29.666763, 0.22856751))) + -12.395911), (X1 + -6.564437)))), X2) - X1)), X2) - pdiv(log(abs(-6.7401843), pdiv(-3.2779663, (X2 + ((0.037048116 * (-5.525676 * X1)) - 1.0494324))))))) ^ 0.96397835)
32,699509,0.00036651856713088374,0.00039199576437281067,38.97,(abs(pdiv(-3.4650743, (pdiv((-1.5199448 * (pdiv(pdiv(X1, (0.6548551 - pdiv(((pdiv((-1.3103079 * X1), -4.329469) - pdiv(-4.5281467, pdiv(-29.666775, 0.22719392))) + -12.386912), (X1 + -6.562792)))), X2) - X1)), X2) - pdiv(log(abs(-6.740187), pdiv(-3.2779555, (X2 + ((0.037008233 * (-5.5256753 * X1)) - 1.0547308))))))) ^ 0.9591893)
33,725989,0.00036588347907918323,0.00039111880845156533,39.578,(abs(pdiv(-3.454788, (pdiv((-1.5270164 * (pdiv(pdiv(X1, (0.67334354 - pdiv(((pdiv((-1.3745553 * X1), -4.310016) - pdiv(-4.5278006, pdiv(-29.666828, 0.22029446))) + -12.341709), (X1 + -6.5465136)))), X2) - X1)), X2) - pdiv(log(abs(-6.7421255), pdiv(-3.2703605, (X2 + ((0.037568048 * (-5.525675 * X1)) - 1.0944681))))))) ^ 0.97620726)
34,752303,0.0003650347610539968,0.00038857656764707286,39.01,(abs(pdiv(-3.4302, (pdiv((-1.5536519 * (pdiv(pdiv(X1, (0.6862103 - pdiv(((pdiv((-1.4253361 * X1), -4.2938113) - pdiv(-4.527538, pdiv(-29.666868, 0.214892))) + -12.306312), (X1 + -6.490027)))), X2) - X1)), X2) - pdiv(log(abs(-6.7455664), pdiv(-3.2568245, (X2 + ((0.037987955 * (-5.5256753 * X1)) - 1.1940008))))))) ^ 0.96252126)
35,778297,0.0003647996827027117,0.00038929631888890917,38.806,(abs(pdiv(-3.4235704, (pdiv((-1.544133 * (pdiv(pdiv(X1, (0.68691456 - pdiv(((pdiv((-1.4247082 * X1), -4.2940197) - pdiv(-4.52754, pdiv(-29.666868, 0.21493883))) + -12.306619), (X1 + -6.4827566)))), X2) - X1)), X2) - pdiv(log(abs(-6.7484813), pdiv(-3.2452977, (X2 + ((0.03780159 * (-5.525674 * X1)) - 1.2021091))))))) ^ 0.9721031)
36,804118,0.00036453260629771205,0.0003847125758219119,39.778,(abs(pdiv(-3.4129412, (pdiv((-1.5645095 * (pdiv(pdiv(X1, (0.6883966 - pdiv(((pdiv((-1.435568 * X1), -4.290416) - pdiv(-4.5274863, pdiv(-29.666876, 0.21380615))) + -12.299197), (X1 + -6.4478183)))), X2) - X1)), X2) - pdiv(log(abs(-6.7488637), pdiv(-3.2437825, (X2 + ((0.037980996 * (-5.5256753 * X1)) - 1.260787))))))) ^ 0.9533342)
37,829916,0.00036428147813229503,0.00038925543177890964,40.058,(abs(pdiv(-3.4051516, (pdiv((-1.5545875 * (pdiv(pdiv(X1, (0.6898309 - pdiv(((pdiv((-1.4361165 * X1), -4.290232) - pdiv(-4.527482, pdiv(-29.666876, 0.2137165))) + -12.29861), (X1 + -6.440857)))), X2) - X1)), X2) - pdiv(log(abs(-6.752132), pdiv(-3.2307966, (X2 + ((0.0378652 * (-5.5256724 * X1)) - 1.2681508))))))) ^ 0.9649428)
38,855603,0.00036393618200347504,0.0003892439238195971,38.896,(abs(pdiv(-3.3918095, (pdiv((-1.5848361 * (pdiv(pdiv(X1, (0.694846 - pdiv(((pdiv((-1.4591982 * X1), -4.282508) - pdiv(-4.5273657, pdiv(-29.666893, 0.21125115))) + -12.282455), (X1 + -6.400923)))), X2) - X1)), X2) - pdiv(log(abs(-6.7520103), pdiv(-3.2312903, (X2 + ((0.038372405 * (-5.5256915 * X1)) - 1.3387587))))))) ^ 0.9446675)
39,880226,0.0003636524235804821,0.00038835696023543676,38.13,(abs(pdiv(-3.381614, (pdiv((-1.5659592 * (pdiv(pdiv(X1, (0.69594425 - pdiv(((pdiv((-1.4601343 * X1), -4.28219) - pdiv(-4.52736, pdiv(-29.666893, 0.21112943))) + -12.281658), (X1 + -6.3931365)))), X2) - X1)), X2) - pdiv(log(abs(-6.757015), pdiv(-3.2113245, (X2 + ((0.037845567 * (-5.5256915 * X1)) - 1.3452264))))))) ^ 0.95487916)
40,904878,0.00036345393235803465,0.0003889364861860792,39.656,(abs(pdiv(-3.376833, (pdiv((-1.5861185 * (pdiv(pdiv(X1, (0.69849235 - pdiv(((pdiv((-1.4717817 * X1), -4.278219) - pdiv(-4.527302, pdiv(-29.666903, 0.20987786))) + -12.273457), (X1 + -6.372974)))), X2) - X1)), X2) - pdiv(log(abs(-6.7558217), pdiv(-3.216121, (X2 + ((0.038286977 * (-5.525688 * X1)) - 1.3825998))))))) ^ 0.9443933)
41,928783,0.00036330766573281197,0.0003882685573022426,38.598,(abs(pdiv(-3.3698635, (pdiv((-1.5752916 * (pdiv(pdiv(X1, (0.6992556 - pdiv(((pdiv((-1.4731807 * X1), -4.277738) - pdiv(-4.527294, pdiv(-29.666904, 0.20971628))) + -12.272398), (X1 + -6.3671737)))), X2) - X1)), X2) - pdiv(log(abs(-6.758976), pdiv(-3.2034605, (X2 + ((0.037946578 * (-5.525686 * X1)) - 1.3882252))))))) ^ 0.94938767)
42,953620,0.00036241902574456636,0.00038900038640558745,40.108,(abs(pdiv(-3.3247287, (pdiv((-1.6280199 * (pdiv(pdiv(X1, (0.71389747 - pdiv(((pdiv((-1.5304835 * X1), -4.258006) - pdiv(-4.5270057, pdiv(-29.666948, 0.20348948))) + -12.231594), (X1 + -6.2559686)))), X2) - X1)), X2) - pdiv(log(abs(-6.7643285), pdiv(-3.1819127, (X2 + ((0.03883914 * (-5.525722 * X1)) - 1.5774872))))))) ^ 0.92327344)
43,978695,0.00036195433649351805,0.00038707495809559136,39.622,(abs(pdiv(-3.3153155, (pdiv((-1.6115404 * (pdiv(pdiv(X1, (0.7144883 - pdiv(((pdiv((-1.5316536 * X1), -4.2575855) - pdiv(-4.5269995, pdiv(-29.666948, 0.20335355))) + -12.230703), (X1 + -6.2508364)))), X2) - X1)), X2) - pdiv(log(abs(-6.768823), pdiv(-3.163648, (X2 + ((0.038242772 * (-5.525717 * X1)) - 1.579743))))))) ^ 0.92725426)
44,1003629,0.00036171017305836934,0.0003868586167690641,39.144,(abs(pdiv(-3.304044, (pdiv((-1.6048092 * (pdiv(pdiv(X1, (0.7173712 - pdiv(((pdiv((-1.5384206 * X1), -4.255152) - pdiv(-4.5269647, pdiv(-29.666954, 0.20257972))) + -12.225632), (X1 + -6.2328596)))), X2) - X1)), X2) - pdiv(log(abs(-6.772549), pdiv(-3.1484122, (X2 + ((0.038137935 * (-5.5257134 * X1)) - 1.6063894))))))) ^ 0.9373204)
45,1028431,0.0003549705240253096,0.00035084485715479425,39.986,(abs(pdiv(-3.7498536, (pdiv((-1.9177724 * (pdiv(pdiv(X1, (0.3486074 - pdiv(((pdiv(log(abs(X1), (-11.804312 * -13.436147)) - pdiv(-3.3477607, pdiv(X2, 0.36786237))) + -10.571336), (X1 + 0.3928067)))), X2) - X1)), X2) - pdiv(log(abs(-6.6141257), pdiv(-3.6669312, (X2 + ((-0.38767818 * (0.7388349 * X1)) - -0.08836293))))))) ^ 0.85787874)
46,1053787,0.00035179373193714114,0.0003442054511484219,39.892,(abs(pdiv(-3.7283342, (pdiv((-1.8217593 * (pdiv(pdiv(X1, (0.35315922 - pdiv(((pdiv(log(abs(X1), (-11.804302 * -13.436138)) - pdiv(-3.3530822, pdiv(X2, 0.41622654))) + -10.539636), (X1 + 0.40491822)))), X2) - X1)), X2) - pdiv(log(abs(-6.6353126), pdiv(-3.5946774, (X2 + ((-0.37419495 * (0.7314974 * X1)) - -0.0973669))))))) ^ 0.913299)
47,1078505,0.00034988109930252483,0.0003346841490003404,39.874,(abs(pdiv(-3.736028, (pdiv((-1.8976111 * (pdiv(pdiv(X1, (0.35394463 - pdiv(((pdiv(log(abs(log(abs(X1)), (-11.804251 * -13.436093)) - pdiv(-3.3813715, pdiv(X2, 0.6429384))) + -10.397053), (X1 + 0.41972372)))), X2) - X1)), X2) - pdiv(log(abs(-6.6220255), pdiv(-3.6411195, (X2 + ((-0.39174852 * (0.7398186 * X1)) - -0.09933333))))))) ^ 0.901716)
48,1104370,0.00034921472224129323,0.0003332547863263729,39.564,(abs(pdiv(-3.7257838, (pdiv((-1.8589406 * (pdiv(pdiv(X1, (0.3552764 - pdiv(((pdiv(log(abs(log(abs(-6.225148)), (-11.80425 * -13.436092)) - pdiv(-3.3851435, pdiv(X2, 0.66276467))) + -10.392741), (X1 + 0.42706242)))), X2) - X1)), X2) - pdiv(log(abs(-6.6309514), pdiv(-3.610456, (X2 + ((-0.38498232 * (0.7362957 * X1)) - -0.09827704))))))) ^ 0.91999716)
49,1128446,0.0003482865285525471,0.0003282629313882336,39.67,(abs(pdiv(-3.7041266, (pdiv((-1.8936656 * (pdiv(pdiv(X1, (0.35694927 - pdiv(((pdiv(log(abs(log(abs(-6.2250814)), (-11.804289 * -1.9381549)) - pdiv(-3.4293215, pdiv(X2, 0.8882234))) + -10.410141), (X1 + 0.49028993)))), X2) - X1)), X2) - pdiv(log(abs(-6.63228), pdiv(-3.6058862, (X2 + ((-0.39215887 * (0.7415443 * X1)) - -0.015790446))))))) ^ 0.9212955)
50,1153256,0.00034767299381041806,0.00033076680884871053,39.294,(abs(pdiv(-3.672952, (pdiv((-1.8806096 * (pdiv(pdiv(X1, (0.35632014 - pdiv(((pdiv(log(abs(log(abs(-6.224306)), (-11.80474 * -1.940904)) - pdiv(-3.4457846, pdiv(X2, 0.9517754))) + -10.612117), (X1 + 0.5637058)))), X2) - X1)), X2) - pdiv(log(abs(-6.6434546), pdiv(-3.5670018, (X2 + ((-0.38563514 * (0.73800665 * X1)) - 0.09438784))))))) ^ 0.9128438)
51,1177692,0.000347487714041424,0.0003305265925544445,38.636,(abs(pdiv(-3.6776304, (pdiv((-1.9058449 * (pdiv(pdiv(X1, (0.3557946 - pdiv(((pdiv(log(abs(log(abs(-6.2243075)), (-11.804739 * -1.9408982)) - pdiv(-3.4500175, pdiv(X2, 0.96707004))) + -10.61169), (X1 + 0.56485856)))), X2) - X1)), X2) - pdiv(log(abs(-6.638313), pdiv(-3.5851314, (X2 + ((-0.39044917 * (0.7404882 * X1)) - 0.098036416))))))) ^ 0.903365)
52,1203200,0.00034736280714814957,0.0003293898492230231,40.31,(abs(pdiv(-3.672208, (pdiv((-1.8940992 * (pdiv(pdiv(X1, (0.3565995 - pdiv(((pdiv(log(abs(log(abs(-6.224323)), (-11.80473 * -1.9408449)) - pdiv(-3.4615264, pdiv(X2, 1.0080979))) + -10.607764), (X1 + 0.573759)))), X2) - X1)), X2) - pdiv(log(abs(-6.641681), pdiv(-3.5733216, (X2 + ((-0.38879636 * (0.7395804 * X1)) - 0.10116587))))))) ^ 0.9115802)
53,1228798,0.0003468104283623245,0.00032725782221984057,40.236,(abs(pdiv(-3.6620076, (pdiv((-1.9343997 * (pdiv(pdiv(X1, (0.3572496 - pdiv(((pdiv(log(abs(log(abs(-6.22414)), (-11.804836 * -1.9414914)) - pdiv(-3.5235987, pdiv(X2, 1.219722))) + -10.6554), (X1 + 0.6270071)))), X2) - X1)), X2) - pdiv(log(abs(-6.6387033), pdiv(-3.5840282, (X2 + ((-0.39710936 * (0.74405444 * X1)) - 0.14563565))))))) ^ 0.9050212)
54,1253791,0.0003419151734608455,0.00031516600979538664,40.19,(abs(pdiv(-3.535638, (pdiv((-1.9989396 * (pdiv(pdiv(X1, (0.35434124 - pdiv(((pdiv(log(abs(log(abs(-6.2242827)), (-11.804754 * -1.9409866)) - pdiv(-3.45899, pdiv(X2, 0.99937135))) + -10.618212), (X1 + X2)))), X2) - X1)), X2) - pdiv(1.803786, pdiv(-3.4901357, (X2 + ((-0.41072518 * (0.749091 * X1)) - 0.04054675))))))) ^ 0.84972066)
