gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
180,299.31668,219.3626,234.13799,404.87558,525.3505,1305.7715,593.15735,733.83453,2312.215,2953.3281,2272.3633,2251.3972,2255.2717,2300.0437,2331.6355,2568.1318,2514.2864,2522.667,2828.8696,3074.7952,95,76,83,100,100,76.466,71.21,71.642,81.298,81.862
181,298.5287,219.3626,233.75676,404.87408,525.35016,1303.7324,593.15735,733.83453,2312.9788,2945.98,2272.1567,2251.3972,2255.1719,2300.0435,2331.6355,2571.1477,2518.244,2522.667,2840.1301,3074.7952,95,77,84,100,100,76.422,70.534,72.48,80.33,82.114
182,298.39114,219.3626,233.75676,404.87384,525.35016,1296.332,613.91785,733.83453,2312.9788,2945.98,2272.1206,2251.3972,2255.1719,2300.0432,2331.6355,2569.3047,2518.244,2522.667,2868.1187,3059.5796,95,77,83,100,100,76.778,71.016,71.922,80.708,81.582
183,298.25266,219.3626,233.75676,404.87384,525.35016,1320.8615,616.9739,696.11,2681.5122,3011.2617,2272.0845,2251.3972,2255.1719,2300.0432,2331.6355,2569.3047,2518.1704,2523.5515,2861.188,3074.7952,95,77,83,100,100,76.792,70.082,72.108,80.606,81.36
184,298.25266,219.3626,233.75676,404.87384,524.41864,1322.8604,616.9739,733.83453,2681.5122,3011.2617,2272.0845,2251.3972,2255.1719,2300.0432,2331.391,2569.3047,2518.1704,2523.5515,2835.6287,3064.3235,95,77,83,99,100,76.738,69.942,71.698,80.468,82.49
185,296.34296,219.3626,233.75676,404.87384,524.39496,1320.8615,616.9739,733.83453,2472.5786,3003.9841,2271.5835,2251.3972,2255.1719,2300.0432,2331.385,2568.878,2518.244,2523.5515,2829.2327,3064.3235,95,77,83,99,100,77.114,69.348,72.616,80.544,81.898
186,296.34296,219.3626,233.75676,404.87384,503.6832,1320.8615,600.1938,724.8155,2472.5786,3011.2617,2271.5835,2251.3972,2255.1719,2300.0432,2325.9539,2570.182,2518.244,2523.5515,2835.536,3074.7952,95,80,84,100,100,76.816,71.08,71.876,80.858,81.516
187,296.34296,219.3626,232.47308,401.26904,501.27554,1322.4739,600.1938,725.4062,2472.5786,3082.6516,2271.5835,2251.3972,2254.8352,2299.0981,2325.3225,2571.8613,2513.6572,2523.4292,2850.4172,3074.7952,95,77,84,100,100,76.466,69.462,72.658,80.358,81.008
188,295.5889,219.3626,232.47308,401.2689,501.27554,1322.4739,600.1938,698.6162,2472.5786,3082.6516,2271.3857,2251.3972,2254.8352,2299.098,2325.3225,2571.8613,2513.6572,2522.3545,2857.645,3074.7952,95,77,84,100,100,76.71,70.85,72.28,80.726,81.03
189,295.5889,217.44894,231.9693,401.2689,501.27554,1322.4739,600.1938,698.6162,2718.645,3122.651,2271.3857,2250.8955,2254.7031,2299.098,2325.3225,2566.5286,2517.608,2523.5515,2827.1558,3064.3235,95,77,84,100,100,76.63,69.698,71.272,79.92,81.646
190,295.5889,217.44894,231.9693,401.24414,501.27554,1322.1143,600.1938,698.6162,2718.645,3124.631,2271.3857,2250.8955,2254.7031,2299.0916,2325.3225,2566.5286,2513.6572,2524.189,2827.1558,3064.3235,95,77,84,100,100,76.286,69.944,71.344,80.478,81.582
191,295.5889,215.72319,229.3239,401.22482,501.27554,1322.1143,595.00964,698.6162,2544.551,3124.631,2271.3857,2250.4429,2254.0093,2299.0864,2325.3225,2569.1763,2513.6572,2524.189,2827.1558,3064.3235,95,79,84,100,100,76.556,70.204,71.884,80.294,81.472
192,295.5889,215.72319,227.80206,401.22482,501.27554,1322.1143,593.15735,698.6162,2544.551,3124.0913,2271.3857,2250.4429,2253.6104,2299.0864,2325.3225,2569.1763,2513.6572,2524.189,2827.1558,3064.3235,95,79,84,100,100,76.768,69.462,71.874,80.078,81.232
193,295.5889,215.72319,227.74118,401.22482,443.86865,1334.0575,593.15735,639.70325,2444.8918,3055.7334,2271.3857,2250.4429,2253.5945,2299.0864,2310.2688,2570.7656,2513.4622,2523.5515,2820.2573,2912.949,95,79,83,100,100,76.766,69.884,71.622,80.062,80.956
194,295.58405,215.72319,226.61879,401.22116,443.86865,1337.8917,593.15735,698.6162,2444.8918,3155.5496,2271.3845,2250.4429,2253.3,2299.0854,2310.2688,2572.1284,2511.5151,2523.1013,2775.582,2878.116,95,79,83,100,100,76.826,69.142,71.128,79.938,80.48
195,295.58405,215.72319,225.21562,401.22116,443.86865,1360.9974,593.15735,698.6162,2444.8918,3004.2305,2271.3845,2250.4429,2252.9321,2299.0854,2310.2688,2573.066,2511.5151,2524.027,2795.778,2878.116,95,79,84,100,100,76.686,68.842,71.16,80.424,80.832
196,291.78693,211.67235,225.1467,401.21808,443.86865,1347.7858,618.6062,698.6162,2444.8918,2933.2957,2270.389,2249.3806,2252.914,2299.0847,2310.2688,2573.066,2513.4622,2524.189,2798.1096,2878.116,96,79,84,100,100,76.964,69.488,71.244,80.42,81.7
197,291.78693,211.67235,225.023,401.21808,443.86865,1347.5115,618.6062,698.6162,2457.0222,3004.2305,2270.389,2249.3806,2252.8816,2299.0847,2310.2688,2572.4482,2513.6572,2527.4758,2807.7283,2884.7263,96,79,86,100,100,76.522,69.224,71.448,80.836,81.588
198,291.68216,211.67235,221.94012,401.21808,443.86865,1355.2333,618.6062,698.6162,2502.5605,3004.2305,2270.3613,2249.3806,2252.0732,2299.0847,2310.2688,2572.4482,2513.6572,2527.4758,2811.5784,2888.0984,96,79,86,100,100,76.412,69.038,71.506,80.83,81.854
199,291.68216,211.67235,220.31577,401.21808,443.86865,1360.9974,618.6062,702.0503,2585.424,3068.612,2270.3613,2249.3806,2251.6472,2299.0847,2310.2688,2573.066,2516.3743,2527.4758,2818.704,2902.095,96,78,86,100,100,76.514,69.202,70.886,80.606,81.244
