gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
41,796.8209,414.928,486.13104,1441.7681,2899.7246,1806.344,825.9123,908.2527,6000.5586,13896.279,2402.8223,2302.6797,2321.351,2571.9448,2954.2603,2662.4575,2559.7068,2574.5164,3009.269,3182.0435,82,32,45,97,99,69.268,60.754,63.082,74.55,75.896
42,768.3411,406.43387,477.33853,1408.3806,2899.7246,1691.5969,790.5713,958.27734,5903.1494,13915.16,2395.3542,2300.4524,2319.0454,2563.1897,2954.2603,2661.9004,2548.1467,2562.9817,3018.6228,3177.9636,83,38,45,97,99,69.692,59.944,62.972,74.308,76.962
43,715.6507,393.75833,477.33853,1311.8912,2053.882,1546.167,863.7025,976.73285,5053.2603,13915.16,2381.5374,2297.1284,2319.0454,2537.8877,2732.4575,2653.0527,2548.1467,2565.723,3012.5298,3177.9636,83,38,45,98,99,69.994,61.396,63.654,75.022,76.672
44,681.8663,384.6606,424.20593,1311.891,2053.882,1605.7496,776.40594,913.60205,4904.0425,6271.278,2372.6782,2294.743,2305.1128,2537.8875,2732.4575,2634.5857,2534.4836,2547.249,2980.7554,3203.178,80,45,49,98,99,69.926,62.126,64.348,74.538,76.288
45,675.328,384.6606,404.61377,1249.735,1627.848,1691.5969,705.0712,900.039,4285.0166,6036.4463,2370.9636,2294.743,2299.975,2521.5886,2620.74,2631.3958,2531.4277,2541.0308,2980.1338,3164.6365,80,45,51,99,100,70.19,62.182,64.116,75.62,77.392
46,664.8783,369.85562,397.06647,1249.735,1627.848,1499.3586,761.1532,900.039,4378.1094,6036.4463,2368.2234,2290.8606,2297.996,2521.5886,2620.74,2638.2693,2527.5156,2541.0308,2967.4705,3102.9539,83,47,52,99,99,70.922,62.84,64.392,75.516,77.284
47,655.16565,355.37305,384.6606,1249.735,1627.848,1691.5969,788.15936,863.7025,4813.3984,6071.116,2365.6765,2287.063,2294.743,2521.5886,2620.74,2626.2878,2496.9927,2535.9192,2891.5193,3099.7837,81,39,49,99,99,71.064,62.906,66.028,76.26,77.816
48,641.36084,349.2986,380.84198,1218.818,1627.848,1565.3024,708.46344,819.4957,4378.1094,6036.4463,2362.0566,2285.47,2293.7415,2513.4812,2620.74,2624.8186,2507.5864,2532.136,2940.5417,3099.7837,84,42,49,98,99,71.38,62.938,66.406,76.122,78.284
49,609.47156,340.39615,377.5871,1198.8323,1627.848,1570.4225,678.62506,839.82214,4835.171,6071.116,2353.6943,2283.1355,2292.888,2508.2405,2620.74,2618.823,2528.1978,2536.8662,2890.8914,3010.8765,84,43,50,98,99,71.752,63.784,66.494,77.042,78.12
50,594.26373,340.39383,375.65225,1191.6531,1399.997,1438.5839,693.75287,814.1263,4180.9146,6071.116,2349.7063,2283.135,2292.3806,2506.358,2560.9912,2620.494,2524.973,2535.2002,2904.9202,3146.3594,83,45,54,98,99,71.656,63.74,66.642,77.194,77.616
51,594.26373,340.3242,375.65225,1189.8025,1333.0021,1435.0648,693.75287,819.4957,4180.9146,6610.495,2349.7063,2283.1167,2292.3806,2505.8726,2543.4233,2619.7458,2523.3748,2531.4277,2873.5872,2954.0728,80,44,51,98,99,71.38,66.09,67.438,77.06,78.026
