gen,fevals_median,fevals_p5,fevals_p10,fevals_p90,fevals_p95,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
11,32543,28196,29499,35232,36438,0.0012307165,0.00059805583,0.0007605648,0.001230718,0.0012628475,0.001463751,0.00086812756,0.0010337642,0.001468325,0.0016462583,-444.16241455078125,-527.1541748046875,-499.51080322265625,-444.1622619628906,-441.1985168457031,-427.9049377441406,-450.8117980957031,-435.66741943359375,-418.6642761230469,-413.966796875,11.266066,6.931472,6.931472,46.701843,72.50841,9.326011,6.2486973,7.2324395,20.299084,22.237774,7,5,5,24,32,23.474655,20.421053,20.940298,27.209017,27.849594
12,35916,31374,32111,38744,40199,0.0012307165,0.0005483775,0.0007356458,0.001230718,0.0012838332,0.001463751,0.00081101217,0.0010337642,0.0014683254,0.0019069398,-444.16241455078125,-537.1270141601562,-503.341796875,-444.1622619628906,-439.30322265625,-427.90521240234375,-450.8117980957031,-438.0209045410156,-419.1160583496094,-415.0904235839844,9.704061,6.931472,6.931472,55.262043,72.50841,9.326008,6.2486973,7.2318335,20.299084,27.767258,7,5,5,24,32,24.784233,21.439613,22.121622,27.979424,29.210144
13,39347,34371,35448,42481,44010,0.0012307164,0.0005297347,0.0006510426,0.0012307179,0.0012419502,0.001463751,0.0006802972,0.0010165059,0.0014638255,0.0016462583,-444.16241455078125,-541.1046142578125,-517.3917236328125,-444.1622619628906,-443.117431640625,-428.05419921875,-450.8117980957031,-439.44305419921875,-419.77276611328125,-415.0904235839844,11.266066,6.931472,6.931472,62.169796,72.50841,9.326011,7.041876,7.2324395,20.882195,28.894243,7,5,5,27,33,25.644144,22.72807,23.16827,29.607004,30.223333
14,42925,37416,38711,46567,47566,0.0012307164,0.0004898284,0.0006235779,0.0012307176,0.0012307182,0.001463751,0.00064105587,0.0009332656,0.0014637704,0.0018282426,-444.16241455078125,-550.1115112304688,-522.3483276367188,-444.16229248046875,-444.1622314453125,-429.61248779296875,-454.1236572265625,-439.67529296875,-420.39727783203125,-418.5948181152344,9.704061,6.931472,6.931472,63.719513,73.682724,9.3259535,7.23135,7.2324395,21.291405,31.114944,7,5,5,29,33,26.745388,23.470339,24.155642,30.919014,31.529594
15,46564,40658,41430,50330,51791,0.0012307162,0.0004428179,0.00059805583,0.0012307175,0.001230718,0.001463751,0.0005290096,0.000918048,0.0014637861,0.0018282426,-444.1624450683594,-561.714599609375,-527.1541748046875,-444.1623229980469,-444.1622619628906,-429.6125183105469,-456.3116760253906,-441.9631652832031,-421.30743408203125,-418.7174072265625,9.704061,6.931472,6.931472,64.215034,73.682724,9.3259535,7.231744,7.2324395,21.90421,31.24284,7,5,5,29,33,27.75,24.576576,25.237226,31.55,32.821636
16,50045,43648,44563,54305,55688,0.001230716,0.00040201773,0.00049642526,0.0012307175,0.001230718,0.0014637513,0.00053579453,0.0009332656,0.0014779567,0.0019069398,-444.1624450683594,-572.830810546875,-548.5730590820312,-444.1623229980469,-444.1622619628906,-429.6125183105469,-458.9819030761719,-450.8117980957031,-421.7449951171875,-419.1160583496094,9.704061,6.931472,6.931472,72.50841,91.94154,9.325998,7.231744,7.2324395,27.767258,34.337513,7,5,5,33,37,28.729641,25.475,26.541666,32.51282,34.11437
17,53683,46820,47710,57965,59597,0.0012307157,0.00040201773,0.0004898284,0.0012307175,0.0012307176,0.001463751,0.0005289926,0.00087513047,0.0014683254,0.0025236497,-444.1624755859375,-572.830810546875,-550.1115112304688,-444.1623229980469,-444.16229248046875,-429.61260986328125,-463.0014953613281,-451.78228759765625,-421.7449951171875,-419.1160583496094,11.266066,6.931472,6.931472,72.50841,91.94154,9.325998,7.231744,7.2325945,27.843111,31.24284,7,5,5,33,37,29.788397,26.485916,27.28669,33.351097,34.817417
18,57210,49740,50966,61710,63581,0.0012307155,0.00038915436,0.0004171137,0.0012307175,0.0012307176,0.001463751,0.00051457714,0.00081101217,0.0014683254,0.002523678,-444.1625061035156,-576.5706176757812,-568.591552734375,-444.1623229980469,-444.16229248046875,-429.6126403808594,-474.2471923828125,-454.1236572265625,-422.18597412109375,-420.3751525878906,12.875504,6.931472,6.931472,73.682724,94.40599,9.326008,7.231744,7.2324395,29.717718,36.24957,8,5,5,33,40,30.873787,27.546053,28.167192,34.150684,35.906734
19,60815,52620,54260,65495,67500,0.0012307157,0.00038915436,0.0004428157,0.0012307175,0.0012307176,0.001463751,0.00051457714,0.00081101217,0.00146381,0.002523678,-444.1624755859375,-576.5706176757812,-561.7152099609375,-444.1623229980469,-444.16229248046875,-429.6126403808594,-474.2471923828125,-456.3116760253906,-423.40576171875,-420.37872314453125,11.266066,6.931472,6.931472,72.50841,91.94154,9.325986,7.231744,7.2324395,28.935394,34.337513,7,5,5,33,37,31.665644,28.050314,28.962732,35.018326,36.62808
20,64322,55464,57213,69588,71501,0.0012307157,0.00038915436,0.0004428157,0.0012307175,0.0012307176,0.001463751,0.0004785193,0.0007605212,0.0014637861,0.002523678,-444.1624755859375,-576.5706176757812,-561.7152099609375,-444.1623229980469,-444.16229248046875,-429.6127014160156,-474.2471923828125,-456.3116760253906,-423.94219970703125,-420.37872314453125,11.266066,6.931472,6.931472,72.50841,88.72212,9.325986,7.23135,7.2324395,27.725597,34.337513,7,5,5,33,37,32.47042,28.754545,29.878613,35.743385,37.41647
21,68015,58338,60709,73605,75414,0.0012307155,0.0003699399,0.0004171137,0.0012307175,0.0012307175,0.001463751,0.0004785193,0.0007605212,0.00146381,0.014462658,-444.1625061035156,-582.3936767578125,-568.591552734375,-444.1623229980469,-444.1623229980469,-429.6127624511719,-474.2471923828125,-456.3116760253906,-425.1479187011719,-420.37872314453125,11.266066,6.931472,6.931472,73.682724,91.94154,9.326012,7.23135,7.2324395,28.935394,36.77863,7,5,5,33,37,33.27027,29.53352,30.743801,36.64619,38.178734
22,71858,61094,63782,77431,79461,0.0012307155,0.0003699399,0.00042125324,0.0012307174,0.0012307175,0.001463751,0.0004785193,0.0007605212,0.00146381,0.013780656,-444.1625061035156,-582.3936767578125,-567.4559326171875,-444.1623229980469,-444.1623229980469,-429.6134338378906,-474.2471923828125,-458.9819030761719,-425.1479187011719,-420.37872314453125,11.266066,6.931472,6.931472,72.50841,91.94154,9.326016,7.231744,7.2324395,31.11406,36.77863,7,5,5,33,37,34.02051,30.47826,31.456522,37.411484,38.89207
23,75611,63738,67008,81297,83097,0.0012307155,0.0003336723,0.00042125324,0.0012307174,0.0012307175,0.001463751,0.00046172392,0.0007605212,0.0019069391,0.013780656,-444.1625061035156,-594.259521484375,-567.4559326171875,-444.1623229980469,-444.1623229980469,-429.6134338378906,-474.9783020019531,-463.9612121582031,-425.1479187011719,-420.37872314453125,11.266066,6.931472,6.931472,74.705635,91.94154,9.326012,7.2318335,7.232542,31.11406,41.488316,7,5,5,34,40,34.71698,31.116581,32.036552,37.85151,39.669456
24,79362,67041,69977,85434,87201,0.0012307153,0.00031484844,0.0004090434,0.001230717,0.0012307175,0.001463751,0.00046172392,0.0008110123,0.0019069398,0.013780656,-444.16253662109375,-600.9373779296875,-570.8384399414062,-444.162353515625,-444.1623229980469,-429.7928771972656,-474.9783020019531,-463.9612121582031,-425.1783752441406,-421.5029602050781,14.4849415,6.931472,6.931472,87.888985,94.40599,9.332721,7.2318335,7.232542,32.114582,41.488316,9,5,5,37,40,35.530415,31.875635,32.706768,38.67294,40.163147
25,83115,69911,73334,89416,91133,0.0012271581,0.00031622668,0.0004090434,0.001230717,0.0012307175,0.001463751,0.00046172392,0.0007605212,0.0016268629,0.013780656,-444.4953308105469,-600.43505859375,-570.8384399414062,-444.162353515625,-444.1623229980469,-429.7928771972656,-474.9783020019531,-463.9612121582031,-425.1783752441406,-421.7449951171875,14.4849415,6.931472,6.931472,87.888985,94.40599,9.332721,7.2318335,7.232542,31.476173,41.488316,9,5,5,37,40,36.263737,32.467213,33.129353,39.372147,40.916996
26,87082,72815,76519,93419,94819,0.0012255013,0.00031622668,0.0004090434,0.0012307168,0.0012307175,0.0014637513,0.00046172392,0.0008110123,0.0019069398,0.013780656,-444.6507568359375,-600.43505859375,-570.8384399414062,-444.162353515625,-444.1623229980469,-429.87628173828125,-474.9783020019531,-463.9612121582031,-425.1783752441406,-423.47412109375,14.4849415,6.931472,6.931472,81.52844,94.40599,9.787074,7.2318335,7.2325945,31.476173,36.77863,9,5,5,35,40,36.853775,33.299286,33.713627,40.20354,41.59387
27,90655,75815,79878,97487,98836,0.0010874049,0.000307666,0.0003699399,0.0012307168,0.0012307175,0.0014637513,0.00045136863,0.0007605212,0.0019069398,0.004151867,-458.3996887207031,-603.5911254882812,-582.3936767578125,-444.162353515625,-444.1623229980469,-429.9983825683594,-474.9783020019531,-463.9612121582031,-425.1783752441406,-423.47412109375,21.405012,6.931472,6.931472,88.72212,95.91581,10.560963,7.2318335,7.232542,33.745003,42.410423,11,5,5,37,42,37.701298,33.860092,34.372093,40.8125,42.372913
28,94194,78778,83157,101278,102810,0.000992877,0.000307666,0.0003699399,0.0012307168,0.0012307175,0.001463751,0.00043628045,0.0005141208,0.0016268629,0.004151867,-468.85809326171875,-603.5911254882812,-582.3936767578125,-444.162353515625,-444.1623229980469,-429.9984436035156,-474.9783020019531,-463.9612121582031,-425.1783752441406,-423.47515869140625,23.350922,6.931472,6.931472,88.72212,95.91581,10.792108,7.2319994,7.2325945,33.745003,42.410423,12,5,5,37,42,38.144123,34.288887,34.89318,41.36939,42.99099
29,97807,81868,86225,105213,107021,0.0010766448,0.00030370106,0.0003699399,0.0012307168,0.0012307175,0.001463751,0.00043628045,0.0005141208,0.0018073298,0.0035321936,-459.54327392578125,-605.0828247070312,-582.3936767578125,-444.162353515625,-444.1623229980469,-429.9984436035156,-477.9092102050781,-471.4301452636719,-425.1785583496094,-423.47515869140625,21.405012,6.931472,6.931472,88.72212,96.70857,10.202602,7.2318335,7.232542,33.745003,42.410423,11,5,5,37,43,38.677166,34.845654,35.480263,41.8374,43.347443
30,101329,84394,89505,109256,110948,0.0010766448,0.0002954599,0.0003430082,0.0012307172,0.0012307175,0.001463751,0.00042291378,0.00068550993,0.0019069398,0.008059473,-459.54327392578125,-608.24658203125,-591.0860595703125,-444.162353515625,-444.1623229980469,-429.99896240234375,-487.4739685058594,-474.2471923828125,-425.1785583496094,-423.5635986328125,21.405012,6.931472,6.931472,88.72212,94.40599,10.560963,7.2318335,7.232542,33.745003,42.410423,11,5,5,37,41,39.29207,35.38362,35.905857,42.430656,44.060184
31,104824,87170,92651,113215,115200,0.00095685746,0.0002954599,0.0003430082,0.001230717,0.0012307175,0.001463751,0.00042253514,0.0004785193,0.0019069398,0.008059473,-473.1075744628906,-608.24658203125,-591.0860595703125,-444.162353515625,-444.1623229980469,-429.99908447265625,-487.4739685058594,-474.2471923828125,-425.2169189453125,-423.8974304199219,24.953299,6.931472,6.931472,91.94154,94.48066,10.792108,7.2318335,7.2324395,35.614944,42.410423,12,5,5,37,43,39.82427,35.830868,36.53306,43.026318,44.649017
32,108557,90074,95706,117151,119529,0.0009554225,0.0002954599,0.0003454926,0.001230717,0.0012307175,0.001463748,0.00042253514,0.0004785193,0.0024996507,0.008059473,-473.28021240234375,-608.24658203125,-590.2561645507812,-444.162353515625,-444.1623229980469,-429.99908447265625,-488.11083984375,-474.9783020019531,-425.2169189453125,-423.8974304199219,27.03274,6.931472,6.931472,88.72212,94.48066,11.97039,7.2318335,7.2324395,35.614944,42.410423,14,5,5,37,43,40.65278,36.32932,37.101215,43.42399,44.933006
33,112088,93318,99154,121186,123644,0.00095258537,0.0002834328,0.00033453162,0.001230717,0.0012307175,0.0014637321,0.00042253514,0.0004785193,0.0019069398,0.004151867,-473.6221923828125,-613.025634765625,-593.9636840820312,-444.162353515625,-444.1623229980469,-430.5291442871094,-489.22711181640625,-476.6560363769531,-425.4224548339844,-423.9454040527344,27.03274,6.931472,6.931472,88.72212,117.43184,12.364992,7.2318335,7.2324395,35.862778,43.753143,14,5,5,37,51,41.017822,36.549213,37.61811,43.82421,45.63593
34,115488,96102,101971,125057,127767,0.0009511493,0.00025648202,0.00030456917,0.0012307168,0.0012307175,0.0014636501,0.0004198599,0.00046172392,0.00146381,0.004151867,-473.795654296875,-624.51611328125,-604.7545166015625,-444.162353515625,-444.1623229980469,-430.8705139160156,-497.5115966796875,-477.9092102050781,-425.4580078125,-423.9454040527344,27.242743,6.931472,6.931472,93.517914,117.49687,13.599791,7.2318335,7.2324395,35.862778,43.753143,14,5,5,39,51,41.431335,37.082474,38.283524,44.28222,46.03125
35,119270,99183,105042,128817,131897,0.0009440426,0.00025648202,0.00030456917,0.0012307168,0.0012307175,0.0014135852,0.00037081863,0.00045326308,0.0014637712,0.0039019152,-474.65814208984375,-624.51611328125,-604.7545166015625,-444.162353515625,-444.1623229980469,-431.8433532714844,-497.5115966796875,-478.67291259765625,-427.01995849609375,-424.0736389160156,28.56392,6.931472,6.931472,94.40599,117.49687,14.099192,7.2319994,7.2325945,35.378746,43.753143,14,5,5,41,51,41.88737,37.69052,38.590996,44.680485,46.449043
36,122881,102210,108144,132720,135908,0.0008736976,0.00025648202,0.00030456917,0.0012307168,0.0012307175,0.0012654946,0.0003547014,0.0004244439,0.0014637712,0.0039010672,-483.5633544921875,-624.51611328125,-604.7545166015625,-444.162353515625,-444.1623229980469,-432.518310546875,-497.5115966796875,-478.67291259765625,-427.01995849609375,-424.0736389160156,33.08047,6.931472,6.931472,94.40599,117.49687,15.078562,7.2319994,7.2688503,35.862778,43.753143,17,5,5,41,51,42.097103,37.974728,39.09275,45.191917,46.7403
37,126726,105064,111340,136413,139968,0.0008736976,0.00025648202,0.00030456917,0.0012307168,0.0012307175,0.0014062084,0.0003455278,0.00042291378,0.00146381,0.004151867,-483.5633544921875,-624.51611328125,-604.7545166015625,-444.162353515625,-444.1623229980469,-432.518310546875,-507.704345703125,-487.4739685058594,-427.01995849609375,-424.0736389160156,33.08047,6.931472,6.931472,94.40599,117.49687,15.078562,7.2319994,7.2688503,36.053192,43.753143,17,5,5,41,51,42.604897,38.30648,39.64043,45.61944,47.07467
38,129837,107947,114439,140504,144011,0.00079847296,0.00021472067,0.00028361846,0.0012307168,0.001230717,0.0012597167,0.00027498492,0.00039103936,0.0014637704,0.0039010672,-493.9172668457031,-644.9539794921875,-612.950439453125,-444.1623840332031,-444.162353515625,-432.8586120605469,-507.704345703125,-489.22711181640625,-427.01995849609375,-424.0736389160156,39.509388,6.931472,6.931472,96.70857,127.439026,15.373158,7.2319994,7.272951,36.315018,48.85477,18,5,5,42,54,43.075573,38.734768,40.05429,45.969257,47.57982
39,133369,110960,117868,144376,147867,0.00072118966,0.00020897761,0.00027338415,0.0012307168,0.001230717,0.0012426408,0.00027498492,0.0003797132,0.00146381,0.004151867,-505.6240539550781,-648.07177734375,-617.1768798828125,-444.1623840332031,-444.162353515625,-436.9876403808594,-507.704345703125,-489.22711181640625,-427.1534423828125,-425.1783752441406,46.141716,6.931472,6.931472,96.70857,129.48634,15.901376,7.2319994,7.4383574,40.595486,58.71772,21,5,5,42,58,43.456112,39.20474,40.75552,46.27778,48.004444
40,137524,114080,120802,148250,151671,0.0006912791,0.0001830181,0.00027037936,0.0012307168,0.001230717,0.001242378,0.00027498492,0.0003797132,0.00146381,0.004151867,-510.4953308105469,-663.3255615234375,-618.4478759765625,-444.1623840332031,-444.162353515625,-436.9938049316406,-507.704345703125,-493.8390808105469,-427.1534423828125,-425.1783752441406,46.141716,6.931472,6.931472,99.39626,151.5793,16.192286,7.2319994,7.4383574,40.808914,58.91553,21,5,5,42,61,43.909367,39.684574,41.139027,46.78006,48.345406
41,140723,116995,124152,152042,155924,0.0007563986,0.0001830181,0.00027037936,0.0012307168,0.0012307172,0.0012426408,0.00027622265,0.0003874313,0.0015646903,0.004151867,-500.1424560546875,-663.3255615234375,-618.4478759765625,-444.1623840332031,-444.162353515625,-436.9938049316406,-507.704345703125,-493.8390808105469,-427.9049377441406,-425.1785583496094,41.58883,6.931472,6.931472,99.39626,149.66803,15.901376,7.2319994,7.352282,40.808914,58.91553,20,5,5,42,61,44.33733,39.940777,41.505634,47.275757,48.845528
42,144268,119938,127426,155699,160190,0.0006912791,0.0001830181,0.00027037936,0.0012307168,0.0012307172,0.001242378,0.00027622265,0.0003874313,0.0015646903,0.004151867,-510.4953308105469,-663.3255615234375,-618.4478759765625,-444.1623840332031,-444.162353515625,-437.8707275390625,-507.704345703125,-493.8390808105469,-427.9085998535156,-427.01995849609375,48.33894,6.931472,6.931472,99.39626,147.36545,16.963018,7.2319994,7.352282,40.808914,58.91553,22,5,5,42,61,44.756134,40.36816,41.691082,47.432392,49.211304
43,148265,123144,130540,159095,164076,0.0006887957,0.0001830181,0.000259343,0.0012307168,0.0012307172,0.001242378,0.00027622265,0.0003874313,0.0015646903,0.004151867,-510.9092102050781,-663.3255615234375,-623.2404174804688,-444.1623840332031,-444.162353515625,-438.3511657714844,-513.231689453125,-493.8390808105469,-427.9085998535156,-427.01995849609375,48.33894,6.931472,6.931472,101.31374,147.36545,17.876835,7.2319994,7.352282,40.808914,58.91553,22,5,5,44,61,45.0924,41.037216,42.12031,47.74928,49.487385
44,152063,126180,134157,162985,168111,0.0006887957,0.00020851751,0.00027037936,0.0012307168,0.0012307172,0.001242378,0.0003115879,0.00040693537,0.0015646903,0.004151867,-510.9092102050781,-648.3251953125,-618.4478759765625,-444.1623840332031,-444.162353515625,-438.5508728027344,-513.231689453125,-493.8390808105469,-427.9085998535156,-427.01995849609375,46.141716,6.931472,6.931472,96.70857,127.439026,17.876835,7.2319994,7.352282,40.808914,48.85477,21,5,5,42,58,45.43631,41.62381,42.33019,48.015236,49.911343
45,155604,129313,137326,167293,172106,0.00068840256,0.0001830181,0.00023690426,0.0012307168,0.0012307172,0.0012023943,0.00027622265,0.00039246384,0.0015646903,0.004151867,-510.9748229980469,-663.3255615234375,-633.6474609375,-444.1623840332031,-444.162353515625,-438.5508728027344,-513.231689453125,-493.8390808105469,-428.8519287109375,-427.1534423828125,48.33894,6.931472,6.931472,103.616325,147.36545,18.50925,7.2319994,7.272951,42.61692,58.71772,22,5,5,45,64,45.80136,42.213062,42.70317,48.304646,50.100388
46,158995,132337,139952,171360,176120,0.00068840256,0.00018206946,0.00022203865,0.0012307168,0.0012307172,0.0010896549,0.0002469311,0.0003874313,0.0014639798,0.0039010672,-510.9748229980469,-663.9232177734375,-641.0999145507812,-444.1623840332031,-444.162353515625,-440.37115478515625,-513.231689453125,-500.81732177734375,-429.2771301269531,-427.9049072265625,48.33894,6.931472,6.931472,117.49687,151.5793,18.50925,7.2319994,7.272951,42.61692,62.347595,22,5,5,49,64,46.09322,42.56589,43.010704,48.56764,50.559498
47,162364,135212,143175,175169,180270,0.0006793532,0.00018206946,0.00022203865,0.0012307168,0.0012307172,0.0010896549,0.0002469311,0.0003874313,0.0015646903,0.004151867,-512.4966430664062,-663.9232177734375,-641.0999145507812,-444.1623840332031,-444.162353515625,-441.5152893066406,-513.231689453125,-500.81732177734375,-429.6124267578125,-427.9049072265625,48.33894,6.931472,6.931472,117.49687,151.5793,18.50925,7.2319994,7.272951,42.61692,62.347595,22,5,5,49,64,46.408546,42.97583,43.33522,48.81085,50.80226
48,165977,138112,146273,179315,184135,0.00066434423,0.00018206946,0.00022203865,0.0012307168,0.0012307172,0.0010896471,0.0002469311,0.0003874313,0.0015646903,0.0046920124,-515.0657348632812,-663.9232177734375,-641.0999145507812,-444.1623840332031,-444.162353515625,-442.2093505859375,-513.231689453125,-500.81732177734375,-429.61248779296875,-427.9049072265625,50.536167,6.931472,6.931472,117.49687,151.5793,18.674793,7.2319994,7.352282,42.86262,62.347595,22,5,5,49,64,46.704323,43.322437,43.55925,49.166023,51.104794
49,169729,141127,149052,183604,188067,0.0006510426,0.00013812128,0.00021472067,0.0012307168,0.0012307172,0.0010896075,0.0002469311,0.00037081863,0.0015646903,0.0046920124,-517.3917236328125,-695.692626953125,-644.9539794921875,-444.1623840332031,-444.162353515625,-442.5877685546875,-533.9388427734375,-500.8267822265625,-429.61248779296875,-427.9049072265625,50.65687,6.931472,6.931472,117.49687,151.5793,18.700802,7.2319994,7.352282,42.984955,62.347595,22,5,5,49,64,47.026455,43.62295,43.874287,49.277203,51.326733
50,173180,143906,152127,187676,192293,0.000656655,0.00013812128,0.00021472067,0.0012307166,0.0012307172,0.0010867387,0.0002469311,0.00037081863,0.0015646903,0.0046920124,-516.4046020507812,-695.692626953125,-644.9539794921875,-444.16241455078125,-444.162353515625,-442.5877685546875,-533.9388427734375,-500.8267822265625,-429.61248779296875,-427.9049072265625,50.65687,6.931472,6.931472,117.49687,151.5793,19.691254,7.2319994,7.5992193,42.984955,62.347595,22,5,5,49,64,47.3103,44.07211,44.38394,49.59764,51.38507
51,176832,146971,155904,192036,196391,0.000656655,0.00013812128,0.00021472067,0.0012307166,0.0012307172,0.0010867387,0.0002469311,0.00037081863,0.0015646903,0.0094705755,-516.4046020507812,-695.692626953125,-644.9539794921875,-444.16241455078125,-444.162353515625,-442.5877685546875,-533.9388427734375,-500.8267822265625,-429.61248779296875,-427.9049072265625,50.65687,6.931472,6.931472,117.49687,151.5793,19.691254,7.2319994,7.5992193,42.984955,62.347595,22,5,5,49,64,47.603565,44.263386,44.7451,49.88366,51.558685
