Id,Expression,max_features,max_samples,MSE_train,OOB_score,MSE_test,R2_train,R2_test
maxfeat0.8_maxsampl0.3,X,0.8,0.3,1418110.7579022965,0.7609905600808868,1377616.5398774685,0.8713645022330556,0.8352058365696684
maxfeat0.8_maxsampl0.4,X,0.8,0.4,798726.7936886434,0.8398858532443492,993299.9715885316,0.9275482411275714,0.8811788091134101
maxfeat0.8_maxsampl0.5,X,0.8,0.5,615059.6199615267,0.8519799115379134,920342.7846771391,0.9442085183197308,0.8899061423264409
maxfeat0.8_maxsampl0.6,X,0.8,0.6,371530.12848884537,0.8877541198537586,809357.3124075443,0.9662988502504033,0.9031825204230737
maxfeat0.8_maxsampl0.7,X,0.8,0.7,251518.87646537536,0.9076764795158011,788149.9341538481,0.9771849584444551,0.9057194035517993
maxfeat0.9_maxsampl0.1,X,0.9,0.1,5785119.86495417,0.3528551460904146,4673792.332648506,0.4752371989825289,0.4409085001444488
maxfeat0.9_maxsampl0.2,X,0.9,0.2,2951175.7074857284,0.6025725659205211,2377691.737497392,0.7323016174761322,0.715574175081445
maxfeat0.9_maxsampl0.3,X,0.9,0.3,1325474.8164290097,0.7736108507816061,1286061.1545651392,0.8797674216638006,0.846157935860977
maxfeat0.9_maxsampl0.4,X,0.9,0.4,953789.7568246563,0.8077100771735737,1169275.1658692404,0.9134826250696805,0.8601281871975619
maxfeat0.9_maxsampl0.5,X,0.9,0.5,582458.1758184858,0.8590029356331692,919958.5298119492,0.9471657647632066,0.8899521079178955
maxfeat0.9_maxsampl0.6,X,0.9,0.6,381678.7856762776,0.8842592136290004,811729.9887512911,0.9653782750684601,0.9028986945529273
maxfeat0.9_maxsampl0.7,X,0.9,0.7,266121.9914726001,0.9033949526378089,799727.1070940844,0.9758603235684875,0.9043345112582266
maxfeat1.0_maxsampl0.1,X,1.0,0.1,5804572.026448416,0.3545341292778833,5244142.539689165,0.473472711644349,0.3726816877399305
maxfeat1.0_maxsampl0.2,X,1.0,0.2,2635151.9908678737,0.6470764903453237,2199072.803927494,0.7609678326266546,0.7369410481396674
maxfeat1.0_maxsampl0.3,X,1.0,0.3,1041415.223926019,0.8265095670217458,1132527.5039885822,0.9055342010732937,0.8645240404864477
maxfeat1.0_maxsampl0.4,X,1.0,0.4,510300.82146007573,0.8941928138682399,993365.9624238985,0.9537110907497114,0.8811709151137421
maxfeat1.0_maxsampl0.5,X,1.0,0.5,353521.0752139307,0.9132877538323096,949796.4693468353,0.9679324345945182,0.8863828140383565
maxfeat1.0_maxsampl0.6,X,1.0,0.6,256631.8814036088,0.925335933388951,945869.8677562532,0.9767211625585206,0.8868525245895246
maxfeat1.0_maxsampl0.7,X,1.0,0.7,195816.03794719244,0.924668283430404,911154.3256587848,0.9822377107206013,0.8910052902920121
