gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
181,4.7888875,2.846921,3.0844846,5.9130187,5.929765,11.973244,5.034807,5.236521,17.737432,39.176342,162.95448,143.71227,146.67767,170.75624,170.86089,352.7201,280.58594,306.8365,434.0424,449.84692,103.97208,87.33655,93.40369,115.12926,119.89476,87.87297,15.208107,31.9818,155.13644,206.3866,48,42,43,50,50,36.212,33.564,33.902,38.08,39.016
182,4.788884,2.846921,3.0844846,5.9130177,5.929765,11.973244,5.034807,5.236521,17.737432,39.176342,162.95447,143.71227,146.67767,170.75624,170.86089,353.9448,280.58594,306.8365,434.0424,449.84692,103.97208,87.33655,96.70857,115.12926,119.89476,89.09769,15.208107,31.9818,155.13644,206.3866,48,42,46,50,50,36.452,33.118,34.028,38.012,38.682
183,4.788884,2.846921,3.0844846,5.9130154,5.929765,11.973244,5.034807,5.236521,28.161043,39.176342,162.95447,143.71227,146.67767,170.75621,170.86089,350.42496,280.58594,306.8365,434.0424,449.84692,103.97208,87.33655,96.70857,115.12926,119.89476,89.09769,15.208107,31.9818,155.13644,206.3866,49,42,47,50,50,36.394,33.11,34.204,38.016,38.186
184,4.788884,2.8466742,3.0842667,5.9130154,5.929765,11.973244,5.034807,5.236521,28.15856,39.176342,162.95447,143.70905,146.67506,170.75621,170.86089,350.42496,273.8431,306.8365,434.0424,449.84692,103.97208,87.33655,93.40369,115.12926,119.89476,89.09769,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.288,33.938,34.406,38.364,38.442
185,4.788884,2.8419142,3.0841906,5.9130154,5.929765,11.973244,5.034807,5.236521,28.15856,39.176342,162.95447,143.64713,146.67416,170.75621,170.86089,350.42496,273.8431,306.8365,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,119.89476,89.09769,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.404,33.938,34.458,37.892,37.918
186,4.788884,2.8419142,3.0837545,5.9130154,5.929765,11.973244,5.034807,5.236521,28.15856,39.176342,162.95447,143.64713,146.66891,170.75621,170.86089,353.8985,273.8431,306.8365,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,119.89476,89.09769,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.184,34.396,34.852,38.134,38.258
187,4.788884,2.8419142,3.0837545,5.8840837,5.929765,11.973244,5.034807,5.236521,28.15856,39.176342,162.95447,143.64713,146.66891,170.57474,170.86089,353.32153,273.8431,308.32724,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,89.09769,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,35.87,33.854,34.484,37.664,37.998
188,4.788884,2.8419142,3.0837545,5.883724,5.929765,11.973244,5.034807,5.236521,28.15856,39.176342,162.95447,143.64713,146.66891,170.57248,170.86089,350.42496,273.8431,304.147,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,88.02577,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.276,33.438,34.228,37.678,37.796
189,4.788884,2.8419142,3.0837545,5.883724,5.929765,11.973244,5.034807,5.236521,28.322803,39.176342,162.95447,143.64713,146.66891,170.57248,170.86089,350.42496,273.8431,308.32724,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,88.75666,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.1,33.578,34.132,37.822,38.04
190,4.788884,2.8419142,3.0837545,5.8837194,5.929765,11.973244,5.034807,5.236521,28.322803,39.176342,162.95447,143.64713,146.66891,170.57245,170.86089,350.42496,273.8431,308.32724,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,88.75666,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.322,33.786,34.174,37.932,37.946
191,4.788884,2.8419142,3.0837545,5.8819985,5.929765,11.973244,5.034807,5.236521,18.843174,39.176342,162.95447,143.64713,146.66891,170.56163,170.86089,350.42496,273.8431,308.32724,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,88.75666,15.208107,31.9818,155.13644,206.3866,49,42,43,50,50,36.03,34.304,34.458,37.998,38.624
192,4.788884,2.8419142,3.0837545,5.8819985,5.929765,11.973244,5.034807,5.236521,18.843174,39.176342,162.95447,143.64713,146.66891,170.56163,170.86089,350.42496,273.8431,308.32724,434.0424,449.84692,105.46678,87.33655,93.40369,115.12926,117.49687,88.75666,17.587303,31.9818,155.13644,206.3866,49,42,43,50,50,36.01,33.41,34.088,37.8,38.53
193,4.788884,2.8419142,3.0837545,5.8819985,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.95447,143.64713,146.66891,170.56163,170.8606,350.42496,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,88.75666,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,35.718,33.79,34.32,38.03,38.424
194,4.788884,2.8419142,3.0837545,5.8819985,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.95447,143.64713,146.66891,170.56163,170.8606,353.8985,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,89.09769,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,36.062,34.574,34.964,37.448,38.822
195,4.788884,2.8419142,3.0837545,5.8819985,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.95447,143.64713,146.66891,170.56163,170.8606,353.8985,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,89.09769,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,36.212,34.818,34.914,38.22,38.798
196,4.721507,2.8419142,3.0837545,5.8819985,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.43019,143.64713,146.66891,170.56163,170.8606,351.12872,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,88.75666,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,36.546,34.186,35.172,38.242,38.302
197,4.721507,2.8419142,3.0837545,5.8819985,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.43019,143.64713,146.66891,170.56163,170.8606,351.12872,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,88.75666,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,36.614,34.448,34.878,38.332,38.474
198,4.721507,2.8419142,3.0837545,5.881978,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.43019,143.64713,146.66891,170.5615,170.8606,351.12872,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,88.75666,17.653587,31.9818,155.13644,206.3866,49,42,43,50,50,36.508,33.874,34.982,38.29,38.43
199,4.721507,2.8419142,3.0837545,5.881978,5.929718,11.973244,5.034807,5.236521,18.843174,39.176342,162.43019,143.64713,146.66891,170.5615,170.8606,351.12872,274.16367,307.945,434.0424,449.84692,105.46678,87.33655,89.51186,115.12926,117.49687,88.75666,14.639146,31.9818,155.13644,206.3866,49,42,43,50,50,36.502,34.186,34.546,38.348,38.836
