NeoGP.optimize!(rarindiv, buffers) = 65
NeoGP.extractparam(Float32, rarindiv) = Float32[0.83929104, -0.020135105, 0.38504496]
NeoGP.description_length_terms(rarindiv) = (-1274.7557f0, 14.4849415f0, 11.983779f0)
 RARMNRLikelihood{Float32} Float32[0.1, -0.5004616, 0.7451956]
-- NEO GP --
SEED=-1
MAX_LEN=40
POPSIZE=300
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=100
TSIZE=2
----------------------------------
gen,fevals,best_fitness,dl,nll,func_compl,param_compl,avg_len,avg_fitness,size,expression
27,1663467,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,23.783333,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
28,1753904,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.193333,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
29,1841792,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,23.83,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
30,1934853,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.82,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
31,2021335,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.21,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
32,2108498,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.34,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
33,2224399,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.586666,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
34,2321496,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,24.356667,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
35,2422936,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.463333,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
36,2519207,-1013.0686,-892.81854,-1013.0686,87.888985,32.361073,25.323334,Inf,40,"(abs((X1 * sqrt(abs(((sqrt(abs((X1 + log(abs(-2.3927994))))) * (-2.3756056 - X1)) - (abs(((abs(-0.33998957) ^ (sqrt(abs((-8.469482 + X1))) - (abs(X1) ^ -0.4287774))) - (sqrt(abs(((abs(X1) ^ -0.23087177) + log(abs(-62.91913))))) * (sqrt(abs(X1)) / X1)))) ^ X1)))))) ^ 0.5691259) RARMNRLikelihood{Float32} Float32[0.07936469, -0.5013449, 0.74013335]"
