-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
39,4143453,-327.75226,-327.75226,0.0013369434,0.0013771016,0.9749688,0.9815658,-377.94922,-303.70584,26.958,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346967))) - (-1.1562482 * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564227]]"
40,4269776,-327.75226,-327.75226,0.0013369434,0.0013771016,0.9749688,0.9815658,-377.94922,-303.70584,27.064,17,"(1.7267376 + pdiv(((-2.943392 + (X1 * (X1 * 7.9346967))) - (-1.1562482 * X1)), exp(exp(X1)))) [likelihood params: Float32[-0.036564227]]"
41,4401096,-327.75235,-327.75235,0.0013369438,0.0013771045,0.9749688,0.9815658,-377.94922,-303.7057,26.762,17,"(1.7267376 + pdiv(((-2.9433908 + (X1 * (X1 * 7.934686))) - (-1.1562569 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.036564246]]"
42,4528584,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,26.868,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
43,4653043,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,28.056,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
44,4780665,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,27.546,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
45,4912411,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,28.398,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
46,5046934,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,28.118,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
47,5191223,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,27.646,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
48,5326790,-327.75253,-327.75253,0.0013369437,0.0013770901,0.9749688,0.98156595,-377.94922,-303.70654,27.318,17,"(1.7267385 + pdiv(((-2.9434228 + (X1 * (X1 * 7.934526))) - (-1.1564164 * X1)), exp(exp(X1)))) [likelihood params: Float32[0.03656426]]"
49,5458858,-332.34872,-332.34872,0.00143306,0.0015891936,0.97316927,0.9787267,-371.00662,-291.69034,27.6,13,"(1.723004 + pdiv((-2.7152448 + (X1 * (X1 * 9.015874))), exp(exp(X1)))) [likelihood params: Float32[-0.037855797]]"
50,5595089,-332.34872,-332.34872,0.00143306,0.0015891936,0.97316927,0.9787267,-371.00662,-291.69034,26.41,13,"(1.723004 + pdiv((-2.7152448 + (X1 * (X1 * 9.015874))), exp(exp(X1)))) [likelihood params: Float32[-0.037855797]]"
219.647743 seconds (63.89 M allocations: 2.300 GiB, 0.19% gc time, 6079 lock conflicts, 2.66% compilation time: 19% of which was recompilation)
