gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95
48,0.0013628792,0.0012970467,0.0012978293,0.0015903345,0.0015903345,0.0013806038,0.0013369039,0.0013525059,0.0016604938,0.0016604938,-374.59512,-380.28998,-380.2223,-354.91907,-354.91907,-312.8269,-335.00116,-318.06015,-294.09766,-294.09766,25,15,15,35,35
49,0.001383885,0.0012970467,0.0012978293,0.0015567192,0.0015567192,0.0014126983,0.0013369039,0.0013525059,0.0016085119,0.0016085119,-372.778,-380.28998,-380.2223,-357.82697,-357.82697,-312.8269,-335.00143,-319.41483,-294.09766,-294.09766,25,15,15,34,34
50,0.0013422832,0.0012970467,0.0012978293,0.0015567192,0.0015567192,0.0013777569,0.0013369039,0.0013525059,0.0016085119,0.0016085119,-376.37677,-380.28998,-380.2223,-357.82697,-357.82697,-313.43527,-335.00143,-321.2702,-294.09766,-294.09766,24,15,17,34,34
51,0.001383885,0.0012970467,0.0013079256,0.0015567192,0.0015567192,0.0014126983,0.0013454731,0.0013525059,0.0016085119,0.0016085119,-372.778,-380.28998,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,23,15,15,34,34
52,0.001383885,0.0012970464,0.0013079256,0.0015567192,0.0015567192,0.0014126983,0.0013454731,0.0013525198,0.0016085119,0.0016085119,-372.778,-380.29,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,23,15,15,34,34
53,0.001383885,0.0012970464,0.0013079256,0.0015567192,0.0015567192,0.0014126983,0.0013454731,0.0013525198,0.0016085119,0.0016085119,-372.778,-380.29,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,21,15,15,34,34
54,0.0013703103,0.0012970464,0.0013079256,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.0013525198,0.0016085119,0.0016085119,-373.9523,-380.29,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,21,15,17,34,34
55,0.0013703103,0.0012970464,0.0013079256,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.0013525198,0.0016085119,0.0016085119,-373.9523,-380.29,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,20,15,17,34,34
56,0.0013703103,0.0012970464,0.0013079256,0.0015567192,0.0015567192,0.0013777569,0.0013454731,0.0013525198,0.0016085119,0.0016085119,-373.9523,-380.29,-379.3489,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,20,15,17,34,34
57,0.0013727864,0.0013079256,0.0013139319,0.0015567192,0.0015567192,0.0013956939,0.0013454731,0.0013556518,0.0016085119,0.0016085119,-373.7381,-379.3489,-378.8293,-357.82697,-357.82697,-314.50916,-335.00143,-329.07794,-294.09766,-294.09766,20,15,17,32,32
58,0.0013727864,0.0013079256,0.0013162562,0.0015567192,0.0015567192,0.0013956939,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.7381,-379.3489,-378.62823,-357.82697,-357.82697,-314.50916,-336.5522,-329.54703,-294.09766,-294.09766,20,17,17,32,32
59,0.001372785,0.0013079256,0.0013162562,0.0015567192,0.0015567192,0.0013956846,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.73822,-379.3489,-378.62823,-357.82697,-357.82697,-314.50916,-336.5522,-329.54703,-294.09766,-294.09766,20,17,17,31,31
60,0.001372785,0.0013079256,0.0013162562,0.0015567192,0.0015567192,0.0013956846,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.73822,-379.3489,-378.62823,-357.82697,-357.82697,-314.50916,-336.5522,-329.54703,-294.09766,-294.09766,20,17,17,31,31
61,0.0013727848,0.0013079256,0.0013162562,0.0015567192,0.0015567192,0.0013956939,0.0013454731,0.0013562931,0.0016085119,0.0016085119,-373.73822,-379.3489,-378.62823,-357.82697,-357.82697,-314.50916,-339.49326,-329.54703,-294.09766,-294.09766,20,17,17,31,31
