gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
12,8.886588e-5,6.2007115e-5,6.521138e-5,0.000104613406,0.0001111216,0.00012427653,7.1488466e-5,7.681143e-5,0.00014337689,0.00020506476,2055.0752,-112.964355,145.68408,3326.2158,3851.5566,2114.575,48.76573,192.18475,3361.649,3900.7573,16,7,7,32,35,13.456,8.046,8.828,17.032,19.446
13,8.28694e-5,6.001715e-5,6.200709e-5,9.748352e-5,0.0001111216,0.00011791734,7.039784e-5,7.295094e-5,0.0001512583,0.0002437989,1571.0396,-273.59424,-112.96631,2750.6914,3851.5566,1640.8854,-178.45709,-20.069141,2785.9998,3900.7573,18,7,9,32,39,15.206,9.088,9.794,20.01,21.088
14,7.968889e-5,5.810019e-5,6.122528e-5,9.7483455e-5,0.000107522115,0.0001159847,6.919018e-5,7.06254e-5,0.00015198548,0.0002437989,1314.3086,-428.33105,-176.07422,2750.686,3561.0068,1582.555,-372.90213,-105.72392,2774.4255,3831.0486,18,7,9,35,41,17.09,10.616,11.102,22.756,24.62
15,7.3965864e-5,5.6781413e-5,5.8945297e-5,9.706642e-5,0.00010454928,0.00010883769,6.64256e-5,6.919018e-5,0.00014293646,0.00020585636,852.3462,-534.7827,-360.11426,2717.0225,3321.039,932.8643,-406.58252,-186.70566,2758.5193,3467.0295,20,8,11,42,48,19.608,11.974,12.35,24.674,27.15
16,7.310938e-5,5.67814e-5,5.8762856e-5,9.444823e-5,9.748359e-5,0.00010876916,6.436428e-5,6.8730486e-5,0.00014293173,0.00019591377,783.21045,-534.7842,-374.84082,2505.683,2750.6973,890.5303,-440.0447,-272.07892,2556.715,2921.1084,22,8,11,41,50,21.516,12.872,14.072,27.866,30.572
17,6.948197e-5,5.2304196e-5,5.54671e-5,9.2813716e-5,9.714073e-5,0.000107794076,6.009953e-5,6.436428e-5,0.00014206304,0.00022159387,490.40576,-896.1841,-640.8745,2373.7446,2723.021,582.4931,-676.6185,-429.6198,2415.3525,2775.3108,23,9,12,48,53,23.648,14.388,15.856,31.288,34.1
18,6.805066e-5,4.775054e-5,5.4497334e-5,9.124775e-5,9.2782684e-5,9.787377e-5,5.6003755e-5,6.3934014e-5,0.00013569831,0.00017210045,374.8706,-1263.7551,-719.1538,2247.3398,2371.2397,476.74796,-1157.711,-468.6379,2336.015,2413.689,25,11,14,52,65,26.018,16.204,17.068,34.86,38.394
19,6.751789e-5,4.387061e-5,4.8446094e-5,9.0437694e-5,9.2782684e-5,9.4903495e-5,5.3885466e-5,6.009953e-5,0.0001346625,0.00014293274,331.86572,-1576.9431,-1207.6099,2181.9521,2371.2397,372.48355,-1370.2831,-980.86523,2286.6926,2467.1082,28,11,14,54,64,28.134,17.644,19.334,37.614,42.598
20,6.43845e-5,4.228731e-5,4.67697e-5,8.934356e-5,9.2782684e-5,9.46001e-5,5.1191266e-5,5.4997505e-5,0.00013323268,0.00014293249,78.93799,-1704.7471,-1342.9287,2093.6338,2371.2397,278.48444,-1564.1523,-1053.2267,2286.6926,2467.1082,29,11,14,52,69,30.67,19.18,21.026,40.51,44.946
21,6.3522755e-5,4.210377e-5,4.4655226e-5,8.895761e-5,9.259733e-5,7.924663e-5,4.7808742e-5,5.1944902e-5,0.00013329712,0.00014040503,9.378418,-1719.5623,-1513.6089,2062.48,2356.2778,194.33588,-1658.684,-1268.3163,2217.6785,2397.3816,31,11,14,63,70,33.458,21.328,23.08,43.144,47.72
22,6.3522755e-5,3.956525e-5,4.4311888e-5,8.882537e-5,9.248599e-5,7.918287e-5,4.6273934e-5,5.1191266e-5,0.00013569827,0.00021242395,9.378418,-1924.4717,-1541.323,2051.8057,2347.2905,176.28674,-1824.9418,-1359.0787,2143.8577,2395.8662,32,11,15,66,73,36.04,23.826,24.986,46.368,48.676
23,6.214958e-5,3.797086e-5,4.3324766e-5,8.798552e-5,9.244649e-5,7.572991e-5,4.516114e-5,4.7856916e-5,0.00013329195,0.00021411382,-101.46484,-2053.1707,-1621.0037,1984.0127,2344.1025,-5.1506042,-1897.9297,-1406.2739,2141.6252,2375.2886,33,14,16,73,88,38.952,26.344,27.506,48.32,52.198
24,5.9942307e-5,3.6310463e-5,4.0696683e-5,8.729874e-5,9.244649e-5,7.240823e-5,4.1889696e-5,4.623456e-5,0.00013323268,0.00013943107,-279.63574,-2187.198,-1833.1423,1928.5752,2344.1025,-103.4904,-1897.9297,-1658.684,2051.958,2375.2886,34,14,18,76,84,41.744,29.202,30.264,51.732,54.11
25,5.887152e-5,3.5866382e-5,3.847118e-5,8.729874e-5,9.2090835e-5,6.9875394e-5,4.027561e-5,4.584961e-5,0.00013323268,0.00013973139,-366.06934,-2223.0442,-2012.7849,1928.5752,2315.394,-204.79672,-1973.8888,-1778.9773,2083.0881,2391.4346,40,14,17,81,86,45.722,32.204,33.414,53.67,57.024
26,5.887152e-5,3.433606e-5,3.804364e-5,8.5132015e-5,8.8783614e-5,6.965166e-5,3.8942617e-5,4.4641994e-5,0.00013120973,0.00013973139,-366.06934,-2346.5718,-2047.2961,1753.6777,2048.4346,-203.88965,-1991.2815,-1880.9825,1875.3988,2375.2886,41,14,19,84,93,47.912,34.692,36.6,55.384,58.228
27,5.7342997e-5,3.4287383e-5,3.7766942e-5,8.5132015e-5,8.8783614e-5,6.9006026e-5,3.8458442e-5,4.304027e-5,0.00012450115,0.00013861353,-489.45166,-2350.501,-2069.631,1753.6777,2048.4346,-233.44617,-1998.1888,-1943.0392,2018.8442,2395.8662,44,16,19,83,93,50.242,37.07,39.51,57.544,60.272
28,5.680167e-5,3.4287368e-5,3.625534e-5,8.5132015e-5,8.8783614e-5,6.806069e-5,3.8456834e-5,4.225975e-5,0.00012450115,0.00013569827,-533.14795,-2350.5022,-2191.6475,1753.6777,2048.4346,-257.22327,-2057.472,-1969.4553,2018.8442,2395.8662,46,16,19,88,95,52.438,38.874,42.22,59.938,62.73
29,5.6117427e-5,3.348331e-5,3.625531e-5,8.5132015e-5,8.8783614e-5,6.753206e-5,3.964012e-5,4.194482e-5,0.00013120973,0.00014068096,-588.3799,-2415.406,-2191.65,1753.6777,2048.4346,-344.33752,-2174.7156,-1975.257,2018.8442,2375.2886,49,16,19,90,95,53.964,41.332,44.758,61.326,63.368
30,5.481432e-5,3.2662643e-5,3.4336044e-5,8.35961e-5,8.807899e-5,6.713198e-5,3.9153616e-5,4.150874e-5,0.00013213414,0.00014836855,-693.5669,-2481.6501,-2346.573,1629.6982,1991.5576,-440.2083,-2174.7156,-1994.9486,1818.8065,2335.6091,49,16,19,88,95,55.838,43.206,47.21,62.28,64.252
31,5.3885076e-5,3.122135e-5,3.291128e-5,8.236292e-5,8.7579385e-5,6.378318e-5,3.658096e-5,3.9353035e-5,0.00013002548,0.00014918942,-768.5752,-2597.9915,-2461.58,1530.1567,1951.229,-479.82178,-2243.182,-2064.239,1818.8065,2234.197,50,17,22,88,95,56.824,46.038,48.81,64.328,66.494
32,5.3125335e-5,3.10258e-5,3.2662483e-5,8.148543e-5,8.662276e-5,6.255937e-5,3.5424542e-5,3.860712e-5,0.00012450115,0.00014347634,-829.90137,-2613.776,-2481.663,1459.3252,1874.0103,-572.80383,-2304.83,-2101.324,1818.8065,2040.1573,51,18,24,94,98,58.488,47.452,51.752,65.876,67.77
33,5.17887e-5,3.10258e-5,3.2662483e-5,7.128224e-5,8.52755e-5,6.140998e-5,3.550543e-5,3.8596452e-5,0.00011109339,0.00013291814,-937.7949,-2613.776,-2481.663,635.72363,1765.2598,-714.48303,-2300.8223,-2109.9473,1810.9888,2273.1057,56,19,25,95,98,59.738,50.066,52.038,66.862,68.464
34,4.6119334e-5,3.0604962e-5,3.1334854e-5,6.970252e-5,8.148543e-5,5.722109e-5,3.4921773e-5,3.7107973e-5,0.00010731708,0.00012450115,-1395.426,-2647.746,-2588.8293,508.2085,1459.3252,-909.95087,-2310.2812,-2200.1245,1002.93445,2397.3816,56,19,26,95,98,61.61,52.184,53.44,67.844,69.348
35,4.1952553e-5,3.030549e-5,3.1199113e-5,6.9375514e-5,8.148543e-5,5.5847468e-5,3.4921773e-5,3.712135e-5,0.00010731708,0.00012450115,-1731.7686,-2671.9194,-2599.7861,481.813,1459.3252,-1426.2455,-2355.0422,-2191.722,730.3873,2397.3816,59,19,26,94,97,62.71,53.318,55.846,67.714,70.068
36,4.045399e-5,2.9737705e-5,3.101792e-5,6.853355e-5,7.778372e-5,5.4201082e-5,3.2724558e-5,3.7108723e-5,0.00010682233,0.00012450115,-1852.7324,-2717.7512,-2614.412,413.8496,1160.5234,-1426.2455,-2355.0422,-2200.1245,729.45184,2397.3816,63,19,29,94,96,62.62,54.562,56.982,69.118,71.544
37,4.045399e-5,2.9737124e-5,3.0989137e-5,6.840908e-5,7.778372e-5,5.1667543e-5,3.2724558e-5,3.614882e-5,0.0001064664,0.00012394701,-1852.7324,-2717.798,-2616.7356,403.80176,1160.5234,-1426.2455,-2378.2463,-2297.373,729.45184,2397.3816,63,19,30,94,96,63.46,55.04,58.456,70.002,72.154
38,3.88844e-5,2.9116145e-5,3.0936477e-5,6.512897e-5,6.931505e-5,5.047777e-5,3.21654e-5,3.564736e-5,8.794118e-5,0.00010932135,-1979.4299,-2767.9233,-2620.9863,139.03174,476.93213,-1617.7502,-2367.2808,-2301.8345,544.13446,2026.2229,64,24,33,93,97,63.842,55.458,58.094,70.998,73.2
39,3.8180748e-5,2.9116145e-5,3.0797437e-5,6.47647e-5,6.9044494e-5,4.8581453e-5,3.21654e-5,3.517153e-5,0.00010337897,0.00012394701,-2036.2288,-2767.9233,-2632.2095,109.62793,455.09277,-1701.3989,-2362.0637,-2282.0344,518.4991,1810.9888,62,25,36,93,96,64.982,56.262,58.01,71.512,73.554
40,3.766381e-5,2.9114768e-5,3.0612053e-5,6.4562904e-5,6.8408335e-5,4.8582686e-5,3.21654e-5,3.5367728e-5,0.0001039589,0.00012450115,-2077.956,-2768.0347,-2647.1736,93.339355,403.7422,-1617.316,-2372.1562,-2308.5535,609.5377,2396.2693,69,33,38,93,98,65.57,56.062,58.982,72.062,74.586
41,3.7175716e-5,2.8271448e-5,3.0202047e-5,6.3193154e-5,6.8408335e-5,4.603931e-5,3.1926353e-5,3.3683184e-5,0.00010055051,0.00012394701,-2117.3547,-2836.1074,-2680.2693,-17.22754,403.7422,-1675.1278,-2453.2788,-2349.2585,432.96136,1810.9888,72,21,38,94,98,66.528,57.064,59.878,71.822,74.694
42,3.6951467e-5,2.7608816e-5,2.9871167e-5,6.3193154e-5,6.8408335e-5,4.55222e-5,3.0485051e-5,3.4218057e-5,9.728046e-5,0.00012394701,-2135.456,-2889.5952,-2706.978,-17.22754,403.7422,-1759.1532,-2453.2788,-2298.5583,518.4991,1810.9888,72,21,36,94,97,66.936,57.828,59.412,72.178,75.714
43,3.666022e-5,2.7277163e-5,2.9681185e-5,6.3193154e-5,6.8408335e-5,4.59142e-5,3.1875945e-5,3.419982e-5,9.723746e-5,0.00012394701,-2158.9656,-2916.3662,-2722.3132,-17.22754,403.7422,-1757.8151,-2540.2153,-2367.2808,518.4991,1810.9888,74,21,36,96,98,67.648,58.592,60.622,73.126,76.122
44,3.6631303e-5,2.6053e-5,2.966133e-5,6.1725485e-5,6.449016e-5,4.519838e-5,3.0483763e-5,3.3733762e-5,8.220497e-5,0.000102309,-2161.2998,-3015.1804,-2723.916,-135.69775,87.4668,-1782.7986,-2541.8557,-2367.2808,374.71356,2396.2693,78,20,36,95,98,67.954,57.696,61.042,73.168,75.644
45,3.6322923e-5,2.5505342e-5,2.966133e-5,5.9558664e-5,6.354265e-5,4.3770742e-5,2.9673804e-5,3.342154e-5,7.315925e-5,0.000102309,-2186.1921,-3059.3875,-2723.916,-310.60303,10.983887,-1850.0929,-2640.8838,-2396.2852,355.87524,2396.2693,80,22,36,95,97,68.67,58.036,61.132,73.66,76.038
46,3.5892466e-5,2.5505304e-5,2.966133e-5,5.8487338e-5,6.3542655e-5,4.2628122e-5,2.9677813e-5,3.264515e-5,7.184176e-5,0.000103199185,-2220.9387,-3059.3906,-2723.916,-397.08057,10.984863,-1871.5664,-2692.7366,-2398.202,383.45996,3.4028235e38,78,22,39,96,97,68.79,58.366,61.258,74.006,76.994
47,3.533607e-5,2.5505304e-5,2.8589388e-5,5.8487338e-5,6.3018815e-5,4.2514115e-5,2.8694976e-5,3.1910367e-5,6.9011134e-5,7.84528e-5,-2265.851,-3059.3906,-2810.4434,-397.08057,-31.299805,-1892.7208,-2612.594,-2411.439,383.45996,3.4028235e38,77,22,41,95,98,68.612,59.386,62.344,74.246,76.942
48,3.4962068e-5,2.5505304e-5,2.8589353e-5,5.7601068e-5,6.3018815e-5,4.1548006e-5,2.8694976e-5,3.2054744e-5,6.9011134e-5,7.84528e-5,-2296.0405,-3059.3906,-2810.446,-468.6206,-31.299805,-1869.5197,-2612.594,-2413.2554,432.34467,3.4028235e38,80,34,41,96,99,69.348,58.548,62.63,75.514,77.18
49,3.4662888e-5,2.4961926e-5,2.7922995e-5,5.6948596e-5,6.174676e-5,4.0743886e-5,2.8694976e-5,3.0919622e-5,6.9011134e-5,7.84528e-5,-2320.1902,-3103.252,-2864.2346,-521.2876,-133.98047,-1907.9229,-2525.0864,-2413.2554,370.46634,3.4028235e38,83,34,42,98,100,69.996,58.556,63.148,74.46,76.844
50,3.4416396e-5,2.4866255e-5,2.7756283e-5,5.5452532e-5,5.9545677e-5,4.0003233e-5,2.8694976e-5,3.048622e-5,6.8358466e-5,7.2466886e-5,-2340.0872,-3110.9746,-2877.6914,-642.0503,-311.65186,-1914.9203,-2674.1064,-2426.2947,43.833954,3.4028235e38,83,34,41,97,99,69.91,60.67,63.114,74.804,76.156
51,3.414701e-5,2.4866193e-5,2.7538203e-5,5.476596e-5,5.9519567e-5,4.031413e-5,2.8694976e-5,3.0406645e-5,6.8358466e-5,7.337005e-5,-2361.8318,-3110.9795,-2895.295,-697.4707,-313.7588,-1934.9219,-2612.594,-2400.4006,-178.09099,3.4028235e38,82,34,43,97,99,70.238,61.866,64.054,75.216,77.944
52,3.386815e-5,2.4866196e-5,2.7538206e-5,5.4087403e-5,5.9519567e-5,4.0317078e-5,2.8694976e-5,3.0406645e-5,6.977353e-5,7.84528e-5,-2384.3416,-3110.9792,-2895.2947,-752.24365,-313.7588,-1947.9573,-2612.594,-2444.9304,-152.46848,3.4028235e38,82,34,49,97,99,70.326,63.226,64.976,75.654,77.148
53,3.3660825e-5,2.486377e-5,2.7176313e-5,5.3897984e-5,5.9403377e-5,3.927574e-5,2.8793247e-5,3.0364212e-5,6.653345e-5,7.84528e-5,-2401.0767,-3111.1753,-2924.5068,-767.5332,-323.13818,-1966.1586,-2556.8782,-2444.9304,-152.46848,3.4028235e38,81,34,44,98,99,70.448,63.892,65.196,75.454,77.206
54,3.351849e-5,2.4806708e-5,2.7176313e-5,5.3225078e-5,5.709664e-5,3.8742317e-5,2.799551e-5,3.0406645e-5,6.545003e-5,7.1736424e-5,-2412.5662,-3115.7812,-2924.5068,-821.8501,-509.3379,-1966.1586,-2571.7188,-2543.2935,-225.52197,3.4028235e38,82,34,41,97,99,70.964,63.324,65.364,75.682,77.094
55,3.320266e-5,2.4806708e-5,2.7176313e-5,5.2309682e-5,5.6631405e-5,3.945508e-5,2.7928108e-5,3.0406645e-5,6.2658684e-5,7.1736424e-5,-2438.06,-3115.7812,-2924.5068,-895.7412,-546.8916,-1983.534,-2608.4116,-2547.4763,-329.87988,3.4028235e38,83,32,47,97,97,71.152,63.448,66.098,75.442,77.596
56,3.3079486e-5,2.4806708e-5,2.672263e-5,5.2309624e-5,5.6630564e-5,3.9449074e-5,2.7928108e-5,3.0745636e-5,6.1411105e-5,7.0972834e-5,-2448.0027,-3115.7812,-2961.128,-895.7456,-546.9595,-2010.1239,-2627.2869,-2559.1997,-329.65765,3.4028235e38,83,38,50,97,98,71.438,63.51,66.32,75.452,77.234
57,3.2744436e-5,2.4806708e-5,2.668372e-5,5.0463488e-5,5.4587585e-5,3.8773174e-5,2.7802678e-5,2.9898463e-5,6.040754e-5,7.3468414e-5,-2475.0479,-3115.7812,-2964.2688,-1044.7659,-711.86865,-2013.4882,-2633.792,-2553.3145,-416.64307,3.4028235e38,86,47,55,97,98,71.448,63.408,66.238,75.742,76.872
58,3.2645912e-5,2.4806708e-5,2.6199472e-5,4.756784e-5,5.404456e-5,3.8645965e-5,2.747242e-5,2.8397173e-5,6.022802e-5,7.225896e-5,-2483.0007,-3115.7812,-3003.3572,-1278.5024,-755.70166,-2041.9618,-2678.3372,-2558.3975,-499.49365,3.4028235e38,84,47,57,97,99,72.102,62.246,65.034,76.282,77.78
59,3.2250016e-5,2.4806708e-5,2.613937e-5,4.6930785e-5,5.3919466e-5,3.811942e-5,2.7417513e-5,2.8063088e-5,5.956545e-5,7.225896e-5,-2514.9575,-3115.7812,-3008.2087,-1329.9255,-765.7993,-2020.5425,-2688.637,-2554.6025,-629.4523,3.4028235e38,86,44,58,97,99,72.154,62.936,65.748,75.702,78.142
60,3.2090535e-5,2.4806708e-5,2.57442e-5,4.6930785e-5,5.2973952e-5,3.8564012e-5,2.7417513e-5,2.8063088e-5,5.9500402e-5,7.602961e-5,-2527.8308,-3115.7812,-3040.107,-1329.9255,-842.1211,-2058.458,-2594.2627,-2528.4185,-650.9444,44.22937,87,48,59,98,99,72.428,63.392,65.882,76.238,77.778
61,3.199605e-5,2.3953497e-5,2.512953e-5,4.4630568e-5,5.296832e-5,3.8237904e-5,2.5844929e-5,2.8021126e-5,6.178136e-5,7.602961e-5,-2535.4575,-3184.6523,-3089.7231,-1515.5991,-842.5757,-2058.458,-2711.9143,-2558.3975,-677.6867,44.22937,86,42,55,97,99,72.428,64.606,66.622,76.782,78.192
62,3.18567e-5,2.3953233e-5,2.511831e-5,4.448864e-5,5.2543106e-5,3.8237904e-5,2.6271939e-5,2.792805e-5,6.3045016e-5,7.604014e-5,-2546.7058,-3184.6738,-3090.6287,-1527.0557,-876.8989,-2087.941,-2690.2134,-2568.6023,-705.85004,-478.4942,88,48,60,97,99,72.312,64.404,67.366,76.672,77.83
63,3.1217678e-5,2.3953233e-5,2.4987405e-5,4.2202653e-5,5.2305895e-5,3.73112e-5,2.5767775e-5,2.792805e-5,6.178136e-5,7.267829e-5,-2598.2876,-3184.6738,-3101.1953,-1711.5803,-896.0469,-2088.4932,-2690.2134,-2587.8887,-677.6867,-24.63292,86,48,61,99,100,72.698,64.564,66.532,77.332,78.93
64,3.1117437e-5,2.3953233e-5,2.4987405e-5,4.1724998e-5,5.2200052e-5,3.7203343e-5,2.5767775e-5,2.7912076e-5,6.1915984e-5,7.267829e-5,-2606.379,-3184.6738,-3101.1953,-1750.1367,-904.59033,-2091.679,-2704.1782,-2566.3735,-735.0326,-24.63292,87,51,62,99,100,72.778,65.322,66.16,77.274,78.862
65,3.1104875e-5,2.3763132e-5,2.4983587e-5,4.0240375e-5,5.2106992e-5,3.688907e-5,2.5767775e-5,2.792805e-5,5.915447e-5,7.267829e-5,-2607.393,-3200.0186,-3101.5034,-1869.9756,-912.10205,-2147.0984,-2709.6223,-2610.217,-1227.3784,-24.63292,85,49,62,99,100,72.928,63.598,65.764,77.542,78.824
66,3.1096894e-5,2.373978e-5,2.4983587e-5,3.9724877e-5,5.011884e-5,3.7018133e-5,2.5767775e-5,2.792805e-5,6.173352e-5,7.267829e-5,-2608.0376,-3201.9038,-3101.5034,-1911.5864,-1072.5857,-2155.2905,-2704.5127,-2609.9358,-1227.3784,-42.262825,87,46,60,99,100,72.702,63.434,66.094,77.768,78.57
67,3.09026e-5,2.373977e-5,2.4979247e-5,3.928706e-5,5.011884e-5,3.6927424e-5,2.5525236e-5,2.792805e-5,6.288491e-5,7.5877884e-5,-2623.7207,-3201.9043,-3101.8538,-1946.9272,-1072.5857,-2162.1274,-2709.8389,-2610.217,-1002.40906,3.4028235e38,87,46,60,98,100,73.198,63.682,66.71,77.236,78.886
68,3.0637362e-5,2.3739734e-5,2.4979241e-5,3.8968654e-5,4.7839512e-5,3.6249283e-5,2.5523595e-5,2.792805e-5,6.156592e-5,7.625783e-5,-2645.1306,-3201.9072,-3101.8542,-1972.6292,-1256.573,-2176.56,-2732.618,-2639.523,-1047.2241,3.4028235e38,87,49,63,98,99,73.364,64.672,67.444,77.988,78.946
69,3.0496993e-5,2.3739673e-5,2.4881814e-5,3.8103455e-5,4.7839512e-5,3.6249283e-5,2.5521531e-5,2.7803217e-5,6.116957e-5,7.5877884e-5,-2656.4614,-3201.912,-3109.7188,-2042.4678,-1256.573,-2194.8745,-2732.618,-2647.415,-1103.447,3.4028235e38,87,49,62,99,100,73.852,64.99,68.072,78.37,79.788
70,3.0121077e-5,2.3739665e-5,2.4381423e-5,3.8040736e-5,4.7839512e-5,3.6031586e-5,2.5520148e-5,2.7852306e-5,6.114706e-5,7.5877884e-5,-2686.8054,-3201.9128,-3150.1104,-2047.5303,-1256.573,-2169.8542,-2799.1484,-2652.1282,-1102.216,3.4028235e38,87,49,64,99,100,73.462,65.67,68.406,78.298,79.038
71,3.0003024e-5,2.3739647e-5,2.4381423e-5,3.758332e-5,4.6685404e-5,3.52477e-5,2.5518297e-5,2.7465381e-5,6.113013e-5,7.4189695e-5,-2696.3345,-3201.9143,-3150.1104,-2084.4531,-1349.7327,-2196.624,-2789.7302,-2687.6782,-1047.0315,3.4028235e38,86,49,64,98,99,73.388,66.746,68.138,77.302,78.262
72,2.9970246e-5,2.3101562e-5,2.428263e-5,3.7583282e-5,4.651718e-5,3.5246805e-5,2.5695397e-5,2.739881e-5,5.2919062e-5,7.477495e-5,-2698.9802,-3253.4204,-3158.085,-2084.456,-1363.312,-2196.624,-2789.7302,-2687.6782,-969.62634,3.4028235e38,87,56,64,98,99,73.374,66.526,67.83,77.326,78.758
73,2.996418e-5,2.2857183e-5,2.4240962e-5,3.7441227e-5,4.6344216e-5,3.5205583e-5,2.5422863e-5,2.7215143e-5,6.110819e-5,7.940068e-5,-2699.47,-3273.147,-3161.4482,-2095.9229,-1377.2734,-2218.4578,-2802.8525,-2758.1897,-1217.5142,3.4028235e38,87,57,66,99,100,72.724,66.28,68.146,77.062,78.324
74,2.953884e-5,2.2857183e-5,2.421623e-5,3.7029517e-5,4.5892295e-5,3.520558e-5,2.5422863e-5,2.723613e-5,5.971219e-5,7.5877884e-5,-2733.8035,-3273.147,-3163.4446,-2129.1562,-1413.7527,-2268.9158,-2790.5063,-2758.1897,-1398.5459,-79.20595,88,57,64,99,99,72.698,66.322,68.04,77.964,79.0
75,2.9470113e-5,2.2857183e-5,2.4178144e-5,3.7029386e-5,4.5892295e-5,3.4642377e-5,2.4965453e-5,2.6642916e-5,5.854596e-5,7.651487e-5,-2739.351,-3273.147,-3166.519,-2129.1667,-1413.7527,-2262.9697,-2798.6777,-2687.6782,-1493.4121,-79.20595,89,58,64,99,100,72.986,65.958,67.998,77.688,78.368
76,2.9469906e-5,2.2857183e-5,2.4080713e-5,3.6691505e-5,4.3478878e-5,3.453782e-5,2.4965453e-5,2.7020676e-5,5.4036896e-5,7.7856166e-5,-2739.368,-3273.147,-3174.3835,-2156.4404,-1608.5635,-2285.5576,-2837.9639,-2789.7302,-1250.0249,3.4028235e38,88,58,66,99,100,73.45,66.504,68.384,77.542,78.816
