gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_train_median,nll_train_p5,nll_train_p10,nll_train_p90,nll_train_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,func_compl_median,func_compl_p5,func_compl_p10,func_compl_p90,func_compl_p95,param_compl_median,param_compl_p5,param_compl_p10,param_compl_p90,param_compl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
164,0.028178716,0.02320113,0.023867873,0.033249617,0.035006825,0.06013254,0.028330877,0.030729117,0.39825228,1.0320963,-259.768,-324.76456,-316.05832,-193.55292,-170.60757,89.34035,-47.833015,-18.554558,404.3059,585.947,249.32277,168.89967,186.99208,286.1468,292.27414,90.91092,27.129871,32.397938,436.29327,542.3913,89,62,68,99,99,75.148,69.732,71.036,79.856,80.672
165,0.028106581,0.023201073,0.023867873,0.03310818,0.03499108,0.054692503,0.028780006,0.030729117,0.39825228,1.0320963,-260.7099,-324.76532,-316.05832,-195.39981,-170.81314,84.5802,-60.582413,-20.165497,404.3059,563.2085,249.14062,168.89967,181.32565,283.25644,292.27414,92.46556,25.797367,32.343258,436.29327,514.1926,88,62,66,98,99,75.378,69.748,70.726,79.392,80.086
166,0.028106581,0.023201073,0.02386351,0.03310818,0.03499108,0.05966897,0.028780006,0.030729117,0.4194742,1.0520647,-260.7099,-324.76532,-316.1153,-195.39981,-170.81314,84.07138,-60.582413,-20.48452,408.97757,554.55884,250.27731,173.31522,186.99208,284.59457,292.27414,87.04765,25.73801,31.497574,423.4804,503.65207,89,62,68,99,99,75.176,69.406,70.804,79.282,80.462
167,0.028095106,0.023184182,0.02386351,0.03310818,0.03499108,0.05529306,0.027947934,0.030729117,0.44091108,1.0520647,-260.85977,-324.98587,-316.1153,-195.39981,-170.81314,84.07138,-47.833015,-15.325417,427.4406,622.1598,249.14062,173.31522,189.43373,288.55502,292.27414,87.04765,25.797367,32.397938,453.07657,607.4348,90,64,70,98,99,75.094,69.584,71.108,78.948,80.816
168,0.028031101,0.023184182,0.02386351,0.032697383,0.03496575,0.05529351,0.027847288,0.03083158,0.44091788,1.0520647,-261.69553,-324.98587,-316.1153,-200.76392,-171.14389,89.219055,-60.582413,-20.48452,427.4406,626.31824,249.14062,159.77496,186.99208,288.55502,292.27414,82.39529,25.73801,32.37694,450.3417,636.21796,91,62,68,99,100,75.214,70.23,71.364,79.124,80.802
169,0.027851976,0.023184182,0.023859847,0.032697383,0.03496575,0.05529351,0.027847288,0.03083158,0.4194742,1.0520647,-264.03452,-324.98587,-316.16312,-200.76392,-171.14389,83.11311,-64.27539,-16.896677,427.4406,611.79224,251.84866,164.15675,186.99208,288.55502,289.22964,82.39529,25.73801,30.768597,448.64615,616.59485,91,62,68,99,100,75.316,69.364,71.012,79.14,80.34
170,0.027772969,0.023184182,0.023859847,0.032597426,0.03496575,0.052866578,0.027847288,0.030946666,0.4194742,1.0520647,-265.0662,-324.98587,-316.16312,-202.06912,-171.14389,79.621185,-62.97812,-16.896677,435.5338,611.79224,250.71045,164.15675,186.99208,286.1468,289.22964,79.56113,23.732044,29.548672,446.15958,616.59485,91,62,66,98,99,75.648,69.836,70.976,78.956,79.594
171,0.027764063,0.023184182,0.023859847,0.032597426,0.03496575,0.05529351,0.02909439,0.032080885,0.45524946,1.0520647,-265.18246,-324.98587,-316.16312,-202.06912,-171.14389,75.72534,-62.97812,-16.896677,435.5338,611.79224,250.27731,164.15675,186.99208,288.55502,294.4439,82.624626,25.73801,30.79243,453.07657,616.59485,90,62,66,98,99,75.43,70.202,70.712,78.866,80.268
172,0.027729126,0.023184182,0.023859847,0.032597397,0.03496575,0.051847372,0.02909439,0.032012876,0.45524946,1.0520647,-265.63867,-324.98587,-316.16312,-202.06952,-171.14389,79.72607,-47.833015,-15.325417,427.4406,626.31824,250.27731,173.31522,189.43373,288.55502,294.4439,87.04765,25.73801,31.609243,453.07657,650.8668,90,62,70,99,100,75.518,70.368,71.07,78.648,80.308
173,0.027729113,0.023184182,0.023859847,0.032597397,0.03496575,0.051847372,0.029549412,0.032012876,0.45524946,1.0520647,-265.63885,-324.98587,-316.16312,-202.06952,-171.14389,90.20799,-53.208817,-15.325417,423.7152,626.31824,254.55672,175.65923,191.64464,286.18512,294.4439,82.624626,24.382242,30.768597,453.1815,648.1277,91,62,72,99,99,75.676,70.584,71.452,78.582,79.708
