-- NEO GP (NSGA2)--
SEED=-1
MAX_LEN=50
POPSIZE=500
TOURNAMENT_SIZE=2
INITIAL_DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
----------------------------------
gen,fevals,|bestfront|,bestloss,obj,nll,dl,func_compl,param_compl,FBF,MSE_train,MSE_test,R2_train,R2_test,size,expression
43,1332121,29,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
44,1370733,28,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
45,1407874,27,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
46,1443159,31,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
47,1477489,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
48,1512847,31,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
49,1546275,33,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
50,1581984,32,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
51,1618571,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
52,1652117,34,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
53,1687337,32,171.79889,164.59608,171.79889,185.899,6.931472,7.1686406,164.59608,6.0820174,11.519754,0.4388013,0.16348541,5,"(12.396645 + (-0.06392154 * X1)) NeoGP.GaussianLikelihood{Float32} Float32[2.4661748]"
