dataset,algorithm,time
650_fri_c0_500_50,GPGOMEA,495.3
650_fri_c0_500_50,GPZGD,160.267
650_fri_c0_500_50,PySIPS,103.867
650_fri_c0_500_50,PySR,1168.8
650_fri_c0_500_50,random,158.067
650_fri_c0_500_50,Operon,49.8
650_fri_c0_500_50,eggp,282.967
650_fri_c0_500_50,QLattice,950.9
650_fri_c0_500_50,slim_gsgp,720.733
678_visualizing_environmental,SymRegg,262.767
678_visualizing_environmental,GPGOMEA,148.833
678_visualizing_environmental,GPZGD,61.1667
678_visualizing_environmental,PySIPS,91.8
678_visualizing_environmental,PySR,602.833
678_visualizing_environmental,random,204.1
678_visualizing_environmental,Operon,25.3
678_visualizing_environmental,eggp,182.333
678_visualizing_environmental,QLattice,860.633
678_visualizing_environmental,slim_gsgp,734.9
chemical_1_tower,SymRegg,1037.63
chemical_1_tower,GPGOMEA,1030.7
chemical_1_tower,GPZGD,620.767
chemical_1_tower,PySIPS,383.033
chemical_1_tower,PySR,2884.77
chemical_1_tower,random,224.567
chemical_1_tower,Operon,374.5
chemical_1_tower,eggp,2046.53
chemical_1_tower,QLattice,869.433
chemical_1_tower,slim_gsgp,1024.1
chemical_2_competition,SymRegg,480.833
chemical_2_competition,GPGOMEA,617.933
chemical_2_competition,GPZGD,255.833
chemical_2_competition,PySIPS,119.133
chemical_2_competition,PySR,1871.5
chemical_2_competition,random,124.2
chemical_2_competition,Operon,214.967
chemical_2_competition,eggp,664.567
chemical_2_competition,QLattice,881.3
chemical_2_competition,slim_gsgp,927.7
flow_stress_phip0.1,SymRegg,1400.9
flow_stress_phip0.1,GPGOMEA,956.533
flow_stress_phip0.1,GPZGD,605.667
flow_stress_phip0.1,PySIPS,795.1
flow_stress_phip0.1,PySR,3658.07
flow_stress_phip0.1,random,534.033
flow_stress_phip0.1,Operon,817.8
flow_stress_phip0.1,eggp,2301.6
flow_stress_phip0.1,QLattice,859.3
flow_stress_phip0.1,slim_gsgp,998.5
friction_dyn_one-hot,SymRegg,568.3
friction_dyn_one-hot,GPGOMEA,702.567
friction_dyn_one-hot,GPZGD,322.533
friction_dyn_one-hot,PySIPS,141.667
friction_dyn_one-hot,PySR,2460.37
friction_dyn_one-hot,random,147.9
friction_dyn_one-hot,Operon,237.967
friction_dyn_one-hot,eggp,881.867
friction_dyn_one-hot,QLattice,891.667
friction_dyn_one-hot,slim_gsgp,888.767
friction_stat_one-hot,SymRegg,559.5
friction_stat_one-hot,GPGOMEA,447.467
friction_stat_one-hot,GPZGD,336.067
friction_stat_one-hot,PySIPS,113.433
friction_stat_one-hot,PySR,3022.63
friction_stat_one-hot,random,147.8
friction_stat_one-hot,Operon,246.367
friction_stat_one-hot,eggp,858.467
friction_stat_one-hot,QLattice,906.533
friction_stat_one-hot,slim_gsgp,852.233
nasa_battery_1_10min,SymRegg,496.267
nasa_battery_1_10min,GPGOMEA,399.2
nasa_battery_1_10min,GPZGD,207.533
nasa_battery_1_10min,PySIPS,116.8
nasa_battery_1_10min,PySR,1684.27
nasa_battery_1_10min,random,186.8
nasa_battery_1_10min,Operon,186.467
nasa_battery_1_10min,eggp,674.033
nasa_battery_1_10min,QLattice,846.133
nasa_battery_1_10min,slim_gsgp,843.2
nasa_battery_2_20min,SymRegg,849.533
nasa_battery_2_20min,GPGOMEA,834.933
nasa_battery_2_20min,GPZGD,320.167
nasa_battery_2_20min,PySIPS,158.967
nasa_battery_2_20min,PySR,3679.1
nasa_battery_2_20min,random,216.767
nasa_battery_2_20min,Operon,424.233
nasa_battery_2_20min,eggp,1218.07
nasa_battery_2_20min,QLattice,905.533
nasa_battery_2_20min,slim_gsgp,1012.83
nikuradse_1,SymRegg,516.667
nikuradse_1,GPGOMEA,186.033
nikuradse_1,GPZGD,146.533
nikuradse_1,PySIPS,75.8
nikuradse_1,PySR,1405.67
nikuradse_1,random,180.667
nikuradse_1,Operon,222.1
nikuradse_1,eggp,459.667
nikuradse_1,QLattice,841
nikuradse_1,slim_gsgp,928.367
nikuradse_2,SymRegg,601.067
nikuradse_2,GPGOMEA,267.867
nikuradse_2,GPZGD,133.2
nikuradse_2,PySIPS,101.467
nikuradse_2,PySR,1104.53
nikuradse_2,random,185.5
nikuradse_2,Operon,156.567
nikuradse_2,eggp,481.767
nikuradse_2,QLattice,756.567
nikuradse_2,slim_gsgp,923.4
