gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
22,0.0027605428,0.0014239429,0.0015322992,0.004758713,0.005711127,0.0035952884,0.0024937033,0.0026598978,0.0067012566,0.009521327,-1008.5196,-1041.192,-1038.5433,-959.6754,-936.39417,-846.3779,-944.8458,-925.7134,-643.83777,-426.8355,46,19,25,78,88,34.248,24.098,26.294,45.56,48.362
23,0.002488535,0.0014136109,0.0015176649,0.0042063044,0.005566684,0.003799372,0.0024686493,0.0025722322,0.0066472613,0.01105558,-1015.16864,-1041.4446,-1038.901,-973.1787,-939.92505,-849.4433,-946.6142,-928.8511,-626.8496,-414.27576,47,19,25,81,90,37.422,26.06,27.724,48.406,50.816
24,0.002343783,0.0012816956,0.0014275818,0.00409151,0.005062887,0.0038015177,0.0024986549,0.0026598873,0.0069239307,0.011055279,-1018.70703,-1044.6692,-1041.103,-975.98486,-952.24005,-844.2534,-943.2363,-926.07764,-637.16644,-556.29724,49,22,26,82,94,40.61,28.634,30.402,50.582,54.86
25,0.002244402,0.0012091281,0.0013911058,0.0038199455,0.004489788,0.003737223,0.0024438405,0.0026014112,0.0058826394,0.0088920975,-1021.13635,-1046.443,-1041.9948,-982.62305,-966.24915,-831.87823,-934.5837,-921.6507,-612.32654,-475.62155,56,23,28,85,96,43.67,31.42,33.288,53.962,56.662
26,0.0020752791,0.0011871041,0.0013463321,0.0036987076,0.0044576465,0.0037034724,0.0025272407,0.0026585874,0.0062533817,0.009964343,-1025.2705,-1046.9814,-1043.0891,-985.5867,-967.03485,-822.82886,-934.22943,-920.2548,-480.86563,-422.6737,57,27,30,90,98,46.4,33.93,35.672,55.252,58.342
27,0.002047736,0.0011098813,0.0013232932,0.003388607,0.003853371,0.0037153177,0.0026084739,0.002676627,0.005864144,0.008545477,-1025.9437,-1048.8691,-1043.6523,-993.1669,-981.806,-824.68115,-926.07764,-919.97217,-556.29724,-490.63068,63,30,32,90,98,49.026,36.83,39.626,57.964,61.012
28,0.0019077249,0.0011009519,0.0012558167,0.0033290677,0.0037618096,0.003747371,0.002689791,0.0029083712,0.0062533817,0.009776684,-1029.3662,-1049.0874,-1045.3018,-994.6223,-984.0442,-804.80457,-925.892,-912.98706,-503.71826,-402.3263,68,30,32,96,100,52.132,38.634,42.658,60.1,62.974
29,0.0018291192,0.0010905026,0.001196518,0.0029803864,0.003625759,0.0038650099,0.0028593298,0.0029756117,0.006657904,0.010640839,-1031.2877,-1049.3428,-1046.7513,-1003.1456,-987.3699,-789.5761,-925.892,-916.7848,-455.019,-340.52707,74,30,33,96,99,55.03,41.06,44.524,62.39,63.188
30,0.0017415821,0.0010305722,0.0010862347,0.0029783316,0.0036257452,0.0040619993,0.0029036584,0.0030491112,0.0075584194,0.011118274,-1033.4275,-1050.8077,-1049.4471,-1003.19586,-987.3702,-788.0797,-921.3794,-912.98706,-464.7312,-309.69226,75,32,35,97,100,56.986,43.102,47.268,63.538,64.208
31,0.0016935703,0.00088841736,0.0010431673,0.002542732,0.0031072795,0.003987333,0.00292676,0.003060302,0.0075376015,0.009417281,-1034.6011,-1054.2826,-1050.4999,-1013.8439,-1000.0438,-786.3851,-912.41284,-896.179,-410.24222,-294.64194,80,35,40,97,100,58.768,46.01,49.25,65.104,66.52
