gen,MSE_train_median,MSE_train_p5,MSE_train_p10,MSE_train_p90,MSE_train_p95,MSE_test_median,MSE_test_p5,MSE_test_p10,MSE_test_p90,MSE_test_p95,nll_median,nll_p5,nll_p10,nll_p90,nll_p95,dl_median,dl_p5,dl_p10,dl_p90,dl_p95,size_median,size_p5,size_p10,size_p90,size_p95,avg_len_median,avg_len_p5,avg_len_p10,avg_len_p90,avg_len_p95
34,6.699855,2.1729069,2.678181,29.08838,34.623055,6.578704,2.3643603,2.9928288,31.841871,43.14604,11815.693,7590.5415,8062.131,32711.652,37877.348,12099.346,7991.4097,8325.331,37760.168,54935.78,71,24,33,97,99,63.162,52.642,55.878,69.882,70.548
35,6.1810594,1.9733552,2.5983052,26.66358,34.436863,6.476343,2.3182118,2.9349763,31.841871,55.02004,11331.484,7404.2935,7987.58,30448.504,37703.566,12067.87,7748.4277,8232.24,37760.168,3.4028235e38,71,24,39,96,98,64.364,55.332,56.878,71.61,72.288
36,5.8398724,1.6688985,2.2084405,24.879105,34.35616,6.513392,2.3181775,2.6271393,28.209698,38.05307,11013.043,7120.134,7623.706,28782.992,37628.246,11322.933,7521.1895,7985.4644,36831.168,46626.816,73,28,40,96,99,65.4,55.672,58.46,71.604,74.2
37,5.6651807,1.4705249,1.9603885,24.034452,34.03619,6.297142,2.0503268,2.6262932,27.95645,38.05307,10849.997,6934.985,7392.191,27994.652,37329.605,11191.078,7299.322,7754.2793,32877.67,46626.816,78,28,39,96,99,65.698,57.742,59.53,72.184,73.148
38,5.354741,1.3952692,1.7264396,20.773474,33.94268,5.2774787,1.8002123,2.3567195,26.912777,36.076813,10560.254,6864.746,7173.839,24951.07,37242.33,11030.105,7280.2593,7721.7686,28069.492,46626.816,78,28,40,96,99,66.68,58.586,60.064,72.518,73.198
39,4.691689,1.2917774,1.7159691,19.61829,33.935783,5.0460997,1.7169015,2.2134225,21.518383,32.867355,9941.404,6768.154,7164.0664,23872.898,37235.895,10710.143,7311.474,7647.1123,26585.877,40422.227,79,33,45,96,99,67.256,60.258,61.43,72.972,74.186
40,4.51163,1.2725652,1.643844,19.617485,32.74232,4.8260803,1.7140276,2.0503268,27.675413,50.263927,9773.35,6750.2227,7096.7495,23872.148,36121.996,10245.721,7267.0376,7407.4233,28069.492,38650.98,81,39,50,96,98,68.376,60.65,61.596,73.994,74.878
41,4.1717343,1.1348255,1.6040087,19.617455,29.649721,4.527704,1.7250872,2.0542712,26.217731,38.436974,9456.114,6621.6655,7059.57,23872.121,33235.566,9855.352,7239.2124,7345.8223,28069.492,42462.047,81,38,50,96,98,68.59,61.118,62.526,73.42,75.982
42,3.9927173,1.0805697,1.5739057,15.448026,29.159857,4.4387856,1.7250845,1.9864439,20.189346,31.278742,9289.031,6571.027,7031.4736,19980.652,32778.363,9715.828,7154.493,7336.9316,24341.168,36831.168,83,38,50,97,99,68.482,60.964,62.168,73.536,74.706
43,3.6983643,1.0805697,1.5442017,15.448026,28.497108,4.0844426,1.6810689,1.9775953,19.884323,31.236952,9014.302,6571.027,7003.75,19980.652,32159.797,9255.33,7133.3994,7336.9316,24427.863,36831.168,84,39,50,97,99,69.188,61.526,63.364,74.514,75.804
44,3.4516644,1.0805697,1.5002581,15.448026,28.497108,3.8175032,1.647407,1.8910898,19.11635,28.310707,8784.049,6571.027,6962.736,19980.652,32159.797,9112.656,7133.3994,7336.9316,24426.436,36831.168,82,38,50,97,99,69.756,61.752,64.054,73.766,76.618
45,3.3277125,1.0805662,1.3629029,15.006873,27.105371,3.763593,1.647407,1.9284683,12.361901,25.585573,8668.36,6571.0234,6834.5376,19568.91,30860.844,9028.832,7114.1294,7336.9316,24335.396,36831.168,85,39,50,97,99,70.174,62.902,64.364,74.744,75.834
46,3.3276954,1.0805662,1.2916942,15.006873,24.456938,3.7105854,1.647407,1.9284683,12.361901,21.714323,8668.344,6571.0234,6768.076,19568.91,28388.973,8983.949,6996.696,7321.909,24063.893,36831.168,85,39,54,97,99,70.642,63.87,64.818,74.102,76.522
47,3.128983,1.0805662,1.2916942,15.006873,23.864655,3.7105854,1.6228024,1.7898992,12.361901,20.189346,8482.879,6571.0234,6768.076,19568.91,27836.172,8967.311,6996.696,7233.481,25334.936,3.4028235e38,85,39,55,98,99,70.51,64.108,65.52,74.64,76.252
48,3.1099231,1.0565622,1.2916942,13.154872,23.267107,3.665209,1.6228024,1.7469847,14.274606,20.612827,8465.09,6548.6196,6768.076,17840.375,27278.46,8919.975,6964.359,7197.998,24063.893,42460.72,85,44,57,98,99,70.464,62.69,66.562,75.33,76.014
49,2.9843864,1.0507942,1.267481,13.154872,22.592028,3.485574,1.5120523,1.7236295,14.549649,27.714132,8347.922,6543.2363,6745.4775,17840.375,26648.387,8786.798,6936.1304,7197.998,23883.617,42460.72,85,49,57,98,99,70.824,63.638,65.496,74.834,76.682
50,2.7714334,1.0507942,1.267481,10.341131,15.210984,3.4280922,1.6228024,1.7206233,12.198564,14.167511,8149.166,6543.2363,6745.4775,15214.218,19759.414,8625.068,6910.134,7197.998,19082.625,35949.66,84,50,57,98,99,71.062,64.092,64.892,75.548,76.686
51,2.6159444,1.0496062,1.267481,9.965413,14.320692,3.261909,1.6228024,1.7387252,12.198564,19.053312,8004.043,6542.1274,6745.4775,14863.547,18928.475,8572.039,6905.282,7197.998,18741.152,35949.66,86,50,64,98,99,71.13,63.108,64.372,75.372,76.192
52,2.5385618,1.0494882,1.267481,9.899876,14.320687,3.0948226,1.5085894,1.6799129,10.994351,16.572224,7931.8193,6542.0176,6745.4775,14802.379,18928.469,8504.083,6911.3975,7153.5664,18067.82,35949.66,86,52,60,98,99,71.418,63.7,65.796,76.002,76.882
53,2.442032,1.0486941,1.2345029,7.4780974,14.159599,2.7885995,1.4830315,1.699084,9.992421,13.589906,7841.725,6541.2764,6714.6978,12542.053,18778.121,8367.144,6890.404,7116.1177,16341.967,35487.12,88,52,60,98,99,70.918,64.55,66.882,76.55,77.724
54,2.3300576,1.0381104,1.1994327,7.469743,14.158783,2.7016842,1.4830315,1.63182,9.4675,13.589553,7737.216,6531.398,6681.966,12534.255,18777.36,8279.621,6903.7227,7048.437,15477.606,24025.832,87,49,60,98,99,71.536,65.456,67.354,75.94,77.45
55,2.3300576,1.0378981,1.1513317,6.7240195,14.158764,2.7016842,1.4830315,1.6089275,9.4675,17.843405,7737.216,6531.2,6637.0713,11838.247,18777.342,8252.425,6903.7227,7052.044,14548.498,24025.832,88,49,58,98,100,71.842,65.056,66.572,76.08,76.614
56,2.3300576,1.0033312,1.1268928,6.7240195,11.285842,2.7016842,1.4193186,1.5577375,8.620915,17.843405,7737.216,6498.9375,6614.2617,11838.247,16095.947,8251.413,6903.7227,7041.216,14274.157,24025.832,89,49,61,99,100,71.392,66.616,67.194,76.102,77.268
57,2.2219162,0.8433256,1.0935943,6.7240195,10.369773,2.5745971,1.3569278,1.4843477,8.620915,17.843405,7636.283,6349.599,6583.183,11838.247,15240.95,8090.8633,6868.5903,6935.955,14206.21,24025.832,89,49,61,98,99,71.472,66.59,67.602,76.5,77.116
58,2.2219162,0.84220856,1.0861561,6.7240195,10.036003,2.5358205,1.3569278,1.4845741,7.899993,11.214581,7636.283,6348.5566,6576.2407,11838.247,14929.432,8090.8633,6843.54,6911.416,12908.983,21130.283,90,49,61,98,99,71.724,66.29,67.128,75.872,77.53
59,2.1934466,0.84070444,1.0378981,5.581417,8.047482,2.5062828,1.3301371,1.4792444,7.178653,9.142659,7609.712,6347.1523,6531.2,10771.817,13073.478,8010.2705,6837.653,6912.339,12042.453,15246.25,90,49,65,98,99,71.468,66.556,67.486,76.394,77.274
60,2.120467,0.8407041,1.0378981,5.266173,8.0416,2.5062828,1.3301371,1.4546478,6.55611,9.142659,7541.5977,6347.1523,6531.2,10477.59,13067.989,7990.3516,6835.6255,6907.444,12383.208,15232.034,90,49,65,99,100,71.56,66.878,67.256,76.328,77.362
61,2.0668027,0.8407041,0.9784733,4.530208,7.650503,2.478616,1.3176398,1.4193432,7.177682,11.356681,7491.5107,6347.1523,6475.737,9790.689,12702.965,7988.4624,6799.5522,6884.879,10867.881,20664.658,90,49,65,99,100,71.558,65.962,67.264,76.396,77.862
62,1.8190018,0.8407041,0.97037435,4.358149,7.650503,2.4635718,1.2085687,1.4057008,8.968051,19.080132,7260.23,6347.1523,6468.1777,9630.102,12702.965,7873.94,6807.417,6881.974,10485.981,17521.01,90,52,58,99,100,72.024,66.444,67.82,77.058,78.024
63,1.8084722,0.8407041,0.97037387,4.358149,7.650503,2.5062828,1.2069978,1.3713987,8.970362,17.8434,7250.4023,6347.1523,6468.1772,9630.102,12702.965,7873.94,6829.1113,6907.444,10868.8955,24053.8,90,52,57,99,100,72.108,67.326,67.906,77.918,78.442
64,1.8038313,0.8407041,0.94383514,4.310195,6.597418,2.3254213,1.2069975,1.3567823,8.620915,13.987543,7246.0713,6347.1523,6443.408,9585.344,11720.085,7854.61,6801.2876,6907.444,10860.228,24053.8,90,52,59,99,100,72.292,67.086,68.57,77.792,79.05
65,1.8038086,0.8407041,0.9318846,4.233134,6.512387,2.3254213,1.2060962,1.3619965,7.410035,17.841318,7246.05,6347.1523,6432.254,9513.42,11640.723,7854.61,6801.2876,6907.444,10485.981,24343.234,90,57,61,99,100,72.376,66.674,68.046,77.614,79.102
66,1.7856237,0.8407041,0.92043936,3.9113002,4.3581467,2.2198868,1.2060962,1.3204722,5.8303976,9.742368,7229.077,6347.1523,6421.572,9213.042,9630.099,7814.345,6801.2876,6907.444,10204.189,17373.404,90,59,64,99,100,72.642,67.056,68.246,78.184,79.098
67,1.7856237,0.8407041,0.9053222,3.8542674,4.310195,2.1892538,1.1635238,1.3204722,5.452078,9.142659,7229.077,6347.1523,6407.4624,9159.812,9585.344,7772.6455,6753.0605,6908.969,10168.35,3.4028235e38,91,59,65,100,100,73.006,67.334,68.412,78.12,79.04
68,1.7856221,0.7433006,0.87844604,3.8542674,4.310195,2.1219556,1.1635823,1.3204722,5.686409,9.142659,7229.0757,6256.242,6382.378,9159.812,9585.344,7739.8965,6672.252,6902.4175,9890.957,15232.034,92,60,67,99,100,72.99,68.402,68.8,78.018,78.806
69,1.7070408,0.7433006,0.87111336,3.8542674,4.310195,2.1121056,1.1636479,1.2805511,5.6865077,8.972359,7155.7334,6256.242,6375.534,9159.812,9585.344,7757.4937,6672.252,6902.2197,9882.029,12783.051,91,57,65,99,100,73.442,66.888,68.612,78.002,78.928
70,1.6305926,0.7433006,0.8512389,3.7304459,4.304373,2.2263827,1.1233344,1.2805511,5.452078,8.972359,7084.3813,6256.242,6356.985,9044.244,9579.91,7759.506,6672.252,6907.444,9870.421,11970.697,92,59,68,99,100,73.822,66.576,69.0,78.472,79.414
71,1.6305895,0.7398324,0.8512389,3.7238612,4.304373,2.0884984,1.1233344,1.3204722,5.452078,10.339272,7084.379,6253.0054,6356.985,9038.099,9579.91,7696.995,6716.4517,6906.859,9870.421,11948.814,91,60,68,99,100,73.416,67.928,69.254,77.508,77.946
72,1.5806223,0.7398324,0.8407041,3.7238612,4.304373,2.1186612,1.1065127,1.3204722,5.8190007,10.310507,7037.7427,6253.0054,6347.1523,9038.099,9579.91,7648.667,6657.007,6826.3413,9870.421,11948.814,91,60,65,99,100,73.136,67.294,69.446,77.86,78.342
73,1.5711987,0.7398324,0.8407041,3.7172706,4.304373,1.9667597,1.1468394,1.280275,5.8190007,14.835333,7028.9473,6253.0054,6347.1523,9031.947,9579.91,7566.2554,6657.007,6826.3413,9870.421,11948.814,90,61,68,99,100,73.678,68.168,68.762,77.882,78.852
74,1.5711561,0.7398324,0.8407041,3.4235733,4.146351,1.9464742,1.1468394,1.2806075,5.0746975,10.455963,7028.9077,6253.0054,6347.1523,8757.83,9432.423,7533.6235,6657.007,6826.3413,9687.169,11944.1875,91,64,68,99,100,73.194,67.92,68.704,78.592,79.034
75,1.3941809,0.7398324,0.82618946,3.1802828,4.093281,1.9110214,1.1651313,1.265231,5.0746975,10.440547,6863.7305,6253.0054,6333.6055,8530.759,9382.891,7528.4136,6657.007,6779.2646,9635.592,11885.724,91,64,73,99,99,73.88,67.66,68.648,78.482,79.2
76,1.3617465,0.7398324,0.82618946,3.18001,4.0756598,1.9471369,1.1245403,1.212083,4.547367,7.2019067,6833.4585,6253.0054,6333.6055,8530.504,9366.444,7500.1797,6657.007,6779.2646,9658.763,11872.169,91,63,69,99,99,73.976,67.824,68.264,78.15,79.118
77,1.361738,0.7398324,0.819517,3.0729935,4.0626955,1.9314526,1.1065127,1.2058803,5.0151243,9.1759205,6833.4507,6253.0054,6327.378,8430.623,9354.344,7447.951,6653.6963,6769.0464,9355.18,11833.535,91,63,70,99,99,73.554,66.806,68.12,78.59,79.188
78,1.3441478,0.7398324,0.8087339,3.0646884,4.0626955,1.9282565,1.1069713,1.212083,5.016692,9.175318,6817.033,6253.0054,6317.3135,8422.871,9354.344,7435.884,6653.5146,6712.423,9355.18,11795.147,90,63,70,99,99,73.786,67.138,67.806,78.818,79.388
79,1.3211603,0.7398324,0.8087339,3.0588405,3.8202243,1.8911868,1.1068023,1.2114754,4.778103,7.2019067,6795.578,6253.0054,6317.3135,8417.413,9128.038,7408.288,6657.007,6693.0625,9282.06,11795.147,90,63,70,99,99,73.988,67.408,67.76,78.694,79.58
80,1.3108844,0.7214045,0.7789254,3.0585902,3.8202243,1.8786601,1.1068023,1.1755459,4.778103,7.2019067,6785.9873,6235.806,6289.492,8417.18,9128.038,7411.3154,6581.5137,6689.857,9282.06,11366.467,90,63,70,98,99,73.832,67.124,68.726,78.926,79.678
81,1.2924261,0.7175822,0.7789254,3.0585902,3.5961905,1.8786601,1.1068023,1.1732674,4.187489,7.2019067,6768.7593,6232.2383,6289.492,8417.18,8918.939,7380.412,6556.443,6689.857,9103.151,11363.616,90,63,71,98,99,74.05,66.738,68.438,78.95,79.576
82,1.2346451,0.71401525,0.7749946,3.0570285,3.244441,1.8785664,1.1068023,1.160224,4.1406794,7.2019067,6714.8306,6228.909,6285.823,8415.722,8590.641,7329.373,6531.405,6675.667,8856.352,11357.021,90,63,72,99,99,74.422,66.83,68.17,78.598,79.83
83,1.2246193,0.6579422,0.7749946,2.9618533,3.104907,1.844142,1.1068023,1.1665313,4.1816697,7.2019067,6705.473,6176.574,6285.823,8326.892,8460.408,7282.785,6531.405,6674.185,8766.633,11350.47,90,68,73,99,100,74.306,67.848,69.432,78.936,79.688
84,1.2238433,0.6538331,0.7749946,2.9618533,3.104907,1.8374233,1.1030413,1.1477851,4.4234414,10.440547,6704.749,6172.7393,6285.823,8326.892,8460.408,7220.23,6526.4272,6674.185,8856.352,9217.353,91,63,73,99,100,73.83,68.258,69.058,78.568,79.75
85,1.2238433,0.6538331,0.7594716,2.8329093,3.073307,1.8374233,1.1047479,1.1470308,4.1874743,10.440547,6704.749,6172.7393,6271.3354,8206.544,8430.915,7220.23,6531.405,6657.0845,8766.633,9183.497,91,63,73,99,100,73.958,68.16,70.016,78.292,79.49
86,1.2093395,0.6538331,0.7564131,2.8329093,3.066334,1.8283445,1.1047479,1.1414591,4.1874743,10.440547,6691.212,6172.7393,6268.4805,8206.544,8424.406,7193.847,6531.405,6649.2896,8712.119,9016.798,92,69,76,99,100,73.948,67.94,69.3,79.014,80.338
87,1.1888525,0.6538331,0.7446052,2.8329093,3.0663183,1.8277588,1.1017625,1.1469586,4.1874743,10.440547,6672.091,6172.7393,6257.46,8206.544,8424.393,7175.905,6531.405,6643.147,8710.601,9010.005,91,69,74,99,100,73.36,68.29,69.334,78.916,80.024
88,1.1888525,0.6538331,0.7398324,2.8329093,3.0663183,1.8277588,1.0930731,1.1469586,4.1874743,10.440547,6672.091,6172.7393,6253.0054,8206.544,8424.393,7174.6,6531.405,6658.2207,8710.601,8957.439,91,71,75,99,100,73.786,68.022,69.826,79.15,80.608
89,1.1888525,0.6538331,0.7398324,2.8329093,3.0663183,1.8035464,1.0837835,1.1469586,5.044549,23.429628,6672.091,6172.7393,6253.0054,8206.544,8424.393,7177.386,6531.405,6658.2207,8710.601,8957.439,91,69,76,99,100,73.876,67.276,69.734,78.724,80.004
90,1.1644262,0.6538331,0.7315441,2.594632,2.9618533,1.8034999,1.0854005,1.1469586,6.8873825,77.25804,6649.293,6172.7393,6245.2695,7984.1514,8326.892,7157.8916,6531.405,6622.8794,8644.901,8957.439,91,71,77,100,100,74.378,66.886,69.07,78.95,79.432
91,1.1643488,0.6538331,0.7307608,2.5946062,2.9618533,1.8035315,1.0854005,1.1469586,6.8873825,77.31188,6649.2207,6172.7393,6244.5386,7984.1274,8326.892,7151.9297,6531.405,6622.22,8574.066,8957.439,90,69,76,100,100,74.128,67.256,68.688,78.764,79.784
92,1.1618402,0.64365107,0.7307608,2.5907738,2.9618533,1.8034999,1.0772861,1.1469586,6.8873825,77.33861,6646.8794,6163.2363,6244.5386,7980.551,8326.892,7150.932,6531.405,6590.856,8570.256,8957.439,90,69,73,100,100,74.358,67.306,69.09,78.648,79.888
93,1.0895046,0.63615847,0.7307608,2.5635276,2.880693,1.7538716,1.0791112,1.1477818,6.8873825,77.351265,6579.366,6156.243,6244.5386,7955.121,8251.142,7077.519,6531.405,6590.856,8553.789,8957.439,90,65,73,99,100,74.414,66.508,68.472,79.18,79.702
94,1.081337,0.6006434,0.72018623,2.4679053,2.7902534,1.776005,1.0675504,1.1243396,6.8873825,68.58532,6571.743,6123.0957,6234.669,7865.873,8166.7314,7073.962,6531.405,6590.856,8511.102,8957.439,91,65,73,99,100,74.466,67.912,69.312,78.334,79.566
95,1.0794569,0.6006434,0.7201851,2.4679053,2.7902534,1.7537642,1.0429631,1.1231273,5.044549,68.588936,6569.9883,6123.0957,6234.668,7865.873,8166.7314,7102.633,6531.405,6590.856,8359.878,8957.439,91,65,73,99,100,74.602,67.906,69.016,78.462,79.506
96,1.0487008,0.6006434,0.7090012,2.4679053,2.7902534,1.7236357,1.0675504,1.1458226,5.044549,68.5907,6541.2827,6123.0957,6224.2295,7865.873,8166.7314,7056.374,6531.405,6619.323,8363.66,8957.439,91,63,73,99,100,74.592,68.208,69.464,78.592,79.012
97,1.0411355,0.6006434,0.7090012,2.4679053,2.7902534,1.6858104,1.0675504,1.1456822,6.887141,68.59158,6534.2217,6123.0957,6224.2295,7865.873,8166.7314,7089.69,6528.0405,6590.856,8527.955,3.4028235e38,92,63,74,99,100,74.784,68.406,68.868,78.142,79.614
