-- TINY GP (Julia version) --
SEED=-1
MAX_LEN=50
POPSIZE=500
DEPTH=5
CROSSOVER_PROB=0.900000
PMUT_PER_NODE=0.050000
GENERATIONS=50
TSIZE=3
----------------------------------
gen,fevals,best_fitness,dl,MSE_train,MSE_test,R2_train,R2_test,nll_train,nll_test,avg_len,size,Expression
29,2027139,-3706.4385,-3572.8108,3.7741018e-5,4.47783e-5,0.8048285,0.68352735,-3706.4385,-3603.6863,36.964,46,"(0.07048034 + (-0.0002575925 * ((((-2.57474 * -1.4855973) - -56.041996) * (X1 + exp(-0.4169176))) + ((((1.7284237 + exp(X5)) - (X2 + -6.3771386)) * (62.67018 * ((((2.491459 * (exp(0.95104593) * X7)) - (X2 + -14.683975)) * 0.013896955) * (X2 + -17.783703)))) * (-1.4818702 * -0.06568762))))) [likelihood params: Float32[-0.006094181]]"
30,2115722,-3707.191,-3572.434,3.7688522e-5,4.4579614e-5,0.80509996,0.6849316,-3707.191,-3607.059,37.268,46,"(0.06627587 + (-0.00024617187 * ((((-3.8772488 * -1.4851719) - -56.0419) * (X1 + exp(-0.41800955))) + ((((2.0131626 + exp(X5)) - (X2 + -6.66188)) * (62.67028 * ((((2.394592 * (exp(1.0082643) * X7)) - (X2 + -15.929522)) * 0.0030806048) * (X2 + -19.534718)))) * (-1.4854465 * -0.26246676))))) [likelihood params: Float32[-0.0061151795]]"
31,2194317,-3707.4573,-3581.2795,3.7669783e-5,4.4753062e-5,0.8051969,0.6837057,-3707.4573,-3605.4326,37.634,46,"(0.06721651 + (-0.000249184 * ((((-3.8772488 * -1.4851718) - -56.0419) * (X1 + exp(-0.4180191))) + ((((2.0135942 + exp(X5)) - (X2 + -6.662311)) * (62.67028 * ((((2.392954 * (exp(1.0043415) * X7)) - (X2 + -15.930084)) * 0.003005077) * (X2 + -19.535267)))) * (-1.4854466 * -0.26246354))))) [likelihood params: Float32[-0.006137573]]"
32,2281316,-3708.2136,-3576.2085,3.761333e-5,4.50964e-5,0.8054888,0.6812792,-3708.2136,-3600.706,38.466,50,"(0.07410852 + (-0.0027064718 * ((((-2.5672555 * -1.4721999) - -1.9662788) * (X1 + exp(-0.4150779))) + ((((0.75444746 + exp(X5)) - (X2 + -5.403164)) * (62.670586 * ((((2.4410028 * (exp(1.1369346) * X7)) - (X2 + -10.224932)) * -1.1678944e-5) * (-23.629951 + -12.90154)))) * (-1.4983606 * ((-2.6157286 * -2.3103557) - X7)))))) [likelihood params: Float32[-0.006133358]]"
33,2373551,-3712.8613,-3583.7834,3.7268404e-5,4.5172015e-5,0.80727255,0.68074477,-3712.8613,-3598.7236,38.808,48,"(-0.02844105 + (-0.002675812 * ((((-2.570186 * -1.4762367) - -1.9679601) * (X1 + exp(-0.41485664))) + ((((10.863313 + exp(X5)) - (X2 + -15.512025)) * (-1.1804597 * ((((2.3315275 * (exp(0.7089537) * X7)) - (X2 + (X7 + -27.754412))) * -0.0036914337) * (-23.629698 + -12.901292)))) * (-1.49381 * -0.31132576))))) [likelihood params: Float32[-0.0061047915]]"
34,2457948,-3753.026,-3627.9282,3.4416396e-5,4.0723815e-5,0.82202125,0.71218264,-3753.026,-3653.3115,39.338,46,"(0.07818695 + (-0.0005025601 * ((((X1 * -9.253989) - -56.040638) * (X1 + exp(-0.40830606))) + ((((2.1762097 + exp(X5)) - (X2 + -6.8249245)) * (62.671436 * ((((2.0840394 * (exp(0.35711795) * X7)) - (-0.19141331 + -6.9789677)) * 0.0003150834) * (X2 + -9.799232)))) * (-1.533594 * -5.269036))))) [likelihood params: Float32[-0.0058665494]]"
35,2548238,-3782.82,-3651.2922,3.2439493e-5,3.7014695e-5,0.83224446,0.738397,-3782.82,-3705.309,38.83,46,"(0.1849996 + (-0.0010791767 * ((((X1 * -10.333383) - -55.862183) * (X1 + exp(0.70507115))) + ((((2.2320004 + exp(X5)) - (X2 + -6.880713)) * (62.671436 * ((((2.0956688 * (exp(0.37568933) * X7)) - (-0.505223 + -6.976581)) * 0.00013883771) * (X2 + -10.006582)))) * (-1.5335594 * -5.269036))))) [likelihood params: Float32[-0.0057361065]]"
36,2631611,-3782.8792,-3659.0586,3.243895e-5,3.6954505e-5,0.83224726,0.73882234,-3782.8792,-3705.2925,38.452,46,"(0.18499961 + (-0.0010796972 * ((((X1 * -10.333383) - -55.862183) * (X1 + exp(0.7050713))) + ((((2.2320004 + exp(X5)) - (X2 + -6.880713)) * (62.671436 * ((((2.0956688 * (exp(0.37568936) * X7)) - (-0.505223 + -6.976581)) * 0.00013902162) * (X2 + -10.006582)))) * (-1.5335594 * -5.269036))))) [likelihood params: Float32[-0.005695519]]"
37,2713576,-3782.8792,-3659.0586,3.243895e-5,3.6954505e-5,0.83224726,0.73882234,-3782.8792,-3705.2925,38.47,46,"(0.18499961 + (-0.0010796972 * ((((X1 * -10.333383) - -55.862183) * (X1 + exp(0.7050713))) + ((((2.2320004 + exp(X5)) - (X2 + -6.880713)) * (62.671436 * ((((2.0956688 * (exp(0.37568936) * X7)) - (-0.505223 + -6.976581)) * 0.00013902162) * (X2 + -10.006582)))) * (-1.5335594 * -5.269036))))) [likelihood params: Float32[-0.005695519]]"
38,2800427,-3785.6719,-3655.075,3.225911e-5,3.7672922e-5,0.83317727,0.733745,-3785.6719,-3694.2432,39.642,45,"(0.10296825 + (-0.0008719629 * ((((X1 * -11.474581) - -55.643845) * (X1 + (-1.1375538 * -1.1667429))) + ((((5.0403914 + exp(X5)) - -6.6606307) * (62.671574 * ((((1.9661263 * (exp(0.058995843) * X7)) - (-0.54967487 + -7.021032)) * 0.00024132292) * (X2 + -7.808293)))) * (-1.5396575 * -5.2708793))))) [likelihood params: Float32[-0.0056990883]]"
